# CIE ionization fractions for Ne (Z=10)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_Ne0          x_Ne1          x_Ne2          x_Ne3          x_Ne4          x_Ne5          x_Ne6          x_Ne7          x_Ne8          x_Ne9          x_Ne10       
         4.0000   9.999998e-01   1.877035e-07   8.108797e-26   5.673353e-61  2.466416e-113  9.203390e-181  1.051468e-264   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.0500   9.999967e-01   3.315818e-06   7.542957e-22   1.014332e-52   5.979136e-99  1.254910e-158  4.418704e-233   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.1000   9.999565e-01   4.353862e-05   1.544941e-18   1.386603e-45   2.417273e-86  4.190087e-139  4.319918e-205  2.746596e-291   0.000000e+00   0.000000e+00   0.000000e+00
         4.1500   9.995613e-01   4.387290e-04   1.174343e-15   2.740763e-39   3.639503e-75  9.418131e-122  3.483531e-180  1.119343e-256   0.000000e+00   0.000000e+00   0.000000e+00
         4.2000   9.965162e-01   3.483797e-03   4.280201e-13   1.121002e-33   3.383971e-65  2.839267e-106  5.772830e-158  8.422601e-226  3.167583e-304  1.343859e-321   0.000000e+00
         4.2500   9.779263e-01   2.207368e-02   8.281583e-11   1.149607e-28   2.680093e-56   1.857641e-92  3.854296e-138  2.965132e-198  7.455940e-268  3.167547e-285  1.345686e-302
         4.3000   8.921842e-01   1.078158e-01   8.656173e-09   3.254750e-24   2.227998e-48   3.718388e-80  1.711194e-120  1.005266e-173  1.880568e-235   0.000000e+00   0.000000e+00
         4.3500   6.464190e-01   3.535806e-01   4.429007e-07   2.466698e-20   2.075033e-41   2.707931e-69  6.805976e-105  5.312024e-152  1.033693e-206   0.000000e+00   0.000000e+00
         4.4000   3.200765e-01   6.799135e-01   9.998983e-06   4.775406e-17   2.239754e-35   8.089921e-60   3.049125e-91  6.384083e-133  2.199655e-181   0.000000e+00   0.000000e+00
         4.4500   1.230970e-01   8.767864e-01   1.165497e-04   2.897489e-14   3.683111e-30   1.413285e-51   2.482336e-79  3.211409e-116  3.952044e-159   0.000000e+00   0.000000e+00
         4.5000   4.656902e-02   9.525395e-01   8.915119e-04   7.284398e-12   1.325166e-25   2.283034e-44   6.732540e-69  1.428526e-101  1.475875e-139   0.000000e+00   0.000000e+00
