# CIE ionization fractions for O (Z=8)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_O0           x_O1           x_O2           x_O3           x_O4           x_O5           x_O6           x_O7           x_O8         
         3.0000   1.000000e+00   8.425880e-66  1.484407e-308   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.0500   1.000000e+00   2.732478e-58  2.937188e-274   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.1000   1.000000e+00   1.371278e-51  1.127014e-243   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.1500   1.000000e+00   1.304570e-45  2.125429e-216   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.2000   1.000000e+00   2.819323e-40  4.512542e-192   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.2500   1.000000e+00   1.626221e-35  2.257322e-170   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.3000   1.000000e+00   2.890551e-31  5.137484e-151  2.924869e-321   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.3500   1.000000e+00   1.799587e-27  9.561145e-134  4.349533e-285   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.4000   1.000000e+00   4.398799e-24  2.452980e-118  8.014281e-253   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.4500   1.000000e+00   4.673612e-21  1.381477e-104  4.861334e-224   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.5000   1.000000e+00   2.363273e-18   2.584745e-92  2.319869e-198   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.5500   1.000000e+00   6.166260e-16   2.323858e-81  1.892671e-175  1.875739e-300   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.6000   1.000000e+00   8.922051e-14   1.394849e-71  5.271548e-155  7.130676e-266   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.6500   1.000000e+00   7.633615e-12   7.492900e-63  9.283459e-137  5.068159e-235   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.7000   1.000000e+00   4.089543e-10   4.678237e-55  1.790504e-120  1.708558e-207   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         3.7500   1.000000e+00   1.443620e-08   4.286651e-48  6.172699e-106  6.263753e-183  7.412759e-295   0.000000e+00   0.000000e+00   0.000000e+00
         3.8000   9.999996e-01   3.514074e-07   7.099271e-42   5.887957e-93  5.233319e-161  2.009854e-260   0.000000e+00   0.000000e+00   0.000000e+00
         3.8500   9.999939e-01   6.142512e-06   2.559649e-36   2.294743e-81  1.927765e-141  1.070367e-229   0.000000e+00   0.000000e+00   0.000000e+00
         3.9000   9.999201e-01   7.993128e-05   2.372413e-31   5.173694e-71  5.640953e-124  2.829589e-202  1.580548e-296  6.714726e-314   0.000000e+00
         3.9500   9.992008e-01   7.991937e-04   6.553442e-27   9.197355e-62  2.216243e-108  8.484945e-178  1.701237e-261  7.227458e-279  3.070480e-296
         4.0000   9.937077e-01   6.292301e-03   6.134060e-23   1.693149e-53   1.860427e-94  6.008883e-156  3.146542e-230  1.336763e-247  5.679041e-265
         4.0500   9.608992e-01   3.910082e-02   2.138939e-19   4.035738e-46   4.948127e-82  1.893545e-136  2.505686e-202  1.064504e-219  4.522391e-237
         4.1000   8.215906e-01   1.784094e-01   2.806759e-16   1.410973e-39   5.480361e-71  4.319880e-119  1.801906e-177   0.000000e+00   0.000000e+00
         4.1500   5.045339e-01   4.954661e-01   1.235950e-13   7.145465e-34   2.817788e-61  9.617247e-104  1.977742e-155   0.000000e+00   0.000000e+00
         4.2000   2.069514e-01   7.930486e-01   1.844584e-11   5.794614e-29   8.071524e-53   2.967445e-90  5.754364e-136   0.000000e+00   0.000000e+00
         4.2500   7.086577e-02   9.291342e-01   1.253303e-09   1.093989e-24   1.947812e-45   2.224701e-78  9.299918e-119   0.000000e+00   0.000000e+00
         4.3000   2.445579e-02   9.755442e-01   4.976258e-08   6.602854e-21   5.667939e-39   6.579827e-68  1.585868e-103  2.861159e-292   0.000000e+00
         4.3500   9.073621e-03   9.909251e-01   1.293251e-06   1.507296e-17   2.632684e-33   1.123066e-58   4.783520e-90  4.950980e-258   0.000000e+00
         4.4000   3.671643e-03   9.963053e-01   2.302185e-05   1.417743e-14   2.495802e-28   1.513487e-50   3.922699e-78  1.271748e-227   0.000000e+00
         4.4500   1.627764e-03   9.980891e-01   2.830905e-04   5.674003e-12   5.715006e-24   1.986208e-43   1.190261e-67  1.137190e-200   0.000000e+00
         4.5000   7.991068e-04   9.968427e-01   2.358231e-03   9.569950e-10   3.440041e-20   2.911875e-37   1.670762e-58  7.194637e-177  9.210208e-317
         4.5500   4.433785e-04   9.865157e-01   1.304082e-02   6.747139e-08   5.740937e-17   5.579289e-32   1.377897e-50  6.377585e-156  1.640152e-280
         4.6000   2.823237e-04   9.507506e-01   4.896495e-02   2.118320e-06   2.963983e-14   1.782868e-27   9.273951e-44  1.660940e-137  1.746968e-248
         4.6500   2.018260e-04   8.669790e-01   1.327853e-01   3.392705e-05   5.645081e-12   1.275358e-23   7.458771e-38  2.715202e-121  3.707115e-220
         4.7000   1.510071e-04   7.243002e-01   2.752305e-01   3.183249e-04   4.722814e-10   2.653429e-20   1.011907e-32  5.518027e-107  4.605396e-195
         4.7500   1.094072e-04   5.437916e-01   4.541504e-01   1.948576e-03   2.000707e-08   1.970846e-17   3.059116e-28   2.481753e-94  8.430848e-173
         4.8000   7.368322e-05   3.693934e-01   6.220610e-01   8.471423e-03   4.826806e-07   6.163884e-15   2.586719e-24   4.026267e-83  5.022374e-153
         4.8500   4.591990e-05   2.324895e-01   7.392548e-01   2.820246e-02   7.367800e-06   9.366927e-13   7.436594e-21   3.601655e-73  1.943832e-135
         4.9000   2.659352e-05   1.380541e-01   7.861141e-01   7.572825e-02   7.696286e-05   7.720779e-11   8.476567e-18   2.534648e-64  8.828592e-120
         4.9500   1.422472e-05   7.731384e-02   7.542006e-01   1.678952e-01   5.761902e-04   3.713981e-09   4.277576e-15   1.872726e-56  7.738051e-106
         5.0000   6.920801e-06   4.027227e-02   6.479356e-01   3.086202e-01   3.164978e-03   1.092454e-07   1.033808e-12   1.840336e-49   1.995752e-93
         5.0500   3.032027e-06   1.930264e-02   4.955880e-01   4.720921e-01   1.301228e-02   2.045520e-06   1.280681e-10   2.961926e-43   2.199155e-82
         5.1000   1.202218e-06   8.541967e-03   3.399656e-01   6.102459e-01   4.121973e-02   2.554923e-05   8.731266e-09   9.495318e-38   1.457934e-72
         5.1500   4.367485e-07   3.525439e-03   2.119992e-01   6.803713e-01   1.038799e-01   2.233018e-04   3.510664e-07   7.259342e-33   7.932499e-64
         5.2000   1.463294e-07   1.362790e-03   1.210373e-01   6.630223e-01   2.131514e-01   1.417142e-03   8.803064e-06   1.544748e-28   4.643549e-56
         5.2500   4.522463e-08   4.923954e-04   6.329613e-02   5.681009e-01   3.612608e-01   6.705977e-03   1.437417e-04   1.043111e-24   3.697789e-49
         5.3000   1.291425e-08   1.662122e-04   3.036892e-02   4.308127e-01   5.128090e-01   2.425318e-02   1.589997e-03   2.514628e-21   4.941772e-43
         5.3500   3.404761e-09   5.227724e-05   1.335741e-02   2.901721e-01   6.157350e-01   6.837125e-02   1.231194e-02   2.397865e-18   1.333164e-37
         5.4000   8.025871e-10   1.481039e-05   5.215176e-03   1.687403e-01   6.112866e-01   1.481563e-01   6.658684e-02   9.602469e-16   8.293370e-33
         5.4500   1.535368e-10   3.425260e-06   1.640395e-03   7.714868e-02   4.591824e-01   2.276132e-01   2.344119e-01   1.590710e-13   1.250814e-28
         5.5000   2.182187e-11   5.912692e-07   3.805257e-04   2.546195e-02   2.406565e-01   2.301687e-01   5.033318e-01   1.073078e-11   4.771913e-25
         5.5500   2.496698e-12   8.245469e-08   7.054133e-05   6.590222e-03   9.596923e-02   1.681032e-01   7.292667e-01   3.407794e-10   5.606533e-22
         5.6000   2.716149e-13   1.096278e-08   1.234496e-05   1.583757e-03   3.459316e-02   1.059220e-01   8.578887e-01   6.375173e-09   2.658392e-19
         5.6500   3.112559e-14   1.538265e-09   2.259490e-06   3.922493e-04   1.254825e-02   6.442208e-02   9.226351e-01   8.192069e-08   6.180709e-17
         5.7000   3.901151e-15   2.363758e-10   4.491336e-07   1.041357e-04   4.776872e-03   3.961663e-02   9.555011e-01   7.856465e-07   7.941877e-15
         5.7500   5.394278e-16   4.010278e-11   9.782287e-08   2.994182e-05   1.932622e-03   2.504408e-02   9.729874e-01   5.902748e-06   6.116810e-13
         5.8000   8.220505e-17   7.501490e-12   2.332856e-08   9.328596e-06   8.331069e-04   1.637472e-02   9.827469e-01   3.591175e-05   3.005053e-11
         5.8500   1.377187e-17   1.542830e-12   6.077798e-09   3.145308e-06   3.828638e-04   1.111497e-02   9.883176e-01   1.814014e-04   9.909284e-10
         5.9000   2.535011e-18   3.486362e-13   1.729357e-09   1.148288e-06   1.879546e-04   7.869715e-03   9.911654e-01   7.758014e-04   2.288890e-08
         5.9500   5.135450e-19   8.669179e-14   5.384218e-10   4.551197e-07   9.895088e-05   5.848031e-03   9.912017e-01   2.850450e-03   3.836187e-07
