# CIE ionization fractions for Si (Z=14)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_Si0          x_Si1          x_Si2          x_Si3          x_Si4          x_Si5          x_Si6          x_Si7          x_Si8          x_Si9          x_Si10         x_Si11         x_Si12         x_Si13         x_Si14       
         4.0000   4.000843e-01   5.998980e-01   1.768244e-05   4.023290e-24   1.698032e-50  1.005312e-138  2.284186e-246   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.0500   2.074625e-01   7.923287e-01   2.087805e-04   2.185714e-20   1.798166e-43  1.002265e-121  2.758179e-217   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.1000   9.388314e-02   9.044101e-01   1.706803e-03   4.303047e-17   3.075521e-37  1.359088e-106  2.248600e-191  2.471547e-293   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.1500   4.250560e-02   9.469906e-01   1.050376e-02   3.562336e-14   1.076692e-31   4.157405e-93  2.844872e-168  8.084055e-259   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.2000   2.035419e-02   9.289079e-01   5.073789e-02   1.346923e-11   9.063086e-27   4.281864e-81  1.114431e-147  4.798504e-228   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.2500   9.855743e-03   8.056302e-01   1.845140e-01   2.189549e-09   1.851096e-22   1.853465e-70  2.182154e-129  1.129862e-200  3.682916e-288   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.3000   4.242631e-03   5.463225e-01   4.494348e-01   1.223532e-07   7.798843e-19   3.459116e-61  2.746982e-113  1.765957e-176  3.567901e-254   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.3500   1.569023e-03   2.862152e-01   7.122136e-01   2.186698e-06   6.653196e-16   3.221253e-53   3.130471e-99  3.227138e-155  3.075127e-224  3.041744e-304   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.4000   5.952695e-04   1.424876e-01   8.568996e-01   1.756189e-05   1.691423e-13   2.540333e-46   6.480387e-87  1.671943e-136  7.494384e-198  5.299471e-269   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.4500   2.783008e-04   8.321588e-02   9.164140e-01   9.181323e-05   1.931271e-11   2.889656e-40   4.788159e-76  5.720986e-120  1.600860e-174  7.727202e-238  1.514341e-310   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.5000   1.638473e-04   5.945418e-02   9.400048e-01   3.771898e-04   1.236684e-09   6.584203e-35   1.993302e-66  2.423381e-105  7.329543e-154  3.128687e-210  5.005933e-275   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
