                            Description
                            -----------

Charge transfer recombination reactions.

This table contains rate coefficients (in cm^3/s) for reactions of the form
X^+n + He --> X^+(n-1) + He^+. We have fit all rate coefficients with the
function adopted by Kingdon & Ferland (Astrophys. J. Suppl. 106, 205 (1996)),

alpha(t4) = a*t4^b[1 + c*exp(d*t4)],

where t4 is the temperature in units of 10^4 K, and a, b, c, and d are the
parameters of the fit, with a in units of 10^-9 cm^3/s. In the table below,
column 1 gives the reactant (parent) ion (X in the reaction above), columns
2-5 give the four fit parameters, columns 6 and 7 give the minimum and
maximum temperature, respectively, over which the fit is valid. The
last column is a note for the source of the data.


        Charge Transfer Rate Coefficients for He Targets
  ---------------------------------------------------------------------
  Ion     a(10^-9 cm^3/s)   b       c         d      tlo    thi    Note
  ---------------------------------------------------------------------
  Li^2+       1.01       -0.40    -0.79     -2.22e-3 1e+3   1e+7    1
  Li^3+       1.89e-1     2.90e-2  2.65     -0.18    1e+3   1e+7    1
  Be^3+       3.78        0.16    -0.54     -0.12    1e+3   1e+7    1
  Be^4+       8.10e-4     1.97     4.03e1   -1.06e1  1e+3   1e+5    1
  Be^4+       1.46e-1     0.66    -0.84     -9.08e-3 1e+5   1e+7    1
  B^2+        2.58e-2     8.44e-2  0.33     -0.27    1e+3   5e+5    1
  B^2+        7.59e-5     1.62     0.58     -0.49    5e+5   1e+7    1
  B^3+        1.60        0.33    -0.72     -1.67e-2 5e+3   1e+7    1
  B^4+        8.80e-4     1.94     3.93e1   -1.14e1  1e+3   1e+5    1
  B^4+        9.10e-2     0.73    -0.79     -1.14e-2 1e+5   1e+7    1
  C^3+        1.12        0.42    -0.69     -0.34    1e+3   1e+7    1
  C^4+        3.12e-7    -7.37e-2  3.50e1    2.40    1e+3   1e+4    1
  C^4+        1.49e-5     2.73     5.93     -8.74e-2 1e+4   3.5e+5  1
  C^4+        5.80e-2     0.73    -0.86     -9.60e-3 3.5e+5 1e+7    1
  N^2+        4.84e-1     0.92     2.37     -1.02e1  1e+3   4e+4    1
  N^2+        3.17        0.20    -0.72     -4.81e-2 4e+4   1e+7    1
