# CIE bound-bound cooling efficiency for Fe (Z=26)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Fe0          L_Fe1          L_Fe2          L_Fe3          L_Fe4          L_Fe5          L_Fe6          L_Fe7          L_Fe8          L_Fe9          L_Fe10         L_Fe11         L_Fe12         L_Fe13         L_Fe14         L_Fe15         L_Fe16         L_Fe17         L_Fe18         L_Fe19         L_Fe20         L_Fe21         L_Fe22         L_Fe23         L_Fe24         L_Fe25         L_Fe26       
         4.0000   0.000000e+00   9.988650e-20   2.139693e-20   4.231241e-21   1.494498e-20   2.738931e-20   3.192737e-20   1.599461e-20   1.016827e-43   4.172380e-20   2.358484e-20   6.782401e-22   2.941171e-20   5.625605e-20   2.220628e-33   1.784215e-35   0.000000e+00   2.620308e-26   2.970531e-25   1.843194e-28   1.977598e-24   3.364284e-27   2.912850e-43   1.701134e-43   0.000000e+00   0.000000e+00   0.000000e+00
         4.0500   0.000000e+00   1.164566e-19   2.699756e-20   6.809387e-21   1.750271e-20   3.138163e-20   3.594844e-20   1.552108e-20   6.058966e-41   5.028090e-20   2.776904e-20   1.273030e-21   3.570373e-20   6.669278e-20   8.903023e-32   1.327120e-33   0.000000e+00   1.230331e-25   9.739324e-25   1.524830e-27   5.941326e-24   2.027037e-26   9.864109e-41   7.400877e-41   0.000000e+00   0.000000e+00   0.000000e+00
         4.1000   0.000000e+00   1.396691e-19   3.376749e-20   1.035537e-20   2.072119e-20   3.606357e-20   4.048593e-20   1.501164e-20   1.801826e-38   5.899512e-20   3.216876e-20   2.226260e-21   4.299124e-20   7.617644e-20   2.380909e-30   6.191892e-32  3.934766e-308   4.851135e-25   2.814004e-24   9.978856e-27   1.576948e-23   9.990258e-26   1.730880e-38   1.652556e-38   0.000000e+00   0.000000e+00   0.000000e+00
         4.1500   0.000000e+00   1.713936e-19   4.180029e-20   1.496252e-20   2.457125e-20   4.132996e-20   4.540525e-20   1.447569e-20   2.881972e-36   6.759054e-20   3.677384e-20   3.656569e-21   5.136020e-20   8.416931e-20   4.436573e-29   1.906267e-30  1.432562e-276   1.637023e-24   7.254779e-24   5.302358e-26   3.751329e-23   4.116743e-25   1.692529e-36   2.036379e-36   0.000000e+00   0.000000e+00   0.000000e+00
         4.2000   0.000000e+00   2.132780e-19   5.122889e-20   2.064656e-20   2.899205e-20   4.703023e-20   5.052893e-20   1.392171e-20   2.650410e-34   7.581179e-20   4.158541e-20   5.681047e-21   6.083174e-20   9.034251e-20   5.989079e-28   4.049953e-29  1.923142e-248   4.808363e-24   1.687895e-23   2.341414e-25   8.102121e-23   1.446359e-24   9.858073e-35   1.477299e-34   0.000000e+00   0.000000e+00   0.000000e+00
         4.2500   0.000000e+00   2.665386e-19   6.225480e-20   2.733635e-20   3.390072e-20   5.297974e-20   5.565119e-20   1.335744e-20   1.487429e-32   8.343865e-20   4.661063e-20   8.401981e-21   7.132332e-20   9.462317e-20   6.064603e-27   6.178103e-28  2.247836e-223   1.247993e-23   3.581271e-23   8.771657e-25   1.607176e-22   4.408652e-24   3.632720e-33   6.683716e-33   0.000000e+00   0.000000e+00   0.000000e+00
         4.3000   0.000000e+00   3.318068e-19   7.516983e-20   3.487893e-20   3.920068e-20   5.897457e-20   6.055885e-20   1.278999e-20   5.371874e-31   9.029450e-20   5.185607e-20   1.189477e-20   8.261966e-20   9.719928e-20   4.753013e-26   7.009578e-27  4.918851e-201   2.900871e-23   6.997854e-23   2.839456e-24   2.957979e-22   1.184088e-23   8.938123e-32   1.985344e-31   0.000000e+00   0.000000e+00   0.000000e+00
         4.3500   0.000000e+00   4.090650e-19   9.034345e-20   4.305469e-20   4.479027e-20   6.480844e-20   6.505862e-20   1.222608e-20   1.309099e-29   9.624885e-20   5.732072e-20   1.619943e-20   9.436299e-20   9.848203e-20   2.966048e-25   6.103266e-26  3.987128e-181   6.111374e-23   1.271055e-22   8.071844e-24   5.096107e-22   2.841313e-23   1.539835e-30   4.053769e-30   0.000000e+00   0.000000e+00   0.000000e+00
         4.4000   0.000000e+00   4.976602e-19   1.082092e-19   5.159778e-20   5.057008e-20   7.029138e-20   6.901020e-20   1.167222e-20   2.245856e-28   1.012149e-19   6.298973e-20   2.131797e-20   1.060689e-19   9.903070e-20   1.512526e-24   4.193656e-25  2.199427e-163   1.179425e-22   2.164995e-22   2.044105e-23   8.281304e-22   6.166905e-23   1.936460e-29   5.928187e-29   0.000000e+00   0.000000e+00   0.000000e+00
         4.4500   0.000000e+00   5.963724e-19   1.292404e-19   6.022342e-20   5.644322e-20   7.526941e-20   7.234325e-20   1.113498e-20   2.817470e-27   1.051436e-19   6.882509e-20   2.721934e-20   1.172025e-19   9.944936e-20   6.455878e-24   2.331392e-24  1.419967e-147   2.104964e-22   3.486788e-22   4.669888e-23   1.277583e-21   1.224056e-22   1.843691e-28   6.441948e-28   0.000000e+00   0.000000e+00   0.000000e+00
