# CIE bound-bound cooling efficiency for H (Z=1)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_H0           L_H1         
         4.0000   2.728610e-24   0.000000e+00
         4.0500   9.891383e-24   0.000000e+00
         4.1000   3.132024e-23   0.000000e+00
         4.1500   8.790368e-23   0.000000e+00
         4.2000   2.215214e-22   0.000000e+00
         4.2500   5.070122e-22   0.000000e+00
         4.3000   1.064697e-21   0.000000e+00
         4.3500   2.069991e-21   0.000000e+00
         4.4000   3.756268e-21   0.000000e+00
         4.4500   6.408145e-21   0.000000e+00
         4.5000   1.034451e-20   0.000000e+00
         4.5500   1.589308e-20   0.000000e+00
         4.6000   2.336035e-20   0.000000e+00
         4.6500   3.300169e-20   0.000000e+00
         4.7000   4.499563e-20   0.000000e+00
         4.7500   5.942578e-20   0.000000e+00
         4.8000   7.627285e-20   0.000000e+00
         4.8500   9.541690e-20   0.000000e+00
         4.9000   1.166472e-19   0.000000e+00
         4.9500   1.396779e-19   0.000000e+00
         5.0000   1.641674e-19   0.000000e+00
         5.0500   1.897394e-19   0.000000e+00
         5.1000   2.160024e-19   0.000000e+00
         5.1500   2.425688e-19   0.000000e+00
         5.2000   2.690825e-19   0.000000e+00
         5.2500   2.952547e-19   0.000000e+00
         5.3000   3.208408e-19   0.000000e+00
         5.3500   3.456306e-19   0.000000e+00
         5.4000   3.694452e-19   0.000000e+00
         5.4500   3.921332e-19   0.000000e+00
         5.5000   4.135678e-19   0.000000e+00
         5.5500   4.336437e-19   0.000000e+00
         5.6000   4.522752e-19   0.000000e+00
         5.6500   4.693944e-19   0.000000e+00
         5.7000   4.849502e-19   0.000000e+00
         5.7500   4.989070e-19   0.000000e+00
         5.8000   5.112444e-19   0.000000e+00
         5.8500   5.219561e-19   0.000000e+00
         5.9000   5.310489e-19   0.000000e+00
         5.9500   5.385428e-19   0.000000e+00
         6.0000   5.444688e-19   0.000000e+00
         6.0500   5.488688e-19   0.000000e+00
         6.1000   5.517941e-19   0.000000e+00
         6.1500   5.533041e-19   0.000000e+00
         6.2000   5.534653e-19   0.000000e+00
         6.2500   5.523497e-19   0.000000e+00
         6.3000   5.500337e-19   0.000000e+00
         6.3500   5.465969e-19   0.000000e+00
         6.4000   5.421207e-19   0.000000e+00
         6.4500   5.366878e-19   0.000000e+00
         6.5000   5.303803e-19   0.000000e+00
         6.5500   5.232800e-19   0.000000e+00
         6.6000   5.154664e-19   0.000000e+00
         6.6500   5.070173e-19   0.000000e+00
         6.7000   4.980074e-19   0.000000e+00
         6.7500   4.885081e-19   0.000000e+00
         6.8000   4.785877e-19   0.000000e+00
         6.8500   4.683103e-19   0.000000e+00
         6.9000   4.577365e-19   0.000000e+00
         6.9500   4.469229e-19   0.000000e+00
         7.0000   4.359221e-19   0.000000e+00
         7.0500   4.247828e-19   0.000000e+00
         7.1000   4.135498e-19   0.000000e+00
         7.1500   4.022644e-19   0.000000e+00
         7.2000   3.909641e-19   0.000000e+00
         7.2500   3.796831e-19   0.000000e+00
         7.3000   3.684522e-19   0.000000e+00
         7.3500   3.572992e-19   0.000000e+00
         7.4000   3.462490e-19   0.000000e+00
         7.4500   3.353236e-19   0.000000e+00
         7.5000   3.245426e-19   0.000000e+00
         7.5500   3.139231e-19   0.000000e+00
         7.6000   3.034801e-19   0.000000e+00
         7.6500   2.932266e-19   0.000000e+00
         7.7000   2.831734e-19   0.000000e+00
         7.7500   2.733298e-19   0.000000e+00
         7.8000   2.637036e-19   0.000000e+00
         7.8500   2.543009e-19   0.000000e+00
         7.9000   2.451266e-19   0.000000e+00
         7.9500   2.361843e-19   0.000000e+00
         8.0000   2.274768e-19   0.000000e+00
         8.0500   2.190054e-19   0.000000e+00
         8.1000   2.107711e-19   0.000000e+00
         8.1500   2.027736e-19   0.000000e+00
         8.2000   1.950121e-19   0.000000e+00
         8.2500   1.874851e-19   0.000000e+00
         8.3000   1.801908e-19   0.000000e+00
         8.3500   1.731264e-19   0.000000e+00
         8.4000   1.662891e-19   0.000000e+00
         8.4500   1.596755e-19   0.000000e+00
         8.5000   1.532820e-19   0.000000e+00
         8.5500   1.471046e-19   0.000000e+00
         8.6000   1.411390e-19   0.000000e+00
         8.6500   1.353809e-19   0.000000e+00
         8.7000   1.298257e-19   0.000000e+00
         8.7500   1.244687e-19   0.000000e+00
         8.8000   1.193050e-19   0.000000e+00
         8.8500   1.143299e-19   0.000000e+00
         8.9000   1.095383e-19   0.000000e+00
         8.9500   1.049252e-19   0.000000e+00
         9.0000   1.004857e-19   0.000000e+00
