# CIE bound-bound cooling efficiency for N (Z=7)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_N0           L_N1           L_N2           L_N3           L_N4           L_N5           L_N6           L_N7         
         4.0000   3.225796e-21   9.258289e-21   2.084498e-21   1.072964e-22   4.083759e-23  3.710003e-230  1.261192e-270   0.000000e+00
         4.0500   4.540261e-21   1.112819e-20   2.141234e-21   2.726958e-22   1.363168e-22  3.758744e-207  3.140960e-243   0.000000e+00
         4.1000   6.172945e-21   1.315912e-20   2.304245e-21   6.277092e-22   3.967534e-22  1.200548e-186  8.154802e-219   0.000000e+00
         4.1500   8.146242e-21   1.535705e-20   2.653791e-21   1.325658e-21   1.022022e-21  2.259451e-168  4.657181e-197   0.000000e+00
         4.2000   1.048280e-20   1.775237e-20   3.311001e-21   2.586416e-21   2.361301e-21  4.372652e-152  1.138194e-177   0.000000e+00
         4.2500   1.320958e-20   2.041512e-20   4.455897e-21   4.670901e-21   4.951647e-21  1.428191e-137  2.154210e-160   0.000000e+00
         4.3000   1.637427e-20   2.347782e-20   6.353015e-21   7.876992e-21   9.524713e-21  1.223542e-124  5.357001e-145   0.000000e+00
         4.3500   2.008685e-20   2.715565e-20   9.376222e-21   1.255314e-20   1.696512e-20  4.079460e-113  2.803726e-131   0.000000e+00
         4.4000   2.457215e-20   3.176020e-20   1.403601e-20   1.912831e-20   2.821757e-20  7.530716e-103  4.699989e-119   0.000000e+00
         4.4500   3.013615e-20   3.770748e-20   2.099529e-20   2.817977e-20   4.415701e-20   1.054186e-93  3.668956e-108   0.000000e+00
         4.5000   3.713594e-20   4.552002e-20   3.106040e-20   4.052435e-20   6.544920e-20   1.482046e-85   1.861808e-98   0.000000e+00
         4.5500   4.590984e-20   5.581736e-20   4.514223e-20   5.726131e-20   9.243303e-20   2.690785e-78   8.267685e-90   0.000000e+00
         4.6000   5.677745e-20   6.929218e-20   6.418970e-20   7.954186e-20   1.250495e-19   7.902499e-72   4.187558e-82   0.000000e+00
         4.6500   7.006739e-20   8.666552e-20   8.910863e-20   1.083729e-19   1.628295e-19   4.579815e-66   3.063540e-75   0.000000e+00
         4.7000   8.606394e-20   1.086214e-19   1.206858e-19   1.443978e-19   2.049391e-19   6.246742e-61   3.995564e-69   0.000000e+00
         4.7500   1.049512e-19   1.357343e-19   1.595366e-19   1.877576e-19   2.502684e-19   2.346411e-56   1.120704e-63   0.000000e+00
