# CIE ionization fractions for Ar (Z=18)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_Ar0          x_Ar1          x_Ar2          x_Ar3          x_Ar4          x_Ar5          x_Ar6          x_Ar7          x_Ar8          x_Ar9          x_Ar10         x_Ar11         x_Ar12         x_Ar13         x_Ar14         x_Ar15         x_Ar16         x_Ar17         x_Ar18       
         4.0000   9.996000e-01   4.329000e-04   4.486000e-14   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.0500   9.964000e-01   3.607000e-03   1.405000e-11   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.1000   9.763000e-01   2.372000e-02   2.379000e-09   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.1500   8.819000e-01   1.181000e-01   2.178000e-07   1.831000e-19   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.2000   6.176000e-01   3.824000e-01   9.601000e-06   3.542000e-16   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.2500   2.902000e-01   7.096000e-01   1.856000e-04   2.040000e-13   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.3000   1.063000e-01   8.918000e-01   1.913000e-03   4.423000e-11   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.3500   3.744000e-02   9.491000e-01   1.344000e-02   4.783000e-09   1.202000e-20   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.4000   1.340000e-02   9.166000e-01   6.997000e-02   2.883000e-07   2.387000e-17   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.4500   4.488000e-03   7.457000e-01   2.498000e-01   9.186000e-06   1.725000e-14   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.5000   1.260000e-03   4.599000e-01   5.387000e-01   1.386000e-04   4.218000e-12   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.5500   3.310000e-04   2.391000e-01   7.594000e-01   1.087000e-03   3.940000e-10   2.154000e-19   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.6000   1.005000e-04   1.287000e-01   8.657000e-01   5.526000e-03   1.794000e-08   1.510000e-16   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.6500   3.795000e-05   7.664000e-02   9.026000e-01   2.077000e-02   4.627000e-07   4.325000e-14   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.7000   1.716000e-05   4.885000e-02   8.905000e-01   6.058000e-02   7.242000e-06   5.608000e-12   3.927000e-20   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.7500   8.627000e-06   3.155000e-02   8.284000e-01   1.399000e-01   7.192000e-05   3.572000e-10   2.579000e-17   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.8000   4.509000e-06   1.983000e-02   7.186000e-01   2.611000e-01   4.761000e-04   1.218000e-08   6.978000e-15   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.8500   2.346000e-06   1.192000e-02   5.803000e-01   4.055000e-01   2.234000e-03   2.446000e-07   8.832000e-13   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.9000   1.194000e-06   6.859000e-03   4.410000e-01   5.442000e-01   7.945000e-03   3.180000e-06   5.922000e-11   3.323000e-18   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.9500   5.929000e-07   3.818000e-03   3.199000e-01   6.535000e-01   2.272000e-02   2.909000e-05   2.346000e-09   9.417000e-16   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         5.0000   2.866000e-07   2.069000e-03   2.236000e-01   7.195000e-01   5.460000e-02   1.994000e-04   5.981000e-08   1.413000e-13   3.189000e-19   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         5.0500   1.342000e-07   1.090000e-03   1.506000e-01   7.342000e-01   1.131000e-01   1.066000e-03   1.043000e-06   1.220000e-11   1.930000e-16   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         5.1000   6.014000e-08   5.530000e-04   9.688000e-02   6.937000e-01   2.043000e-01   4.559000e-03   1.296000e-05   6.438000e-10   5.861000e-14   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         5.1500   2.543000e-08   2.663000e-04   5.880000e-02   6.028000e-01   3.222000e-01   1.578000e-02   1.179000e-04   2.171000e-08   9.534000e-12   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         5.2000   1.001000e-08   1.201000e-04   3.325000e-02   4.778000e-01   4.435000e-01   4.459000e-02   8.020000e-04   4.845000e-07   8.776000e-10   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         5.2500   3.626000e-09   5.015000e-05   1.734000e-02   3.429000e-01   5.319000e-01   1.036000e-01   4.148000e-03   7.385000e-06   4.796000e-08   1.606000e-18   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         5.3000   1.198000e-09   1.921000e-05   8.260000e-03   2.215000e-01   5.550000e-01   1.987000e-01   1.655000e-02   7.888000e-05   1.622000e-06   1.188000e-15   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         5.3500   3.571000e-10   6.673000e-06   3.559000e-03   1.276000e-01   5.015000e-01   3.153000e-01   5.142000e-02   6.029000e-04   3.514000e-05   4.007000e-13   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         5.4000   9.520000e-11   2.083000e-06   1.373000e-03   6.507000e-02   3.904000e-01   4.139000e-01   1.253000e-01   3.353000e-03   5.012000e-04   6.565000e-11   1.702000e-19   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         5.4500   2.254000e-11   5.795000e-07   4.702000e-04   2.914000e-02   2.608000e-01   4.498000e-01   2.412000e-01   1.379000e-02   4.815000e-03   5.517000e-09   1.711000e-16   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         5.5000   4.676000e-12   1.416000e-07   1.408000e-04   1.130000e-02   1.477000e-01   4.014000e-01   3.658000e-01   4.218000e-02   3.143000e-02   2.473000e-07   7.046000e-14   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         5.5500   8.073000e-13   2.886000e-08   3.500000e-05   3.610000e-03   6.756000e-02   2.814000e-01   4.198000e-01   9.293000e-02   1.347000e-01   5.872000e-06   1.215000e-11   1.102000e-18   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         5.6000   1.069000e-13   4.519000e-09   6.661000e-06   8.763000e-04   2.309000e-02   1.436000e-01   3.397000e-01   1.383000e-01   3.543000e-01   7.080000e-05   8.634000e-10   5.869000e-16   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         5.6500   1.110000e-14   5.551000e-10   9.920000e-07   1.653000e-04   6.036000e-03   5.486000e-02   1.999000e-01   1.441000e-01   5.945000e-01   4.603000e-04   2.746000e-08   1.141000e-13   5.039000e-20   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         5.7000   1.046000e-15   6.196000e-11   1.340000e-07   2.810000e-05   1.403000e-03   1.826000e-02   9.994000e-02   1.234000e-01   7.550000e-01   1.949000e-03   4.814000e-07   1.019000e-11   2.862000e-17   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         5.7500   1.008000e-16   7.080000e-12   1.852000e-08   4.857000e-06   3.272000e-04   5.992000e-03   4.817000e-02   9.884000e-02   8.403000e-01   6.316000e-03   5.562000e-06   5.090000e-10   7.514000e-15   1.046000e-20   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         5.8000   1.039000e-17   8.656000e-13   2.736000e-09   8.926000e-07   8.023000e-05   2.034000e-03   2.355000e-02   7.806000e-02   8.792000e-01   1.705000e-02   4.671000e-05   1.594000e-08   1.042000e-12   7.720000e-18   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         5.8500   1.149000e-18   1.136000e-13   4.337000e-10   1.751000e-07   2.078000e-05   7.190000e-04   1.177000e-02   6.137000e-02   8.860000e-01   3.977000e-02   2.998000e-04   3.334000e-07   8.265000e-11   2.758000e-15   1.431000e-20   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         5.9000   1.350000e-19   1.583000e-14   7.287000e-11   3.622000e-08   5.620000e-06   2.620000e-04   5.970000e-03   4.769000e-02   8.630000e-01   8.156000e-02   1.514000e-03   4.850000e-06   3.961000e-09   5.114000e-13   1.193000e-17   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
