# CIE ionization fractions for C (Z=6)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_C0           x_C1           x_C2           x_C3           x_C4           x_C5           x_C6         
         4.0000   9.676000e-01   3.239000e-02   1.162000e-11   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.0500   8.672000e-01   1.328000e-01   1.162000e-09   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.1000   6.284000e-01   3.716000e-01   5.670000e-08   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.1500   3.423000e-01   6.577000e-01   1.289000e-06   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.2000   1.613000e-01   8.387000e-01   1.592000e-05   9.277000e-19   0.000000e+00   0.000000e+00   0.000000e+00
         4.2500   7.881000e-02   9.211000e-01   1.294000e-04   3.402000e-16   0.000000e+00   0.000000e+00   0.000000e+00
         4.3000   4.303000e-02   9.562000e-01   7.657000e-04   5.769000e-14   0.000000e+00   0.000000e+00   0.000000e+00
         4.3500   2.615000e-02   9.704000e-01   3.453000e-03   5.034000e-12   0.000000e+00   0.000000e+00   0.000000e+00
         4.4000   1.713000e-02   9.706000e-01   1.228000e-02   2.473000e-10   0.000000e+00   0.000000e+00   0.000000e+00
         4.4500   1.168000e-02   9.527000e-01   3.560000e-02   7.431000e-09   4.619000e-18   0.000000e+00   0.000000e+00
         4.5000   7.999000e-03   9.056000e-01   8.643000e-02   1.460000e-07   1.876000e-15   0.000000e+00   0.000000e+00
         4.5500   5.326000e-03   8.166000e-01   1.781000e-01   1.963000e-06   3.810000e-13   0.000000e+00   0.000000e+00
         4.6000   3.349000e-03   6.840000e-01   3.127000e-01   1.867000e-05   4.134000e-11   0.000000e+00   0.000000e+00
         4.6500   1.960000e-03   5.267000e-01   4.712000e-01   1.292000e-04   2.545000e-09   0.000000e+00   0.000000e+00
         4.7000   1.073000e-03   3.759000e-01   6.224000e-01   6.785000e-04   9.512000e-08   0.000000e+00   0.000000e+00
         4.7500   5.599000e-04   2.540000e-01   7.426000e-01   2.831000e-03   2.316000e-06   0.000000e+00   0.000000e+00
         4.8000   2.845000e-04   1.661000e-01   8.237000e-01   9.800000e-03   3.922000e-05   0.000000e+00   0.000000e+00
         4.8500   1.422000e-04   1.064000e-01   8.640000e-01   2.899000e-02   4.846000e-04   0.000000e+00   0.000000e+00
         4.9000   6.953000e-05   6.632000e-02   8.551000e-01   7.398000e-02   4.487000e-03   0.000000e+00   0.000000e+00
         4.9500   3.197000e-05   3.876000e-02   7.716000e-01   1.588000e-01   3.084000e-02   0.000000e+00   0.000000e+00
         5.0000   1.247000e-05   1.914000e-02   5.738000e-01   2.616000e-01   1.454000e-01   6.030000e-20   0.000000e+00
         5.0500   3.503000e-06   6.793000e-03   3.000000e-01   2.842000e-01   4.090000e-01   2.744000e-17   0.000000e+00
         5.1000   6.967000e-07   1.702000e-03   1.085000e-01   2.018000e-01   6.879000e-01   4.361000e-15   0.000000e+00
         5.1500   1.187000e-07   3.643000e-04   3.295000e-02   1.143000e-01   8.524000e-01   3.161000e-13   0.000000e+00
         5.2000   2.038000e-08   7.837000e-05   9.888000e-03   6.113000e-02   9.289000e-01   1.314000e-11   0.000000e+00
         5.2500   3.761000e-09   1.808000e-05   3.135000e-03   3.316000e-02   9.637000e-01   3.556000e-10   0.000000e+00
         5.3000   7.587000e-10   4.550000e-06   1.070000e-03   1.866000e-02   9.803000e-01   6.718000e-09   3.064000e-20
         5.3500   1.674000e-10   1.249000e-06   3.938000e-04   1.095000e-02   9.887000e-01   9.299000e-08   1.078000e-17
         5.4000   4.019000e-11   3.723000e-07   1.556000e-04   6.704000e-03   9.931000e-01   9.792000e-07   2.059000e-15
         5.4500   1.044000e-11   1.197000e-07   6.568000e-05   4.268000e-03   9.957000e-01   8.092000e-06   2.287000e-13
         5.5000   2.920000e-12   4.136000e-08   2.950000e-05   2.822000e-03   9.971000e-01   5.391000e-05   1.567000e-11
         5.5500   8.765000e-13   1.530000e-08   1.406000e-05   1.938000e-03   9.978000e-01   2.963000e-04   6.977000e-10
         5.6000   2.826000e-13   6.062000e-09   7.122000e-06   1.385000e-03   9.972000e-01   1.370000e-03   2.112000e-08
         5.6500   9.818000e-14   2.581000e-09   3.843000e-06   1.037000e-03   9.936000e-01   5.399000e-03   4.512000e-07
         5.7000   3.678000e-14   1.182000e-09   2.213000e-06   8.144000e-04   9.809000e-01   1.826000e-02   6.985000e-06
         5.7500   1.474000e-14   5.776000e-10   1.350000e-06   6.673000e-04   9.465000e-01   5.272000e-02   7.941000e-05
         5.8000   6.152000e-15   2.933000e-10   8.511000e-07   5.568000e-04   8.713000e-01   1.274000e-01   6.611000e-04
