# CIE ionization fractions for H (Z=1)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_H0           x_H1         
         4.0000   9.983000e-01   1.693000e-03
         4.0500   9.892000e-01   1.080000e-02
         4.1000   9.448000e-01   5.520000e-02
         4.1500   7.905000e-01   2.095000e-01
         4.2000   4.909000e-01   5.091000e-01
         4.2500   2.193000e-01   7.807000e-01
         4.3000   8.425000e-02   9.157000e-01
         4.3500   3.235000e-02   9.676000e-01
         4.4000   1.315000e-02   9.868000e-01
         4.4500   5.738000e-03   9.943000e-01
         4.5000   2.683000e-03   9.973000e-01
         4.5500   1.337000e-03   9.987000e-01
         4.6000   7.063000e-04   9.993000e-01
         4.6500   3.929000e-04   9.996000e-01
         4.7000   2.290000e-04   9.998000e-01
         4.7500   1.392000e-04   9.999000e-01
         4.8000   8.779000e-05   9.999000e-01
         4.8500   5.726000e-05   9.999000e-01
         4.9000   3.849000e-05   1.000000e+00
         4.9500   2.658000e-05   1.000000e+00
         5.0000   1.880000e-05   1.000000e+00
         5.0500   1.359000e-05   1.000000e+00
         5.1000   1.002000e-05   1.000000e+00
         5.1500   7.519000e-06   1.000000e+00
         5.2000   5.732000e-06   1.000000e+00
         5.2500   4.433000e-06   1.000000e+00
         5.3000   3.473000e-06   1.000000e+00
         5.3500   2.753000e-06   1.000000e+00
         5.4000   2.205000e-06   1.000000e+00
         5.4500   1.783000e-06   1.000000e+00
         5.5000   1.454000e-06   1.000000e+00
         5.5500   1.196000e-06   1.000000e+00
         5.6000   9.899000e-07   1.000000e+00
         5.6500   8.250000e-07   1.000000e+00
         5.7000   6.917000e-07   1.000000e+00
         5.7500   5.831000e-07   1.000000e+00
         5.8000   4.940000e-07   1.000000e+00
         5.8500   4.203000e-07   1.000000e+00
         5.9000   3.592000e-07   1.000000e+00
         5.9500   3.081000e-07   1.000000e+00
         6.0000   2.652000e-07   1.000000e+00
         6.0500   2.291000e-07   1.000000e+00
         6.1000   1.984000e-07   1.000000e+00
         6.1500   1.723000e-07   1.000000e+00
         6.2000   1.499000e-07   1.000000e+00
         6.2500   1.308000e-07   1.000000e+00
         6.3000   1.143000e-07   1.000000e+00
         6.3500   1.001000e-07   1.000000e+00
         6.4000   8.782000e-08   1.000000e+00
         6.4500   7.718000e-08   1.000000e+00
         6.5000   6.794000e-08   1.000000e+00
         6.5500   5.988000e-08   1.000000e+00
         6.6000   5.285000e-08   1.000000e+00
         6.6500   4.669000e-08   1.000000e+00
         6.7000   4.128000e-08   1.000000e+00
         6.7500   3.653000e-08   1.000000e+00
         6.8000   3.235000e-08   1.000000e+00
         6.8500   2.866000e-08   1.000000e+00
         6.9000   2.540000e-08   1.000000e+00
         6.9500   2.252000e-08   1.000000e+00
         7.0000   1.998000e-08   1.000000e+00
         7.0500   1.772000e-08   1.000000e+00
         7.1000   1.572000e-08   1.000000e+00
         7.1500   1.395000e-08   1.000000e+00
         7.2000   1.238000e-08   1.000000e+00
         7.2500   1.099000e-08   1.000000e+00
         7.3000   9.761000e-09   1.000000e+00
         7.3500   8.668000e-09   1.000000e+00
         7.4000   7.699000e-09   1.000000e+00
         7.4500   6.838000e-09   1.000000e+00
         7.5000   6.075000e-09   1.000000e+00
         7.5500   5.397000e-09   1.000000e+00
         7.6000   4.795000e-09   1.000000e+00
         7.6500   4.260000e-09   1.000000e+00
         7.7000   3.785000e-09   1.000000e+00
         7.7500   3.362000e-09   1.000000e+00
         7.8000   2.986000e-09   1.000000e+00
         7.8500   2.652000e-09   1.000000e+00
         7.9000   2.355000e-09   1.000000e+00
         7.9500   2.091000e-09   1.000000e+00
         8.0000   1.857000e-09   1.000000e+00
         8.0500   1.648000e-09   1.000000e+00
         8.1000   1.463000e-09   1.000000e+00
         8.1500   1.298000e-09   1.000000e+00
         8.2000   1.151000e-09   1.000000e+00
         8.2500   1.021000e-09   1.000000e+00
         8.3000   9.057000e-10   1.000000e+00
         8.3500   8.031000e-10   1.000000e+00
         8.4000   7.121000e-10   1.000000e+00
         8.4500   6.312000e-10   1.000000e+00
         8.5000   5.595000e-10   1.000000e+00
         8.5500   4.959000e-10   1.000000e+00
         8.6000   4.394000e-10   1.000000e+00
         8.6500   3.893000e-10   1.000000e+00
         8.7000   3.449000e-10   1.000000e+00
         8.7500   3.055000e-10   1.000000e+00
         8.8000   2.706000e-10   1.000000e+00
         8.8500   2.397000e-10   1.000000e+00
         8.9000   2.123000e-10   1.000000e+00
         8.9500   1.880000e-10   1.000000e+00
         9.0000   1.664000e-10   1.000000e+00
