# CIE ionization fractions for He (Z=2)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_He0          x_He1          x_He2        
         4.0000   1.000000e+00   1.904000e-09   0.000000e+00
         4.0500   1.000000e+00   4.875000e-08   0.000000e+00
         4.1000   1.000000e+00   8.914000e-07   0.000000e+00
         4.1500   1.000000e+00   1.208000e-05   0.000000e+00
         4.2000   9.999000e-01   1.252000e-04   2.390000e-19
         4.2500   9.990000e-01   1.023000e-03   1.707000e-16
         4.3000   9.933000e-01   6.728000e-03   6.129000e-14
         4.3500   9.642000e-01   3.577000e-02   1.170000e-11
         4.4000   8.534000e-01   1.466000e-01   1.184000e-09
         4.4500   5.936000e-01   4.064000e-01   5.812000e-08
         4.5000   2.951000e-01   7.049000e-01   1.326000e-06
         4.5500   1.192000e-01   8.807000e-01   1.673000e-05
         4.6000   4.663000e-02   9.532000e-01   1.445000e-04
         4.6500   1.930000e-02   9.797000e-01   9.608000e-04
         4.7000   8.794000e-03   9.860000e-01   5.187000e-03
         4.7500   4.499000e-03   9.723000e-01   2.323000e-02
         4.8000   2.557000e-03   9.122000e-01   8.528000e-02
         4.8500   1.494000e-03   7.562000e-01   2.424000e-01
         4.9000   7.927000e-04   5.055000e-01   4.937000e-01
         4.9500   3.644000e-04   2.718000e-01   7.278000e-01
         5.0000   1.548000e-04   1.301000e-01   8.698000e-01
         5.0500   6.551000e-05   6.113000e-02   9.388000e-01
         5.1000   2.862000e-05   2.964000e-02   9.703000e-01
         5.1500   1.305000e-05   1.508000e-02   9.849000e-01
         5.2000   6.211000e-06   8.081000e-03   9.919000e-01
         5.2500   3.079000e-06   4.548000e-03   9.954000e-01
         5.3000   1.583000e-06   2.679000e-03   9.973000e-01
         5.3500   8.419000e-07   1.645000e-03   9.984000e-01
         5.4000   4.612000e-07   1.048000e-03   9.990000e-01
         5.4500   2.596000e-07   6.901000e-04   9.993000e-01
         5.5000   1.498000e-07   4.683000e-04   9.995000e-01
         5.5500   8.834000e-08   3.263000e-04   9.997000e-01
         5.6000   5.317000e-08   2.329000e-04   9.998000e-01
         5.6500   3.260000e-08   1.698000e-04   9.998000e-01
         5.7000   2.033000e-08   1.262000e-04   9.999000e-01
         5.7500   1.288000e-08   9.544000e-05   9.999000e-01
         5.8000   8.283000e-09   7.331000e-05   9.999000e-01
         5.8500   5.399000e-09   5.711000e-05   9.999000e-01
         5.9000   3.564000e-09   4.505000e-05   1.000000e+00
         5.9500   2.380000e-09   3.595000e-05   1.000000e+00
         6.0000   1.607000e-09   2.899000e-05   1.000000e+00
         6.0500   1.097000e-09   2.360000e-05   1.000000e+00
         6.1000   7.559000e-10   1.938000e-05   1.000000e+00
         6.1500   5.256000e-10   1.604000e-05   1.000000e+00
         6.2000   3.686000e-10   1.337000e-05   1.000000e+00
         6.2500   2.606000e-10   1.122000e-05   1.000000e+00
         6.3000   1.855000e-10   9.473000e-06   1.000000e+00
         6.3500   1.330000e-10   8.037000e-06   1.000000e+00
         6.4000   9.592000e-11   6.852000e-06   1.000000e+00
         6.4500   6.962000e-11   5.868000e-06   1.000000e+00
         6.5000   5.082000e-11   5.047000e-06   1.000000e+00
         6.5500   3.730000e-11   4.358000e-06   1.000000e+00
         6.6000   2.752000e-11   3.776000e-06   1.000000e+00
         6.6500   2.040000e-11   3.283000e-06   1.000000e+00
         6.7000   1.519000e-11   2.862000e-06   1.000000e+00
         6.7500   1.135000e-11   2.502000e-06   1.000000e+00
         6.8000   8.522000e-12   2.192000e-06   1.000000e+00
         6.8500   6.419000e-12   1.925000e-06   1.000000e+00
         6.9000   4.850000e-12   1.693000e-06   1.000000e+00
         6.9500   3.675000e-12   1.491000e-06   1.000000e+00
         7.0000   2.792000e-12   1.315000e-06   1.000000e+00
         7.0500   2.126000e-12   1.160000e-06   1.000000e+00
         7.1000   1.622000e-12   1.025000e-06   1.000000e+00
         7.1500   1.240000e-12   9.060000e-07   1.000000e+00
         7.2000   9.498000e-13   8.014000e-07   1.000000e+00
         7.2500   7.287000e-13   7.094000e-07   1.000000e+00
         7.3000   5.599000e-13   6.282000e-07   1.000000e+00
         7.3500   4.309000e-13   5.567000e-07   1.000000e+00
         7.4000   3.320000e-13   4.935000e-07   1.000000e+00
         7.4500   2.563000e-13   4.377000e-07   1.000000e+00
         7.5000   1.980000e-13   3.884000e-07   1.000000e+00
         7.5500   1.532000e-13   3.447000e-07   1.000000e+00
         7.6000   1.187000e-13   3.060000e-07   1.000000e+00
         7.6500   9.202000e-14   2.718000e-07   1.000000e+00
         7.7000   7.143000e-14   2.414000e-07   1.000000e+00
         7.7500   5.549000e-14   2.145000e-07   1.000000e+00
         7.8000   4.314000e-14   1.905000e-07   1.000000e+00
         7.8500   3.356000e-14   1.693000e-07   1.000000e+00
         7.9000   2.613000e-14   1.504000e-07   1.000000e+00
         7.9500   2.035000e-14   1.337000e-07   1.000000e+00
         8.0000   1.586000e-14   1.188000e-07   1.000000e+00
         8.0500   1.236000e-14   1.056000e-07   1.000000e+00
         8.1000   9.643000e-15   9.379000e-08   1.000000e+00
         8.1500   7.523000e-15   8.332000e-08   1.000000e+00
         8.2000   5.871000e-15   7.402000e-08   1.000000e+00
         8.2500   4.583000e-15   6.574000e-08   1.000000e+00
         8.3000   3.578000e-15   5.839000e-08   1.000000e+00
         8.3500   2.794000e-15   5.185000e-08   1.000000e+00
         8.4000   2.182000e-15   4.603000e-08   1.000000e+00
         8.4500   1.705000e-15   4.087000e-08   1.000000e+00
         8.5000   1.332000e-15   3.627000e-08   1.000000e+00
         8.5500   1.040000e-15   3.219000e-08   1.000000e+00
         8.6000   8.129000e-16   2.857000e-08   1.000000e+00
         8.6500   6.353000e-16   2.535000e-08   1.000000e+00
         8.7000   4.964000e-16   2.249000e-08   1.000000e+00
         8.7500   3.880000e-16   1.994000e-08   1.000000e+00
         8.8000   3.032000e-16   1.769000e-08   1.000000e+00
         8.8500   2.370000e-16   1.568000e-08   1.000000e+00
         8.9000   1.852000e-16   1.391000e-08   1.000000e+00
         8.9500   1.448000e-16   1.233000e-08   1.000000e+00
         9.0000   1.131000e-16   1.093000e-08   1.000000e+00
