# CIE ionization fractions for Mg (Z=12)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_Mg0          x_Mg1          x_Mg2          x_Mg3          x_Mg4          x_Mg5          x_Mg6          x_Mg7          x_Mg8          x_Mg9          x_Mg10         x_Mg11         x_Mg12       
         4.0000   5.455000e-01   4.544000e-01   9.009000e-05   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.0500   3.813000e-01   6.177000e-01   9.520000e-04   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.1000   2.488000e-01   7.439000e-01   7.250000e-03   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.1500   1.528000e-01   8.059000e-01   4.131000e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.2000   8.333000e-02   7.460000e-01   1.707000e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.2500   3.495000e-02   5.127000e-01   4.523000e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.3000   1.065000e-02   2.483000e-01   7.411000e-01   2.537000e-18   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.3500   2.771000e-03   9.987000e-02   8.974000e-01   5.672000e-16   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.4000   7.249000e-04   3.939000e-02   9.599000e-01   6.448000e-14   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.4500   2.039000e-04   1.633000e-02   9.835000e-01   4.289000e-12   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.5000   6.266000e-05   7.252000e-03   9.927000e-01   1.810000e-10   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.5500   2.102000e-05   3.451000e-03   9.965000e-01   5.126000e-09   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.6000   7.651000e-06   1.752000e-03   9.982000e-01   1.018000e-07   4.030000e-19   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.6500   3.002000e-06   9.438000e-04   9.991000e-01   1.468000e-06   2.134000e-16   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.7000   1.262000e-06   5.375000e-04   9.994000e-01   1.580000e-05   5.690000e-14   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.7500   5.674000e-07   3.230000e-04   9.995000e-01   1.294000e-04   8.028000e-12   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.8000   2.731000e-07   2.054000e-04   9.990000e-01   8.174000e-04   6.229000e-10   1.021000e-19   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.8500   1.419000e-07   1.394000e-04   9.958000e-01   4.022000e-03   2.762000e-08   8.094000e-17   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.9000   8.033000e-08   1.021000e-04   9.843000e-01   1.564000e-02   7.337000e-07   2.774000e-14   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.9500   4.952000e-08   8.067000e-05   9.511000e-01   4.885000e-02   1.231000e-05   4.500000e-12   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         5.0000   3.241000e-08   6.707000e-05   8.761000e-01   1.237000e-01   1.367000e-04   3.760000e-10   4.253000e-18   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         5.0500   2.138000e-08   5.575000e-05   7.446000e-01   2.543000e-01   1.040000e-03   1.731000e-08   2.132000e-15   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         5.1000   1.346000e-08   4.390000e-05   5.694000e-01   4.250000e-01   5.578000e-03   4.662000e-07   4.814000e-13   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         5.1500   7.845000e-09   3.177000e-05   3.905000e-01   5.875000e-01   2.194000e-02   7.834000e-06   5.400000e-11   5.061000e-18   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         5.2000   4.197000e-09   2.097000e-05   2.432000e-01   6.905000e-01   6.617000e-02   8.770000e-05   3.310000e-09   2.424000e-15   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         5.2500   2.050000e-09   1.256000e-05   1.386000e-01   7.027000e-01   1.580000e-01   6.874000e-04   1.194000e-07   5.538000e-13   8.585000e-20   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
