# CIE ionization fractions for N (Z=7)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_N0           x_N1           x_N2           x_N3           x_N4           x_N5           x_N6           x_N7         
         4.0000   9.995000e-01   4.855000e-04   1.087000e-15   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.0500   9.965000e-01   3.547000e-03   3.774000e-13   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.1000   9.791000e-01   2.087000e-02   7.012000e-11   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.1500   9.045000e-01   9.555000e-02   7.003000e-09   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.2000   6.965000e-01   3.035000e-01   3.442000e-07   4.530000e-20   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.2500   4.014000e-01   5.986000e-01   7.587000e-06   4.958000e-17   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.3000   1.914000e-01   8.085000e-01   8.378000e-05   1.792000e-14   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.3500   9.103000e-02   9.084000e-01   5.740000e-04   2.751000e-12   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.4000   4.720000e-02   9.500000e-01   2.820000e-03   2.137000e-10   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.4500   2.686000e-02   9.624000e-01   1.078000e-02   9.366000e-09   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.5000   1.633000e-02   9.500000e-01   3.364000e-02   2.492000e-07   3.290000e-18   0.000000e+00   0.000000e+00   0.000000e+00
         4.5500   1.021000e-02   9.022000e-01   8.758000e-02   4.235000e-06   1.185000e-15   0.000000e+00   0.000000e+00   0.000000e+00
         4.6000   6.274000e-03   8.033000e-01   1.903000e-01   4.751000e-05   2.032000e-13   0.000000e+00   0.000000e+00   0.000000e+00
         4.6500   3.644000e-03   6.530000e-01   3.430000e-01   3.614000e-04   1.776000e-11   1.557000e-20   0.000000e+00   0.000000e+00
         4.7000   1.966000e-03   4.803000e-01   5.158000e-01   1.938000e-03   8.513000e-10   1.365000e-17   0.000000e+00   0.000000e+00
         4.7500   9.949000e-04   3.250000e-01   6.662000e-01   7.746000e-03   2.440000e-08   5.295000e-15   0.000000e+00   0.000000e+00
         4.8000   4.831000e-04   2.080000e-01   7.670000e-01   2.452000e-02   4.559000e-07   1.024000e-12   0.000000e+00   0.000000e+00
         4.8500   2.282000e-04   1.280000e-01   8.076000e-01   6.419000e-02   5.934000e-06   1.087000e-10   0.000000e+00   0.000000e+00
         4.9000   1.045000e-04   7.567000e-02   7.822000e-01   1.420000e-01   5.601000e-05   6.755000e-09   0.000000e+00   0.000000e+00
         4.9500   4.557000e-05   4.235000e-02   6.912000e-01   2.660000e-01   3.914000e-04   2.570000e-07   0.000000e+00   0.000000e+00
         5.0000   1.867000e-05   2.214000e-02   5.526000e-01   4.232000e-01   2.058000e-03   6.213000e-06   0.000000e+00   0.000000e+00
