# CIE ionization fractions for Ne (Z=10)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_Ne0          x_Ne1          x_Ne2          x_Ne3          x_Ne4          x_Ne5          x_Ne6          x_Ne7          x_Ne8          x_Ne9          x_Ne10       
         4.0000   1.000000e+00   1.236000e-07   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.0500   1.000000e+00   2.214000e-06   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.1000   1.000000e+00   2.950000e-05   1.432000e-18   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.1500   9.997000e-01   3.022000e-04   1.025000e-15   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.2000   9.976000e-01   2.443000e-03   3.717000e-13   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.2500   9.841000e-01   1.585000e-02   7.276000e-11   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.3000   9.191000e-01   8.085000e-02   7.865000e-09   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.3500   7.110000e-01   2.890000e-01   4.346000e-07   7.419000e-19   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.4000   3.827000e-01   6.173000e-01   1.080000e-05   7.598000e-16   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.4500   1.531000e-01   8.468000e-01   1.325000e-04   2.594000e-13   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.5000   5.790000e-02   9.411000e-01   1.026000e-03   3.903000e-11   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.5500   2.431000e-02   9.699000e-01   5.745000e-03   3.043000e-09   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.6000   1.209000e-02   9.638000e-01   2.411000e-02   1.302000e-07   1.185000e-17   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.6500   7.022000e-03   9.167000e-01   7.626000e-02   3.134000e-06   6.783000e-15   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.7000   4.413000e-03   8.125000e-01   1.831000e-01   4.389000e-05   1.567000e-12   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.7500   2.760000e-03   6.553000e-01   3.415000e-01   3.786000e-04   1.596000e-10   3.880000e-20   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.8000   1.638000e-03   4.802000e-01   5.159000e-01   2.178000e-03   8.038000e-09   3.459000e-17   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.8500   9.152000e-04   3.259000e-01   6.641000e-01   9.099000e-03   2.264000e-07   1.242000e-14   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.9000   4.856000e-04   2.092000e-01   7.606000e-01   2.970000e-02   3.981000e-06   2.085000e-12   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.9500   2.451000e-04   1.282000e-01   7.923000e-01   7.920000e-02   4.732000e-05   1.835000e-10   2.636000e-18   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         5.0000   1.161000e-04   7.415000e-02   7.500000e-01   1.754000e-01   3.976000e-04   9.172000e-09   1.285000e-15   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         5.0500   5.050000e-05   3.965000e-02   6.359000e-01   3.220000e-01   2.415000e-03   2.741000e-07   2.945000e-13   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         5.1000   1.991000e-05   1.934000e-02   4.788000e-01   4.910000e-01   1.083000e-02   5.125000e-06   3.420000e-11   1.024000e-18   0.000000e+00   0.000000e+00   0.000000e+00
         5.1500   7.141000e-06   8.638000e-03   3.225000e-01   6.319000e-01   3.692000e-02   6.317000e-05   2.175000e-09   5.730000e-16   0.000000e+00   0.000000e+00   0.000000e+00
         5.2000   2.357000e-06   3.569000e-03   1.970000e-01   7.000000e-01   9.898000e-02   5.396000e-04   8.141000e-08   1.522000e-13   9.771000e-20   0.000000e+00   0.000000e+00
         5.2500   7.172000e-07   1.365000e-03   1.094000e-01   6.734000e-01   2.125000e-01   3.305000e-03   1.893000e-06   2.071000e-11   1.027000e-16   0.000000e+00   0.000000e+00
         5.3000   1.996000e-07   4.794000e-04   5.491000e-02   5.616000e-01   3.682000e-01   1.480000e-02   2.832000e-05   1.529000e-09   4.757000e-14   0.000000e+00   0.000000e+00
         5.3500   5.065000e-08   1.537000e-04   2.482000e-02   4.064000e-01   5.189000e-01   4.939000e-02   2.823000e-04   6.456000e-08   1.047000e-11   0.000000e+00   0.000000e+00
         5.4000   1.177000e-08   4.517000e-05   1.015000e-02   2.575000e-01   6.044000e-01   1.260000e-01   1.946000e-03   1.644000e-06   1.179000e-09   0.000000e+00   0.000000e+00
         5.4500   2.518000e-09   1.222000e-05   3.776000e-03   1.441000e-01   5.910000e-01   2.514000e-01   9.607000e-03   2.651000e-05   7.260000e-08   0.000000e+00   0.000000e+00
         5.5000   4.973000e-10   3.050000e-06   1.282000e-03   7.176000e-02   4.911000e-01   4.006000e-01   3.498000e-02   2.827000e-04   2.592000e-06   0.000000e+00   0.000000e+00
         5.5500   9.083000e-11   7.034000e-07   3.984000e-04   3.195000e-02   3.506000e-01   5.185000e-01   9.641000e-02   2.068000e-03   5.648000e-05   0.000000e+00   0.000000e+00
         5.6000   1.536000e-11   1.499000e-07   1.134000e-04   1.276000e-02   2.167000e-01   5.532000e-01   2.056000e-01   1.071000e-02   7.855000e-04   2.006000e-18   0.000000e+00
         5.6500   2.389000e-12   2.929000e-08   2.932000e-05   4.553000e-03   1.160000e-01   4.888000e-01   3.433000e-01   4.015000e-02   7.197000e-03   9.359000e-16   0.000000e+00
         5.7000   3.314000e-13   5.091000e-09   6.694000e-06   1.411000e-03   5.245000e-02   3.511000e-01   4.430000e-01   1.083000e-01   4.371000e-02   1.916000e-13   0.000000e+00
         5.7500   3.819000e-14   7.328000e-10   1.256000e-06   3.546000e-04   1.878000e-02   1.930000e-01   4.180000e-01   2.007000e-01   1.692000e-01   1.732000e-11   0.000000e+00
         5.8000   3.419000e-15   8.163000e-11   1.812000e-07   6.767000e-05   5.003000e-03   7.653000e-02   2.735000e-01   2.435000e-01   4.015000e-01   6.920000e-10   1.492000e-20
         5.8500   2.514000e-16   7.447000e-12   2.125000e-08   1.040000e-05   1.053000e-03   2.337000e-02   1.329000e-01   2.086000e-01   6.341000e-01   1.374000e-08   5.178000e-18
         5.9000   1.759000e-17   6.439000e-13   2.348000e-09   1.490000e-06   2.037000e-04   6.405000e-03   5.609000e-02   1.485000e-01   7.888000e-01   1.658000e-07   8.117000e-16
         5.9500   1.301000e-18   5.868000e-14   2.718000e-10   2.218000e-07   4.035000e-05   1.762000e-03   2.309000e-02   9.900000e-02   8.761000e-01   1.416000e-06   6.919000e-14
         6.0000   1.066000e-19   5.903000e-15   3.452000e-11   3.594000e-08   8.593000e-06   5.119000e-04   9.783000e-03   6.558000e-02   9.241000e-01   9.335000e-06   3.599000e-12
         6.0500   0.000000e+00   6.653000e-16   4.885000e-12   6.440000e-09   2.001000e-06   1.600000e-04   4.360000e-03   4.427000e-02   9.512000e-01   4.990000e-05   1.230000e-10
         6.1000   0.000000e+00   8.427000e-17   7.729000e-13   1.282000e-09   5.123000e-07   5.424000e-05   2.064000e-03   3.085000e-02   9.668000e-01   2.230000e-04   2.918000e-09
         6.1500   0.000000e+00   1.199000e-17   1.367000e-13   2.835000e-10   1.445000e-07   2.000000e-05   1.043000e-03   2.238000e-02   9.757000e-01   8.508000e-04   5.001000e-08
         6.2000   0.000000e+00   1.917000e-18   2.700000e-14   6.964000e-11   4.490000e-08   8.034000e-06   5.650000e-04   1.700000e-02   9.796000e-01   2.814000e-03   6.405000e-07
         6.2500   0.000000e+00   3.425000e-19   5.938000e-15   1.894000e-11   1.534000e-08   3.513000e-06   3.282000e-04   1.355000e-02   9.780000e-01   8.149000e-03   6.295000e-06
         6.3000   0.000000e+00   6.785000e-20   1.441000e-15   5.656000e-12   5.710000e-09   1.660000e-06   2.032000e-04   1.128000e-02   9.677000e-01   2.079000e-02   4.845000e-05
         6.3500   0.000000e+00   1.465000e-20   3.793000e-16   1.824000e-12   2.282000e-09   8.346000e-07   1.322000e-04   9.691000e-03   9.430000e-01   4.683000e-02   2.965000e-04
         6.4000   0.000000e+00   0.000000e+00   1.059000e-16   6.211000e-13   9.570000e-10   4.372000e-07   8.866000e-05   8.421000e-03   8.968000e-01   9.324000e-02   1.461000e-03
         6.4500   0.000000e+00   0.000000e+00   3.054000e-17   2.176000e-13   4.107000e-10   2.328000e-07   5.980000e-05   7.234000e-03   8.228000e-01   1.640000e-01   5.853000e-03
         6.5000   0.000000e+00   0.000000e+00   8.870000e-18   7.647000e-14   1.759000e-10   1.230000e-07   3.963000e-05   6.006000e-03   7.197000e-01   2.550000e-01   1.925000e-02
         6.5500   0.000000e+00   0.000000e+00   2.532000e-18   2.632000e-14   7.348000e-11   6.301000e-08   2.524000e-05   4.721000e-03   5.928000e-01   3.501000e-01   5.234000e-02
         6.6000   0.000000e+00   0.000000e+00   6.953000e-19   8.682000e-15   2.930000e-11   3.067000e-08   1.514000e-05   3.448000e-03   4.540000e-01   4.241000e-01   1.184000e-01
         6.6500   0.000000e+00   0.000000e+00   1.807000e-19   2.700000e-15   1.097000e-11   1.395000e-08   8.425000e-06   2.309000e-03   3.201000e-01   4.531000e-01   2.244000e-01
         6.7000   0.000000e+00   0.000000e+00   4.419000e-20   7.869000e-16   3.833000e-12   5.898000e-09   4.328000e-06   1.413000e-03   2.077000e-01   4.303000e-01   3.607000e-01
         6.7500   0.000000e+00   0.000000e+00   1.026000e-20   2.169000e-16   1.262000e-12   2.338000e-09   2.072000e-06   7.991000e-04   1.255000e-01   3.700000e-01   5.037000e-01
         6.8000   0.000000e+00   0.000000e+00   0.000000e+00   5.766000e-17   3.989000e-13   8.867000e-10   9.442000e-07   4.271000e-04   7.223000e-02   2.962000e-01   6.311000e-01
         6.8500   0.000000e+00   0.000000e+00   0.000000e+00   1.511000e-17   1.238000e-13   3.288000e-10   4.186000e-07   2.210000e-04   4.057000e-02   2.270000e-01   7.322000e-01
         6.9000   0.000000e+00   0.000000e+00   0.000000e+00   3.968000e-18   3.840000e-14   1.213000e-10   1.839000e-07   1.129000e-04   2.266000e-02   1.703000e-01   8.070000e-01
         6.9500   0.000000e+00   0.000000e+00   0.000000e+00   1.057000e-18   1.203000e-14   4.509000e-11   8.108000e-08   5.765000e-05   1.275000e-02   1.269000e-01   8.603000e-01
         7.0000   0.000000e+00   0.000000e+00   0.000000e+00   2.872000e-19   3.835000e-15   1.698000e-11   3.611000e-08   2.969000e-05   7.283000e-03   9.482000e-02   8.979000e-01
         7.0500   0.000000e+00   0.000000e+00   0.000000e+00   7.986000e-20   1.247000e-15   6.505000e-12   1.630000e-08   1.548000e-05   4.235000e-03   7.142000e-02   9.243000e-01
         7.1000   0.000000e+00   0.000000e+00   0.000000e+00   2.273000e-20   4.139000e-16   2.536000e-12   7.476000e-09   8.186000e-06   2.512000e-03   5.435000e-02   9.431000e-01
         7.1500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.403000e-16   1.008000e-12   3.483000e-09   4.397000e-06   1.519000e-03   4.184000e-02   9.566000e-01
