# CIE ionization fractions for O (Z=8)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_O0           x_O1           x_O2           x_O3           x_O4           x_O5           x_O6           x_O7           x_O8         
         4.0000   9.982000e-01   1.831000e-03   4.173000e-18   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.0500   9.884000e-01   1.161000e-02   2.542000e-15   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.1000   9.412000e-01   5.881000e-02   7.635000e-13   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.1500   7.807000e-01   2.193000e-01   1.098000e-10   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.2000   4.818000e-01   5.182000e-01   6.826000e-09   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.2500   2.224000e-01   7.776000e-01   1.910000e-07   1.743000e-20   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.3000   9.540000e-02   9.046000e-01   3.031000e-06   1.551000e-17   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.3500   4.520000e-02   9.548000e-01   3.262000e-05   6.087000e-15   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.4000   2.500000e-02   9.747000e-01   2.567000e-04   1.175000e-12   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.4500   1.585000e-02   9.826000e-01   1.518000e-03   1.178000e-10   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.5000   1.100000e-02   9.821000e-01   6.875000e-03   6.381000e-09   2.074000e-19   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.5500   7.969000e-03   9.676000e-01   2.440000e-02   1.968000e-07   1.497000e-16   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.6000   5.780000e-03   9.246000e-01   6.959000e-02   3.677000e-06   4.591000e-14   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.6500   4.024000e-03   8.341000e-01   1.618000e-01   4.407000e-05   6.565000e-12   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.7000   2.587000e-03   6.891000e-01   3.080000e-01   3.544000e-04   4.734000e-10   2.689000e-20   0.000000e+00   0.000000e+00   0.000000e+00
         4.7500   1.505000e-03   5.128000e-01   4.837000e-01   1.997000e-03   1.859000e-08   1.827000e-17   0.000000e+00   0.000000e+00   0.000000e+00
         4.8000   7.972000e-04   3.471000e-01   6.438000e-01   8.325000e-03   4.333000e-07   5.491000e-15   0.000000e+00   0.000000e+00   0.000000e+00
         4.8500   3.937000e-04   2.189000e-01   7.535000e-01   2.719000e-02   6.540000e-06   8.235000e-13   0.000000e+00   0.000000e+00   0.000000e+00
         4.9000   1.844000e-04   1.308000e-01   7.963000e-01   7.263000e-02   6.849000e-05   6.803000e-11   7.851000e-18   0.000000e+00   0.000000e+00
         4.9500   8.171000e-05   7.404000e-02   7.638000e-01   1.615000e-01   5.184000e-04   3.310000e-09   3.943000e-15   0.000000e+00   0.000000e+00
         5.0000   3.375000e-05   3.905000e-02   6.587000e-01   2.994000e-01   2.892000e-03   9.900000e-08   9.587000e-13   0.000000e+00   0.000000e+00
         5.0500   1.283000e-05   1.896000e-02   5.064000e-01   4.625000e-01   1.210000e-02   1.887000e-06   1.201000e-10   0.000000e+00   0.000000e+00
         5.1000   4.497000e-06   8.483000e-03   3.490000e-01   6.036000e-01   3.894000e-02   2.398000e-05   8.289000e-09   0.000000e+00   0.000000e+00
         5.1500   1.468000e-06   3.532000e-03   2.183000e-01   6.784000e-01   9.954000e-02   2.128000e-04   3.374000e-07   0.000000e+00   0.000000e+00
         5.2000   4.484000e-07   1.375000e-03   1.249000e-01   6.655000e-01   2.068000e-01   1.369000e-03   8.558000e-06   0.000000e+00   0.000000e+00
         5.2500   1.280000e-07   4.993000e-04   6.539000e-02   5.733000e-01   3.541000e-01   6.553000e-03   1.412000e-04   0.000000e+00   0.000000e+00
         5.3000   3.411000e-08   1.691000e-04   3.137000e-02   4.363000e-01   5.067000e-01   2.391000e-02   1.575000e-03   0.000000e+00   0.000000e+00
         5.3500   8.475000e-09   5.324000e-05   1.378000e-02   2.944000e-01   6.117000e-01   6.783000e-02   1.227000e-02   2.288000e-18   0.000000e+00
         5.4000   1.898000e-09   1.508000e-05   5.365000e-03   1.712000e-01   6.093000e-01   1.475000e-01   6.658000e-02   9.211000e-16   0.000000e+00
         5.4500   3.476000e-10   3.484000e-06   1.682000e-03   7.819000e-02   4.585000e-01   2.270000e-01   2.347000e-01   1.531000e-13   0.000000e+00
         5.5000   4.760000e-11   6.002000e-07   3.885000e-04   2.575000e-02   2.404000e-01   2.295000e-01   5.039000e-01   1.036000e-11   0.000000e+00
         5.5500   5.283000e-12   8.354000e-08   7.176000e-05   6.652000e-03   9.591000e-02   1.676000e-01   7.298000e-01   3.296000e-10   0.000000e+00
         5.6000   5.608000e-13   1.108000e-08   1.252000e-05   1.596000e-03   3.457000e-02   1.055000e-01   8.583000e-01   6.182000e-09   2.258000e-19
         5.6500   6.303000e-14   1.552000e-09   2.284000e-06   3.944000e-04   1.254000e-02   6.418000e-02   9.229000e-01   7.965000e-08   5.281000e-17
         5.7000   7.786000e-15   2.381000e-10   4.528000e-07   1.045000e-04   4.770000e-03   3.946000e-02   9.557000e-01   7.661000e-07   6.826000e-15
         5.7500   1.066000e-15   4.032000e-11   9.840000e-08   3.000000e-05   1.928000e-03   2.494000e-02   9.731000e-01   5.772000e-06   5.290000e-13
         5.8000   1.615000e-16   7.532000e-12   2.342000e-08   9.332000e-06   8.301000e-04   1.631000e-02   9.828000e-01   3.521000e-05   2.615000e-11
         5.8500   2.701000e-17   1.547000e-12   6.093000e-09   3.142000e-06   3.811000e-04   1.107000e-02   9.884000e-01   1.783000e-04   8.676000e-10
         5.9000   4.981000e-18   3.493000e-13   1.732000e-09   1.146000e-06   1.869000e-04   7.841000e-03   9.912000e-01   7.645000e-04   2.016000e-08
         5.9500   1.015000e-18   8.679000e-14   5.390000e-10   4.543000e-07   9.839000e-05   5.829000e-03   9.913000e-01   2.815000e-03   3.398000e-07
         6.0000   2.288000e-19   2.376000e-14   1.840000e-10   1.960000e-07   5.575000e-05   4.572000e-03   9.864000e-01   8.989000e-03   4.274000e-06
         6.0500   5.676000e-20   7.134000e-15   6.850000e-11   9.166000e-08   3.389000e-05   3.778000e-03   9.712000e-01   2.496000e-02   4.088000e-05
         6.1000   1.524000e-20   2.310000e-15   2.738000e-11   4.574000e-08   2.179000e-05   3.244000e-03   9.363000e-01   6.011000e-02   3.010000e-04
