# CIE ionization fractions for Ar (Z=18)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_Ar0          x_Ar1          x_Ar2          x_Ar3          x_Ar4          x_Ar5          x_Ar6          x_Ar7          x_Ar8          x_Ar9          x_Ar10         x_Ar11         x_Ar12         x_Ar13         x_Ar14         x_Ar15         x_Ar16         x_Ar17         x_Ar18       
         4.0000   1.804851e-35   4.248354e-18   1.000000e+00   8.899864e-19   7.960958e-44   3.382097e-61   1.436835e-78   6.104182e-96  2.593273e-113  1.101714e-130  4.680472e-148  1.988430e-165  8.447557e-183  3.588821e-200  1.524658e-217  6.477289e-235  2.751782e-252  1.169054e-269  4.966557e-287
         4.0500   1.804851e-35   4.248354e-18   1.000000e+00   1.682889e-16   1.324728e-38   9.910457e-71   4.210313e-88  1.788690e-105  7.598990e-123  3.228320e-140  1.371505e-157  5.826638e-175  2.475362e-192  1.051622e-209  4.467661e-227  1.898021e-244  8.063464e-262  3.425645e-279  1.455335e-296
         4.1000   1.804851e-35   4.248354e-18   1.000000e+00   1.825782e-14   6.152061e-34   2.262334e-62   9.611197e-80   4.083177e-97  1.734678e-114  7.369528e-132  3.130836e-149  1.330090e-166  5.650694e-184  2.400615e-201  1.019866e-218  4.332754e-236  1.840707e-253  7.819976e-271  3.322203e-288
         4.1500   1.804851e-35   4.248354e-18   1.000000e+00   1.208861e-12   9.157881e-30   6.650563e-55   2.068621e-86  8.788234e-104  3.733553e-121  1.586146e-138  6.738509e-156  2.862757e-173  1.216201e-190  5.166851e-208  2.195062e-225  9.325399e-243  3.961760e-260  1.683096e-277  7.150388e-295
         4.2000   1.804851e-35   4.248354e-18   1.000000e+00   5.158334e-11   4.942609e-26   3.144577e-48   3.602447e-76   1.530447e-93  6.501882e-111  2.762230e-128  1.173493e-145  4.985414e-163  2.117980e-180  8.997931e-198  3.822640e-215  1.623993e-232  6.899297e-250  2.931066e-267  1.245221e-284
         4.2500   1.804851e-35   4.248354e-18   1.000000e+00   1.488047e-09   1.079122e-22   2.913085e-42   5.099697e-67   2.166532e-84  9.204195e-102  3.910268e-119  1.661220e-136  7.057453e-154  2.998256e-171  1.273765e-188  5.411406e-206  2.298957e-223  9.766784e-241  4.149276e-258  1.762759e-275
         4.3000   1.804851e-35   4.248354e-18   1.000000e+00   3.025234e-08   1.050226e-19   6.294338e-37   7.681139e-59   3.979723e-89  1.690727e-106  7.182809e-124  3.051512e-141  1.296390e-158  5.507525e-176  2.339792e-193  9.940265e-211  4.222977e-228  1.794070e-245  7.621845e-263  3.238030e-280
         4.3500   1.804851e-35   4.248352e-18   9.999996e-01   4.492164e-07   4.961919e-17   3.696534e-32   1.559984e-51   2.175857e-78  8.678994e-110  3.687144e-127  1.566429e-144  6.654747e-162  2.827172e-179  1.201083e-196  5.102626e-214  2.167776e-231  9.209482e-249  3.912514e-266  1.662175e-283
         4.4000   1.804842e-35   4.248333e-18   9.999950e-01   5.021285e-06   1.225413e-14   6.738874e-28   5.254645e-45   8.318648e-69   1.228493e-96  5.219075e-114  2.217248e-131  9.419655e-149  4.001803e-166  1.700108e-183  7.222660e-201  3.068442e-218  1.303583e-235  5.538082e-253  2.352773e-270
         4.4500   1.804773e-35   4.248170e-18   9.999567e-01   4.330942e-05   1.683751e-12   4.272629e-24   3.511596e-39   2.895138e-60   6.572363e-85  2.792173e-102  1.186214e-119  5.039457e-137  2.140940e-154  9.095471e-172  3.864078e-189  1.641597e-206  6.974087e-224  2.962839e-241  1.258719e-258
         4.5000   1.804321e-35   4.247106e-18   9.997062e-01   2.937854e-04   1.353388e-10   1.036172e-20   5.424784e-34   1.152176e-52   1.836976e-74   7.804126e-92  3.315469e-109  1.408529e-126  5.983929e-144  2.542185e-161  1.080010e-178  4.588266e-196  1.949258e-213  8.281139e-231  3.518121e-248
         4.5500   1.801986e-35   4.241610e-18   9.984125e-01   1.587454e-03   6.604790e-09   1.038390e-17   2.202084e-29   6.395578e-46   3.563096e-65   1.513729e-82  6.430859e-100  2.732057e-117  1.160674e-134  4.930956e-152  2.094845e-169  8.899643e-187  3.780884e-204  1.606253e-221  6.823933e-239
         4.6000   1.792443e-35   4.219146e-18   9.931247e-01   6.875079e-03   2.005918e-07   4.572526e-15   2.613060e-25   5.901962e-40   6.167965e-57   2.620370e-74   1.113226e-91  4.729378e-109  2.009208e-126  8.535825e-144  3.626321e-161  1.540590e-178  6.544970e-196  2.780535e-213  1.181270e-230
         4.6500   1.761740e-35   4.146876e-18   9.761135e-01   2.388261e-02   3.852697e-06   9.307909e-13   9.933081e-22   1.061399e-34   1.195285e-49   5.077993e-67   2.157311e-84  9.165022e-102  3.893626e-119  1.654150e-136  7.027417e-154  2.985495e-171  1.268344e-188  5.388376e-206  2.289173e-223
         4.7000   1.684790e-35   3.965748e-18   9.334787e-01   6.647379e-02   4.752639e-05   9.198582e-11   1.319256e-18   4.322258e-30   3.200489e-43   1.359681e-60   5.776407e-78   2.454022e-95  1.042556e-112  4.429145e-130  1.881658e-147  7.993949e-165  3.396113e-182  1.442789e-199  6.129479e-217
         4.7500   1.535753e-35   3.614937e-18   8.509030e-01   1.487110e-01   3.859653e-04   4.673739e-09   6.719217e-16   4.630001e-26   1.451545e-37   6.166676e-55   2.619822e-72   1.112993e-89  4.728390e-107  2.008788e-124  8.534042e-142  3.625563e-159  1.540268e-176  6.543603e-194  2.779954e-211
         4.8000   1.311793e-35   3.087768e-18   7.268152e-01   2.710360e-01   2.148661e-03   1.311829e-07   1.458845e-13   1.523352e-22   1.365994e-32   3.282866e-65   1.394678e-82  5.925085e-100  2.517186e-117  1.069390e-134  4.543146e-152  1.930090e-169  8.199704e-187  3.483525e-204  1.479925e-221
