# CIE ionization fractions for Ca (Z=20)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_Ca0          x_Ca1          x_Ca2          x_Ca3          x_Ca4          x_Ca5          x_Ca6          x_Ca7          x_Ca8          x_Ca9          x_Ca10         x_Ca11         x_Ca12         x_Ca13         x_Ca14         x_Ca15         x_Ca16         x_Ca17         x_Ca18         x_Ca19         x_Ca20       
         4.0000   1.234501e-50   2.905834e-33   1.804851e-35   4.248354e-18   1.000000e+00   4.248354e-18   1.804851e-35   7.667648e-53   3.257489e-70   1.383897e-87  5.879283e-105  2.497728e-122  1.061123e-139  4.508027e-157  1.915170e-174  8.136319e-192  3.456597e-209  1.468485e-226  6.238643e-244  2.650397e-261  1.125982e-278
         4.0500   2.354521e-51   5.542196e-34   1.804851e-35   4.248354e-18   1.000000e+00   4.248354e-18   1.804851e-35   7.667648e-53   3.257489e-70   1.383897e-87  5.879283e-105  2.497728e-122  1.061123e-139  4.508027e-157  1.915170e-174  8.136319e-192  3.456597e-209  1.468485e-226  6.238643e-244  2.650397e-261  1.125982e-278
         4.1000   5.286943e-52   1.244468e-34   1.804851e-35   4.248354e-18   1.000000e+00   3.250768e-33   1.381041e-50   5.867152e-68   2.492574e-85  1.058934e-102  4.498726e-120  1.911218e-137  8.119532e-155  3.449465e-172  1.465455e-189  6.225771e-207  2.644928e-224  1.123659e-241  4.773702e-259  2.028038e-276  8.615823e-294
         4.1500   1.373071e-52   3.232007e-35   1.804851e-35   4.248354e-18   1.000000e+00   1.697757e-29   7.212674e-47   3.064200e-64   1.301781e-81   5.530425e-99  2.349520e-116  9.981595e-134  4.240535e-151  1.801530e-168  7.653536e-186  3.251493e-203  1.381349e-220  5.868462e-238  2.493131e-255  1.059170e-272  4.499730e-290
         4.2000   4.059952e-53   9.556529e-36   1.804851e-35   4.248354e-18   1.000000e+00   3.541124e-26   2.489827e-60   1.057767e-77   4.493768e-95  1.909112e-112  8.110584e-130  3.445663e-147  1.463840e-164  6.218910e-182  2.642013e-199  1.122421e-216  4.768442e-234  2.025803e-251  8.606328e-269  3.656273e-286  1.553314e-303
         4.2500   1.347884e-53   3.172721e-36   1.804851e-35   4.248354e-18   1.000000e+00   3.254390e-23   1.575784e-53   6.694490e-71   2.844056e-88  1.208256e-105  5.133099e-123  2.180722e-140  9.264481e-158  3.935880e-175  1.672101e-192  7.103678e-210  3.017894e-227  1.282108e-244  5.446850e-262  2.314015e-279  9.830755e-297
         4.3000   4.964791e-54   1.168639e-36   1.804851e-35   4.248354e-18   1.000000e+00   1.438703e-20   1.867794e-47   3.675307e-79   1.561401e-96  6.633383e-114  2.818096e-131  1.197227e-148  5.086244e-166  2.160817e-183  9.179915e-201  3.899953e-218  1.656838e-235  7.038836e-253  2.990347e-270  1.270405e-287  5.397132e-305
         4.3500   2.009642e-54   4.730401e-37   1.804851e-35   4.248354e-18   1.000000e+00   3.309861e-18   4.972714e-42   3.381619e-70  2.120588e-103  9.009009e-121  3.827346e-138  1.625992e-155  6.907791e-173  2.934674e-190  1.246754e-207  5.296651e-225  2.250205e-242  9.559668e-260  4.061286e-277  1.725378e-294  7.330017e-312
         4.4000   8.884803e-55   2.091352e-37   1.804851e-35   4.248354e-18   1.000000e+00   4.253115e-16   3.498683e-37   3.423969e-62   9.433437e-92  4.007658e-109  1.702595e-126  7.233227e-144  3.072931e-161  1.305490e-178  5.546184e-196  2.356216e-213  1.001004e-230  4.252619e-248  1.806663e-265  7.675345e-283  3.260758e-300
         4.4500   4.287140e-55   1.009130e-37   1.804851e-35   4.248354e-18   1.000000e+00   3.253109e-14   7.522791e-33   4.843348e-55   2.386886e-81  1.874289e-114  7.962644e-132  3.382813e-149  1.437139e-166  6.105475e-184  2.593822e-201  1.101948e-218  4.681464e-236  1.988852e-253  8.449346e-271  3.589581e-288  1.524981e-305
