# CIE ionization fractions for H (Z=1)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_H0           x_H1         
         4.0000   9.982248e-01   1.775202e-03
         4.0500   9.886196e-01   1.138044e-02
         4.1000   9.417518e-01   5.824820e-02
         4.1500   7.803337e-01   2.196663e-01
         4.2000   4.750397e-01   5.249603e-01
         4.2500   2.082180e-01   7.917820e-01
         4.3000   7.914077e-02   9.208592e-01
         4.3500   3.024075e-02   9.697592e-01
         4.4000   1.226776e-02   9.877322e-01
         4.4500   5.346387e-03   9.946536e-01
         4.5000   2.498625e-03   9.975014e-01
         4.5500   1.245329e-03   9.987547e-01
         4.6000   6.578109e-04   9.993422e-01
         4.6500   3.660513e-04   9.996339e-01
         4.7000   2.134071e-04   9.997866e-01
         4.7500   1.296998e-04   9.998703e-01
         4.8000   8.180851e-05   9.999182e-01
         4.8500   5.334114e-05   9.999467e-01
         4.9000   3.582593e-05   9.999642e-01
         4.9500   2.470830e-05   9.999753e-01
         5.0000   1.744985e-05   9.999826e-01
         5.0500   1.258855e-05   9.999874e-01
         5.1000   9.256554e-06   9.999907e-01
         5.1500   6.924338e-06   9.999931e-01
         5.2000   5.260488e-06   9.999947e-01
         5.2500   4.052692e-06   9.999959e-01
         5.3000   3.161983e-06   9.999968e-01
         5.3500   2.495578e-06   9.999975e-01
         5.4000   1.990381e-06   9.999980e-01
         5.4500   1.602748e-06   9.999984e-01
         5.5000   1.302012e-06   9.999987e-01
         5.5500   1.066306e-06   9.999989e-01
         5.6000   8.798256e-07   9.999991e-01
         5.6500   7.310023e-07   9.999993e-01
         5.7000   6.112686e-07   9.999994e-01
         5.7500   5.142098e-07   9.999995e-01
         5.8000   4.349746e-07   9.999996e-01
         5.8500   3.698591e-07   9.999996e-01
         5.9000   3.160107e-07   9.999997e-01
         5.9500   2.712149e-07   9.999997e-01
         6.0000   2.337390e-07   9.999998e-01
         6.0500   2.022184e-07   9.999998e-01
         6.1000   1.755707e-07   9.999998e-01
         6.1500   1.529329e-07   9.999998e-01
         6.2000   1.336121e-07   9.999999e-01
         6.2500   1.170497e-07   9.999999e-01
         6.3000   1.027926e-07   9.999999e-01
         6.3500   9.047175e-08   9.999999e-01
         6.4000   7.978484e-08   9.999999e-01
         6.4500   7.048329e-08   9.999999e-01
         6.5000   6.236170e-08   9.999999e-01
         6.5500   5.524954e-08   9.999999e-01
         6.6000   4.900464e-08   1.000000e+00
         6.6500   4.350791e-08   1.000000e+00
         6.7000   3.865914e-08   1.000000e+00
         6.7500   3.437362e-08   1.000000e+00
         6.8000   3.057945e-08   1.000000e+00
         6.8500   2.721527e-08   1.000000e+00
         6.9000   2.422852e-08   1.000000e+00
         6.9500   2.157397e-08   1.000000e+00
         7.0000   1.921253e-08   1.000000e+00
         7.0500   1.711030e-08   1.000000e+00
         7.1000   1.523771e-08   1.000000e+00
         7.1500   1.356893e-08   1.000000e+00
         7.2000   1.208131e-08   1.000000e+00
         7.2500   1.075490e-08   1.000000e+00
         7.3000   9.572083e-09   1.000000e+00
         7.3500   8.517295e-09   1.000000e+00
         7.4000   7.576719e-09   1.000000e+00
         7.4500   6.738084e-09   1.000000e+00
         7.5000   5.990467e-09   1.000000e+00
         7.5500   5.324132e-09   1.000000e+00
         7.6000   4.730393e-09   1.000000e+00
         7.6500   4.201494e-09   1.000000e+00
         7.7000   3.730499e-09   1.000000e+00
         7.7500   3.311209e-09   1.000000e+00
         7.8000   2.938078e-09   1.000000e+00
         7.8500   2.606143e-09   1.000000e+00
         7.9000   2.310966e-09   1.000000e+00
         7.9500   2.048573e-09   1.000000e+00
         8.0000   1.815410e-09   1.000000e+00
         8.0500   1.608297e-09   1.000000e+00
         8.1000   1.424394e-09   1.000000e+00
         8.1500   1.261157e-09   1.000000e+00
         8.2000   1.116318e-09   1.000000e+00
         8.2500   9.878472e-10   1.000000e+00
         8.3000   8.739344e-10   1.000000e+00
         8.3500   7.729638e-10   1.000000e+00
         8.4000   6.834941e-10   1.000000e+00
         8.4500   6.042403e-10   1.000000e+00
         8.5000   5.340574e-10   1.000000e+00
         8.5500   4.719255e-10   1.000000e+00
         8.6000   4.169366e-10   1.000000e+00
         8.6500   3.682829e-10   1.000000e+00
         8.7000   3.252458e-10   1.000000e+00
         8.7500   2.871866e-10   1.000000e+00
         8.8000   2.535376e-10   1.000000e+00
         8.8500   2.237946e-10   1.000000e+00
         8.9000   1.975101e-10   1.000000e+00
         8.9500   1.742869e-10   1.000000e+00
         9.0000   1.537726e-10   1.000000e+00
