# CIE ionization fractions for He (Z=2)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_He0          x_He1          x_He2        
         4.0000   1.000000e+00   1.801648e-09   2.572097e-34
         4.0500   1.000000e+00   4.681671e-08   7.166266e-30
         4.1000   9.999991e-01   8.681432e-07   6.757652e-26
         4.1500   9.999881e-01   1.191742e-05   2.426653e-22
         4.2000   9.998749e-01   1.251248e-04   3.685823e-19
         4.2500   9.989662e-01   1.033799e-03   2.598700e-16
         4.3000   9.931303e-01   6.869679e-03   9.207077e-14
         4.3500   9.631637e-01   3.683635e-02   1.731099e-11
         4.4000   8.485006e-01   1.514994e-01   1.718498e-09
         4.4500   5.824797e-01   4.175202e-01   8.196425e-08
         4.5000   2.845492e-01   7.154490e-01   1.807215e-06
         4.5500   1.135158e-01   8.864621e-01   2.212575e-05
         4.6000   4.409278e-02   9.557209e-01   1.863023e-04
         4.6500   1.819657e-02   9.805928e-01   1.210672e-03
         4.7000   8.280199e-03   9.853266e-01   6.393154e-03
         4.7500   4.227657e-03   9.678251e-01   2.794729e-02
         4.8000   2.384216e-03   8.980807e-01   9.953513e-02
         4.8500   1.367293e-03   7.274179e-01   2.712149e-01
         4.9000   7.088430e-04   4.723939e-01   5.268973e-01
         4.9500   3.223902e-04   2.495715e-01   7.501061e-01
         5.0000   1.378723e-04   1.193221e-01   8.805400e-01
         5.0500   5.930636e-05   5.656223e-02   9.433785e-01
         5.1000   2.644700e-05   2.776426e-02   9.722093e-01
         5.1500   1.232144e-05   1.431667e-02   9.856710e-01
         5.2000   5.991630e-06   7.770843e-03   9.922232e-01
         5.2500   3.030289e-06   4.428488e-03   9.955685e-01
         5.3000   1.587594e-06   2.639112e-03   9.973593e-01
         5.3500   8.583684e-07   1.637595e-03   9.983615e-01
         5.4000   4.773386e-07   1.053668e-03   9.989459e-01
         5.4500   2.722213e-07   7.003089e-04   9.992994e-01
         5.5000   1.588008e-07   4.791401e-04   9.995207e-01
         5.5500   9.454965e-08   3.364153e-04   9.996635e-01
         5.6000   5.734764e-08   2.417290e-04   9.997582e-01
         5.6500   3.537565e-08   1.773191e-04   9.998226e-01
         5.7000   2.216205e-08   1.324985e-04   9.998675e-01
         5.7500   1.408319e-08   1.006607e-04   9.998993e-01
         5.8000   9.068182e-09   7.761833e-05   9.999224e-01
         5.8500   5.911174e-09   6.065602e-05   9.999393e-01
         5.9000   3.897821e-09   4.797504e-05   9.999520e-01
         5.9500   2.598189e-09   3.836046e-05   9.999616e-01
         6.0000   1.749702e-09   3.097665e-05   9.999690e-01
         6.0500   1.189807e-09   2.523916e-05   9.999748e-01
         6.1000   8.165956e-10   2.073282e-05   9.999793e-01
