# CIE ionization fractions for Mg (Z=12)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_Mg0          x_Mg1          x_Mg2          x_Mg3          x_Mg4          x_Mg5          x_Mg6          x_Mg7          x_Mg8          x_Mg9          x_Mg10         x_Mg11         x_Mg12       
         4.0000   3.298518e-01   6.699581e-01   1.900064e-04   8.072144e-22   3.429333e-39   1.456902e-56   6.189436e-74   2.629492e-91  1.117101e-108  4.745842e-126  2.016202e-143  8.565539e-161  3.638944e-178
         4.0500   2.017078e-01   7.965650e-01   1.727235e-03   7.337908e-21   3.117403e-38   1.324383e-55   5.626450e-73   2.390315e-90  1.015491e-107  4.314164e-125  1.832810e-142  7.786424e-160  3.307949e-177
         4.1000   1.192200e-01   8.690787e-01   1.170130e-02   7.749433e-32   3.292234e-49   1.398658e-66   5.941993e-84  2.524369e-101  1.072441e-118  4.556111e-136  1.935597e-153  8.223103e-171  3.493466e-188
         4.1500   6.772676e-02   8.717278e-01   6.054544e-02   1.390051e-27   5.905429e-45   2.508835e-62   1.065842e-79   4.528075e-97  1.923687e-114  8.172502e-132  3.471968e-149  1.475015e-166  6.266387e-184
         4.2000   3.389591e-02   7.410332e-01   2.250709e-01   7.481102e-24   3.178237e-41   1.350228e-58   5.736246e-76   2.436960e-93  1.035307e-110  4.398351e-128  1.868576e-145  7.938371e-163  3.372501e-180
         4.2500   1.281723e-02   4.599238e-01   5.272590e-01   1.165101e-20   2.109502e-49   8.961912e-67   3.807338e-84  1.617492e-101  6.871679e-119  2.919333e-136  1.240236e-153  5.268961e-171  2.238441e-188
         4.3000   3.636962e-03   2.077818e-01   7.885812e-01   5.788606e-18   2.740360e-43   1.164202e-60   4.945942e-78   2.101211e-95  8.926690e-113  3.792374e-130  1.611135e-147  6.844672e-165  2.907859e-182
         4.3500   9.267688e-04   8.203391e-02   9.170393e-01   1.204623e-15   6.428849e-38   8.335145e-69   3.541065e-86  1.504370e-103  6.391096e-121  2.715164e-138  1.153498e-155  4.900467e-173  2.081892e-190
         4.4000   2.435556e-04   3.259561e-02   9.671608e-01   1.309407e-13   3.723323e-33   1.571315e-60   6.675501e-78   2.835989e-95  1.204829e-112  5.118539e-130  2.174537e-147  9.238203e-165  3.924716e-182
         4.4500   6.940933e-05   1.373901e-02   9.861916e-01   8.410292e-12   6.535195e-29   3.789713e-53   2.639554e-85  1.121376e-102  4.764003e-120  2.023917e-137  8.598317e-155  3.652870e-172  1.551868e-189
