# CIE ionization fractions for N (Z=7)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_N0           x_N1           x_N2           x_N3           x_N4           x_N5           x_N6           x_N7         
         4.0000   9.994545e-01   5.455321e-04   5.373705e-16   7.051278e-38   2.995633e-55   1.272651e-72   5.406672e-90  2.296946e-107
         4.0500   9.960193e-01   3.980688e-03   1.901148e-13   1.105188e-32   4.695230e-50   1.994700e-67   8.474192e-85  3.600137e-102
         4.1000   9.766521e-01   2.334787e-02   3.594422e-11   4.841315e-28   1.707768e-57   7.255205e-75   3.082268e-92  1.309457e-109
         4.1500   8.941683e-01   1.058317e-01   3.625849e-09   6.349894e-24   5.683207e-50   2.414428e-67   1.025734e-84  4.357683e-102
         4.2000   6.723521e-01   3.276477e-01   1.772341e-07   2.409519e-20   2.321259e-43   7.952212e-73   3.378381e-90  1.435256e-107
         4.2500   3.753251e-01   6.246710e-01   3.851694e-06   2.560706e-17   1.226291e-37   1.140720e-63   4.846185e-81   2.058831e-98
         4.3000   1.753939e-01   8.245637e-01   4.239673e-05   9.087104e-15   1.078711e-32   1.167715e-55   4.960866e-73   2.107552e-90
         4.3500   8.285555e-02   9.168513e-01   2.931627e-04   1.386791e-12   2.186451e-28   1.294431e-48   5.499201e-66   2.336255e-83
         4.4000   4.300457e-02   9.555319e-01   1.463520e-03   1.078835e-10   1.296635e-24   2.141947e-42   9.099749e-60   3.865896e-77
         4.4500   2.464176e-02   9.696439e-01   5.714385e-03   4.759592e-09   2.672574e-21   6.762694e-37   2.873032e-54   1.220566e-71
         4.5000   1.521861e-02   9.664271e-01   1.835413e-02   1.285480e-07   2.196287e-18   4.988492e-32   2.119288e-49   9.003487e-67
         4.5500   9.810734e-03   9.402820e-01   4.990503e-02   2.251258e-06   8.049260e-16   1.019247e-27   4.330123e-45   1.839590e-62
         4.6000   6.368659e-03   8.776811e-01   1.159236e-01   2.665219e-05   1.438459e-13   6.642511e-24   2.821974e-41   1.198875e-58
         4.6500   4.009734e-03   7.668290e-01   2.289417e-01   2.195945e-04   1.344485e-11   1.551087e-20   6.589567e-38   2.799482e-55
         4.7000   2.376171e-03   6.141088e-01   3.822223e-01   1.292704e-03   6.988774e-10   1.437957e-17   6.108949e-35   2.595298e-52
         4.7500   1.311730e-03   4.490852e-01   5.439658e-01   5.637218e-03   2.158895e-08   5.866778e-15   2.492415e-32   1.058866e-49
         4.8000   6.808463e-04   3.041557e-01   6.760745e-01   1.908849e-02   4.263799e-07   1.170991e-12   4.974785e-30   2.113465e-47
         4.8500   3.368663e-04   1.941402e-01   7.530528e-01   5.246437e-02   5.756159e-06   1.258652e-10   5.347201e-28   2.271681e-45
         4.9000   1.594218e-04   1.175140e-01   7.618839e-01   1.203870e-01   5.571916e-05   7.843443e-09   3.332172e-26   1.415625e-43
         4.9500   7.149432e-05   6.697391e-02   6.994063e-01   2.331503e-01   3.977315e-04   2.982584e-07   5.367114e-38   2.280140e-55
         5.0000   3.001618e-05   3.556317e-02   5.794803e-01   3.827845e-01   2.134777e-03   7.204307e-06   3.781579e-33   2.044658e-66
         5.0500   1.176873e-05   1.757266e-02   4.346948e-01   5.387762e-01   8.829145e-03   1.153778e-04   7.551152e-29   2.085333e-58
         5.1000   4.342529e-06   8.150060e-03   2.988910e-01   6.626538e-01   2.901652e-02   1.284288e-03   4.913497e-25   2.776182e-51
         5.1500   1.509198e-06   3.553104e-03   1.892370e-01   7.195618e-01   7.735429e-02   1.029228e-02   1.171898e-21   5.994617e-45
         5.2000   4.755415e-07   1.402263e-03   1.065221e-01   6.693683e-01   1.637959e-01   5.891096e-02   1.093774e-18   2.449464e-39
         5.2500   1.215320e-07   4.483145e-04   4.780934e-02   4.804161e-01   2.501176e-01   2.212085e-01   3.917541e-16   2.010172e-34
         5.3000   2.246256e-08   1.035523e-04   1.528633e-02   2.385597e-01   2.487650e-01   4.972854e-01   5.209021e-14   3.439282e-30
         5.3500   3.221999e-09   1.854549e-05   3.742366e-03   8.837378e-02   1.748732e-01   7.329921e-01   2.966349e-12   1.507042e-26
         5.4000   4.299434e-10   3.087137e-06   8.420318e-04   2.939609e-02   1.051724e-01   8.645864e-01   9.248197e-11   2.286479e-23
         5.4500   5.979000e-11   5.350781e-07   1.952599e-04   9.869851e-03   6.114144e-02   9.287929e-01   1.872301e-09   1.497545e-20
         5.5000   9.031289e-12   1.006396e-07   4.867768e-05   3.496513e-03   3.607715e-02   9.603775e-01   2.698765e-08   4.853610e-18
         5.5500   1.495934e-12   2.073521e-08   1.317943e-05   1.322767e-03   2.195623e-02   9.767075e-01   2.924420e-07   8.551656e-16
         5.6000   2.713393e-13   4.672850e-09   3.871923e-06   5.347722e-04   1.384142e-02   9.856175e-01   2.474419e-06   8.813532e-14
         5.6500   5.367547e-14   1.146978e-09   1.229733e-06   2.305120e-04   9.046544e-03   9.907049e-01   1.683983e-05   5.648165e-12
         5.7000   1.154249e-14   3.056052e-10   4.209875e-07   1.057572e-04   6.136703e-03   9.936627e-01   9.445235e-05   2.371837e-10
         5.7500   2.696769e-15   8.832608e-11   1.552935e-07   5.168084e-05   4.334275e-03   9.951684e-01   4.454618e-04   6.827330e-09
         5.8000   6.862755e-16   2.775596e-11   6.188938e-08   2.699622e-05   3.205519e-03   9.949728e-01   1.794509e-03   1.399245e-07
         5.8500   1.908872e-16   9.514833e-12   2.674339e-08   1.514007e-05   2.497797e-03   9.912450e-01   6.239895e-03   2.104704e-06
         5.9000   5.798012e-17   3.554252e-12   1.251946e-08   9.114306e-06   2.053308e-03   9.791108e-01   1.880302e-02   2.374345e-05
         5.9500   1.899794e-17   1.428973e-12   6.272594e-09   5.821801e-06   1.762267e-03   9.491031e-01   4.892541e-02   2.033432e-04
         6.0000   6.539634e-18   6.020734e-13   3.275776e-09   3.844575e-06   1.540054e-03   8.882891e-01   1.088395e-01   1.327486e-03
         6.0500   2.282482e-18   2.565325e-13   1.721042e-09   2.534431e-06   1.324200e-03   7.873046e-01   2.047524e-01   6.616290e-03
         6.1000   7.803961e-19   1.067784e-13   8.789134e-10   1.612057e-06   1.083491e-03   6.495745e-01   3.240170e-01   2.532331e-02
         6.1500   2.540492e-19   4.219431e-14   4.240769e-10   9.619774e-07   8.207784e-04   4.921105e-01   4.318121e-01   7.525568e-02
         6.2000   7.686895e-20   1.545024e-14   1.887362e-10   5.259551e-07   5.625303e-04   3.378465e-01   4.859338e-01   1.756567e-01
         6.2500   2.127548e-20   5.158767e-15   7.625781e-11   2.594108e-07   3.436813e-04   2.083911e-01   4.646605e-01   3.266045e-01
         6.3000   5.408030e-21   1.576830e-15   2.808793e-11   1.159383e-07   1.881757e-04   1.165103e-01   3.856817e-01   4.976197e-01
         6.3500   1.296055e-21   4.529154e-16   9.683162e-12   4.822622e-08   9.492925e-05   6.080085e-02   2.889812e-01   6.501229e-01
         6.4000   3.030476e-22   1.265036e-16   3.233918e-12   1.933205e-08   4.573353e-05   3.070964e-02   2.041927e-01   7.650520e-01
         6.4500   7.108553e-23   3.532764e-17   1.076019e-12   7.683305e-09   2.167067e-05   1.545770e-02   1.408631e-01   8.436575e-01
         6.5000   1.701509e-23   1.003355e-17   3.628981e-13   3.081502e-09   1.029078e-05   7.895128e-03   9.698584e-02   8.951087e-01
         6.5500   4.191025e-24   2.922709e-18   1.251351e-13   1.258484e-09   4.946955e-06   4.129551e-03   6.745542e-02   9.284101e-01
         6.6000   1.065563e-24   8.759333e-19   4.426463e-14   5.253214e-10   2.418681e-06   2.220142e-03   4.767044e-02   9.501070e-01
         6.6500   2.797101e-25   2.701719e-19   1.607077e-14   2.243224e-10   1.204825e-06   1.227732e-03   3.430805e-02   9.644630e-01
         6.7000   7.571804e-26   8.566934e-20   5.983259e-15   9.794012e-11   6.116108e-07   6.978070e-04   2.515530e-02   9.741463e-01
         6.7500   2.110015e-26   2.788097e-20   2.281001e-15   4.367121e-11   3.162445e-07   4.070498e-04   1.878040e-02   9.808122e-01
         6.8000   6.041148e-27   9.295968e-21   8.889702e-16   1.986068e-11   1.664282e-07   2.432777e-04   1.426194e-02   9.854946e-01
         6.8500   1.773620e-27   3.169602e-21   3.536057e-16   9.199686e-12   8.906449e-08   1.487114e-04   1.100338e-02   9.888478e-01
         6.9000   5.329856e-28   1.103337e-21   1.433391e-16   4.334946e-12   4.842552e-08   9.282055e-05   8.613921e-03   9.912932e-01
         6.9500   1.636638e-28   3.915074e-22   5.913261e-17   2.075527e-12   2.672852e-08   5.906324e-05   6.833904e-03   9.931070e-01
         7.0000   5.127494e-29   1.414168e-22   2.479547e-17   1.008699e-12   1.496483e-08   3.825853e-05   5.488093e-03   9.944736e-01
         7.0500   1.636694e-29   5.193433e-23   1.055660e-17   4.971485e-13   8.492930e-09   2.519361e-05   4.456386e-03   9.955184e-01
         7.1000   5.316053e-30   1.936949e-23   4.558859e-18   2.482833e-13   4.882582e-09   1.684464e-05   3.655200e-03   9.963280e-01
         7.1500   1.754967e-30   7.329221e-24   1.995200e-18   1.255529e-13   2.841755e-09   1.142194e-05   3.025506e-03   9.969631e-01
         7.2000   5.882302e-31   2.811121e-24   8.842383e-19   6.424432e-14   1.673499e-09   7.846157e-06   2.525026e-03   9.974671e-01
         7.2500   1.999868e-31   1.092002e-24   3.965418e-19   3.324342e-14   9.966377e-10   5.454755e-06   2.123079e-03   9.978715e-01
         7.3000   6.890324e-32   4.292971e-25   1.798269e-19   1.738575e-14   5.999355e-10   3.834273e-06   1.797116e-03   9.981990e-01
         7.3500   2.403796e-32   1.706775e-25   8.241312e-20   9.184736e-15   3.648540e-10   2.722650e-06   1.530373e-03   9.984669e-01
         7.4000   8.484661e-33   6.857895e-26   3.814701e-20   4.898993e-15   2.240681e-10   1.951344e-06   1.310244e-03   9.986878e-01
         7.4500   3.027818e-33   2.783119e-26   1.782411e-20   2.636968e-15   1.388969e-10   1.410457e-06   1.127156e-03   9.988714e-01
         7.5000   1.091644e-33   1.140102e-26   8.402545e-21   1.431726e-15   8.686938e-11   1.027398e-06   9.737640e-04   9.990252e-01
         7.5500   3.973766e-34   4.711762e-27   3.994403e-21   7.837500e-16   5.479189e-11   7.536273e-07   8.443845e-04   9.991549e-01
         7.6000   1.459559e-34   1.963448e-27   1.913912e-21   4.323836e-16   3.483846e-11   5.563082e-07   7.345787e-04   9.992649e-01
         7.6500   5.406055e-35   8.245735e-28   9.238879e-22   2.402985e-16   2.232108e-11   4.129849e-07   6.408526e-04   9.993587e-01
         7.7000   2.018049e-35   3.488187e-28   4.491059e-22   1.344755e-16   1.440484e-11   3.081398e-07   5.604342e-04   9.994393e-01
         7.7500   7.588203e-36   1.485677e-28   2.197460e-22   7.574763e-17   9.359745e-12   2.309444e-07   4.911074e-04   9.995087e-01
         7.8000   2.872603e-36   6.368018e-29   1.081812e-22   4.292953e-17   6.120832e-12   1.737723e-07   4.310881e-04   9.995687e-01
         7.8500   1.094269e-36   2.745657e-29   5.356253e-23   2.447001e-17   4.026966e-12   1.312050e-07   3.789294e-04   9.996209e-01
         7.9000   4.192519e-37   1.190319e-29   2.666084e-23   1.402285e-17   2.664397e-12   9.936096e-08   3.334497e-04   9.996665e-01
         7.9500   1.614830e-37   5.186496e-30   1.333580e-23   8.076028e-18   1.772182e-12   7.543825e-08   2.936776e-04   9.997062e-01
         8.0000   6.250074e-38   2.270396e-30   6.700841e-24   4.672594e-18   1.184523e-12   5.739938e-08   2.588091e-04   9.997411e-01
         8.0500   2.429761e-38   9.981033e-31   3.380977e-24   2.714931e-18   7.953256e-13   4.375289e-08   2.281742e-04   9.997718e-01
         8.1000   9.483797e-39   4.404837e-31   1.712378e-24   1.583600e-18   5.362363e-13   3.340014e-08   2.012110e-04   9.997988e-01
         8.1500   3.715089e-39   1.950765e-31   8.702583e-25   9.269758e-19   3.629314e-13   2.552720e-08   1.774450e-04   9.998225e-01
         8.2000   1.460023e-39   8.666567e-32   4.436491e-25   5.443538e-19   2.464914e-13   1.952791e-08   1.564733e-04   9.998435e-01
         8.2500   5.754358e-40   3.861080e-32   2.267940e-25   3.205852e-19   1.679362e-13   1.494864e-08   1.379513e-04   9.998620e-01
         8.3000   2.273692e-40   1.724444e-32   1.162218e-25   1.892867e-19   1.147399e-13   1.144849e-08   1.215832e-04   9.998784e-01
         8.3500   9.003744e-41   7.718537e-33   5.968677e-26   1.120165e-19   7.859233e-14   8.770268e-09   1.071130e-04   9.998929e-01
         8.4000   3.572228e-41   3.461305e-33   3.071002e-26   6.642117e-20   5.395303e-14   6.719284e-09   9.431848e-05   9.999057e-01
         8.4500   1.419567e-41   1.554696e-33   1.582626e-26   3.945287e-20   3.711103e-14   5.147718e-09   8.300574e-05   9.999170e-01
         8.5000   5.648827e-42   6.992647e-34   8.167036e-27   2.346874e-20   2.556996e-14   3.943051e-09   7.300486e-05   9.999270e-01
         8.5500   2.250298e-42   3.148658e-34   4.219280e-27   1.397782e-20   1.764383e-14   3.019450e-09   6.416643e-05   9.999358e-01
         8.6000   8.972294e-43   1.419066e-34   2.181762e-27   8.333620e-21   1.218976e-14   2.311319e-09   5.635866e-05   9.999436e-01
         8.6500   3.579806e-43   6.400103e-35   1.128980e-27   4.972642e-21   8.430386e-15   1.768452e-09   4.946499e-05   9.999505e-01
         8.7000   1.428983e-43   2.888016e-35   5.845185e-28   2.969077e-21   5.835371e-15   1.352380e-09   4.338212e-05   9.999566e-01
         8.7500   5.706023e-44   1.303675e-35   3.027421e-28   1.773639e-21   4.041884e-15   1.033598e-09   3.801832e-05   9.999620e-01
         8.8000   2.278839e-44   5.886169e-36   1.568366e-28   1.059875e-21   2.801084e-15   7.894635e-10   3.329208e-05   9.999667e-01
         8.8500   9.101425e-45   2.657865e-36   8.125789e-29   6.334784e-22   1.941936e-15   6.025934e-10   2.913087e-05   9.999709e-01
         8.9000   3.634711e-45   1.200106e-36   4.209959e-29   3.786572e-22   1.346654e-15   4.596384e-10   2.547010e-05   9.999745e-01
         8.9500   1.451278e-45   5.418119e-37   2.180925e-29   2.263355e-22   9.339880e-16   3.503473e-10   2.225231e-05   9.999777e-01
         9.0000   5.793121e-46   2.445579e-37   1.129577e-29   1.352732e-22   6.478115e-16   2.668490e-10   1.942631e-05   9.999806e-01
