# CIE ionization fractions for Ne (Z=10)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_Ne0          x_Ne1          x_Ne2          x_Ne3          x_Ne4          x_Ne5          x_Ne6          x_Ne7          x_Ne8          x_Ne9          x_Ne10       
         4.0000   9.999998e-01   1.877035e-07   3.108274e-25   3.698703e-55  1.890955e-102  4.403021e-165  1.393046e-244   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.0500   9.999967e-01   3.315818e-06   1.113548e-21   4.658212e-48   5.757265e-90  1.279304e-145  2.198853e-216  3.772338e-309   0.000000e+00   0.000000e+00   0.000000e+00
         4.1000   9.999565e-01   4.353862e-05   1.694134e-18   1.037795e-41   8.168814e-79  3.070643e-128  3.270886e-191  7.818347e-274   0.000000e+00   0.000000e+00   0.000000e+00
         4.1500   9.995613e-01   4.387290e-04   1.201523e-15   4.941095e-36   7.539106e-69  1.024631e-112  9.748529e-169  2.583568e-242   0.000000e+00   0.000000e+00   0.000000e+00
         4.2000   9.965162e-01   3.483797e-03   4.307764e-13   5.939724e-31   6.083245e-60   7.545005e-99  1.138233e-148  3.511977e-214  5.619958e-290  2.387557e-307   0.000000e+00
         4.2500   9.779263e-01   2.207368e-02   8.298531e-11   2.068562e-26   5.526062e-52   1.830684e-86  9.366062e-131  4.519795e-189  1.534421e-256  6.518766e-274  2.769403e-291
         4.3000   8.921842e-01   1.078158e-01   8.662509e-09   2.252958e-22   6.763205e-45   1.998747e-75  8.763296e-115  1.105500e-166  1.004641e-226   0.000000e+00   0.000000e+00
         4.3500   6.464190e-01   3.535806e-01   4.430294e-07   7.368197e-19   1.173955e-38   1.163160e-65  1.282288e-100  8.575319e-147  3.296763e-200   0.000000e+00   0.000000e+00
         4.4000   3.200765e-01   6.799135e-01   1.000024e-05   6.867234e-16   2.976814e-33   4.130060e-57   3.839432e-88  3.274093e-129  1.028529e-176   0.000000e+00   0.000000e+00
         4.4500   1.230970e-01   8.767864e-01   1.165566e-04   2.229501e-13   1.448857e-28   1.292087e-49   3.827259e-77  1.163985e-113  6.901281e-156   0.000000e+00   0.000000e+00
         4.5000   4.656902e-02   9.525394e-01   8.915375e-04   3.318455e-11   1.897035e-24   5.429476e-43   2.152462e-67  7.464601e-100  2.262728e-137   0.000000e+00   0.000000e+00
         4.5500   1.987359e-02   9.751176e-01   5.008798e-03   2.601806e-09   8.099259e-21   4.000523e-37   9.789180e-59   1.395193e-87  6.751173e-121  2.345547e-291   0.000000e+00
         4.6000   1.010865e-02   9.686467e-01   2.124456e-02   1.126978e-07   1.236268e-17   6.045637e-32   4.571336e-51   1.075725e-76  2.944563e-106  3.461607e-258   0.000000e+00
         4.6500   6.031714e-03   9.257143e-01   6.825124e-02   2.760282e-06   7.163028e-15   2.103904e-27   2.645059e-44   4.559509e-67   2.800700e-93  1.092041e-228   0.000000e+00
         4.7000   3.912375e-03   8.287021e-01   1.673460e-01   3.953859e-05   1.682495e-12   1.889998e-23   2.265831e-38   1.390032e-58   8.404753e-82  1.761917e-202   0.000000e+00
         4.7500   2.529589e-03   6.773245e-01   3.197960e-01   3.499439e-04   1.747384e-10   4.990923e-20   3.465323e-33   3.991797e-51   1.139885e-71  3.260429e-179  3.159153e-302
         4.8000   1.547682e-03   5.022886e-01   4.941024e-01   2.061338e-03   8.949637e-09   4.498578e-17   1.157825e-28   1.422937e-44   9.972301e-63  1.472812e-158  3.073216e-268
         4.8500   8.860257e-04   3.432310e-01   6.471073e-01   8.775472e-03   2.549247e-07   1.623207e-14   1.040515e-24   8.279262e-39   7.946085e-55  3.273989e-140  5.296002e-238
         4.9000   4.782537e-04   2.207996e-01   7.497058e-01   2.901185e-02   4.505962e-06   2.718701e-12   3.050788e-21   1.010766e-33   7.898522e-48  6.737628e-124  4.366035e-211
         4.9500   2.441460e-04   1.350158e-01   7.866754e-01   7.801105e-02   5.356644e-05   2.376640e-10   3.420108e-18   3.193049e-29   1.278102e-41  2.222647e-109  4.115085e-187
         5.0000   1.165099e-04   7.778646e-02   7.479843e-01   1.736639e-01   4.487589e-04   1.175139e-08   1.649323e-15   3.070753e-25   4.165606e-36   1.871180e-96  9.407784e-166
         5.0500   5.090756e-05   4.139010e-02   6.358562e-01   3.199905e-01   2.711977e-03   3.465319e-07   3.729929e-13   1.019269e-21   3.242652e-31   5.968079e-85  1.000365e-146
         5.1000   2.009551e-05   2.006668e-02   4.790751e-01   4.887654e-01   1.206639e-02   6.379507e-06   4.264120e-11   1.302857e-18   7.001094e-27   1.023117e-74  8.817710e-130
         5.1500   7.194591e-06   8.891269e-03   3.220836e-01   6.282042e-01   4.073657e-02   7.719032e-05   2.661684e-09   7.139697e-16   4.836919e-23   1.300134e-65  1.088857e-114
         5.2000   2.360627e-06   3.634024e-03   1.956033e-01   6.924359e-01   1.076795e-01   6.448008e-04   9.743231e-08   1.850240e-13   1.217578e-19   1.634885e-57  3.014099e-101
         5.2500   7.108894e-07   1.370526e-03   1.076042e-01   6.600935e-01   2.270828e-01   3.846073e-03   2.205454e-06   2.447718e-11   1.240124e-16   2.603168e-50   2.812727e-89
         5.3000   1.953086e-07   4.734812e-04   5.333976e-02   5.440695e-01   3.853532e-01   1.673182e-02   3.206447e-05   1.752859e-09   5.557732e-14   6.476286e-44   1.260894e-78
         5.3500   4.890604e-08   1.494845e-04   2.380942e-02   3.891649e-01   5.322794e-01   5.428606e-02   3.106628e-04   7.180014e-08   1.184400e-11   3.044834e-38   3.733551e-69
         5.4000   1.123382e-08   4.335825e-05   9.635105e-03   2.441647e-01   6.091039e-01   1.349640e-01   2.087195e-03   1.779013e-06   1.294944e-09   3.226870e-33   9.765026e-61
         5.4500   2.381653e-09   1.161461e-05   3.557768e-03   1.357335e-01   5.870164e-01   2.635736e-01   1.007906e-02   2.803486e-05   7.774969e-08   9.023291e-29   2.923927e-53
         5.5000   4.676087e-10   2.880674e-06   1.203001e-03   6.732012e-02   4.825383e-01   4.125942e-01   3.604555e-02   2.932234e-04   2.718094e-06   7.644611e-25   1.260315e-46
         5.5500   8.529969e-11   6.629803e-07   3.736578e-04   2.997111e-02   3.422030e-01   5.272227e-01   9.805600e-02   2.114563e-03   5.829677e-05   2.219739e-21   9.591966e-41
         5.6000   1.446450e-11   1.415551e-07   1.066662e-04   1.201542e-02   2.110461e-01   5.578116e-01   2.073634e-01   1.085463e-02   8.020003e-04   2.460578e-18   1.543155e-35
         5.6500   2.259871e-12   2.777764e-08   2.774140e-05   4.310479e-03   1.129714e-01   4.904794e-01   3.444674e-01   4.044524e-02   7.298303e-03   1.136149e-15   6.106277e-31
         5.7000   3.152205e-13   4.853046e-09   6.371363e-06   1.344276e-03   5.118726e-02   3.513371e-01   4.432434e-01   1.087617e-01   4.411989e-02   2.307730e-13   6.646296e-27
         5.7500   3.651994e-14   7.021650e-10   1.202598e-06   3.398003e-04   1.836713e-02   1.927031e-01   4.174608e-01   2.009435e-01   1.701844e-01   2.071380e-11   2.103621e-23
         5.8000   3.285068e-15   7.861737e-11   1.743909e-07   6.518572e-05   4.901356e-03   7.631562e-02   2.726727e-01   2.433139e-01   4.027311e-01   8.221352e-10   2.027627e-20
         5.8500   2.430542e-16   7.213393e-12   2.058181e-08   1.006710e-05   1.034495e-03   2.329233e-02   1.324028e-01   2.082540e-01   6.350063e-01   1.623854e-08   6.975380e-18
         5.9000   1.711807e-17   6.275844e-13   2.288326e-09   1.450432e-06   2.005710e-04   6.383647e-03   5.590112e-02   1.481834e-01   7.893296e-01   1.949293e-07   1.084456e-15
         5.9500   1.275404e-18   5.753623e-14   2.664372e-10   2.169446e-07   3.982677e-05   1.756468e-03   2.302269e-02   9.882987e-02   8.763493e-01   1.657184e-06   9.169596e-14
         6.0000   1.052066e-19   5.817329e-15   3.401154e-11   3.529929e-08   8.499943e-06   5.104146e-04   9.759991e-03   6.548266e-02   9.242275e-01   1.087842e-05   4.731413e-12
         6.0500   9.747076e-21   6.581075e-16   4.830732e-12   6.345842e-09   1.982926e-06   1.596328e-04   4.352031e-03   4.421720e-02   9.512113e-01   5.789164e-05   1.604731e-10
         6.1000   1.017365e-21   8.357146e-17   7.660304e-13   1.265511e-09   5.082838e-07   5.411042e-05   2.060428e-03   3.081852e-02   9.668089e-01   2.575187e-04   3.773798e-09
         6.1500   1.196533e-22   1.191615e-17   1.356882e-13   2.801999e-10   1.434223e-07   1.994742e-05   1.041436e-03   2.235613e-02   9.756044e-01   9.778482e-04   6.413210e-08
         6.2000   1.584308e-23   1.906086e-18   2.682902e-14   6.885723e-11   4.456341e-08   8.009839e-06   5.639327e-04   1.697641e-02   9.792340e-01   3.216793e-03   8.139170e-07
         6.2500   2.353551e-24   3.408495e-19   5.902231e-15   1.872592e-11   1.521161e-08   3.498844e-06   3.272525e-04   1.352144e-02   9.768815e-01   9.258370e-03   7.917269e-06
