# CIE ionization fractions for O (Z=8)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_O0           x_O1           x_O2           x_O3           x_O4           x_O5           x_O6           x_O7           x_O8         
         4.0000   9.976808e-01   2.319196e-03   8.731645e-18   5.527307e-43   2.348196e-60   9.975967e-78   4.238144e-95  1.800514e-112  7.649220e-130
         4.0500   9.852272e-01   1.477280e-02   5.227348e-15   3.631074e-37   1.542609e-54   6.553549e-72   2.784180e-89  1.182818e-106  5.025031e-124
         4.1000   9.256760e-01   7.432398e-02   1.526089e-12   5.525059e-32   5.370343e-62   2.281512e-79   9.692670e-97  4.117790e-114  1.749383e-131
         4.1500   7.337537e-01   2.662463e-01   2.064736e-10   2.007702e-27   5.246395e-54   2.228854e-71   9.468963e-89  4.022751e-106  1.709007e-123
         4.2000   4.174751e-01   5.825249e-01   1.163235e-08   1.682468e-23   5.082520e-47   2.159235e-64   9.173194e-82   3.897098e-99  1.655625e-116
         4.2500   1.802857e-01   8.197140e-01   2.989348e-07   3.793626e-20   6.236832e-41   7.852554e-72   3.336043e-89  1.417269e-106  6.021062e-124
         4.3000   7.493035e-02   9.250651e-01   4.508221e-06   3.125103e-17   1.426644e-35   5.913238e-63   2.512153e-80   1.067252e-97  4.534063e-115
         4.3500   3.510078e-02   9.648523e-01   4.696945e-05   1.157282e-14   8.040215e-31   4.463949e-55   7.608640e-85  3.232420e-102  1.373246e-119
         4.4000   1.937295e-02   9.802667e-01   3.603896e-04   2.125046e-12   1.311954e-26   4.356083e-48   2.039929e-74   8.666342e-92  3.681769e-109
         4.4500   1.230613e-02   9.856104e-01   2.083504e-03   2.031222e-10   6.879165e-23   6.656265e-42   3.674268e-65   1.560959e-82  6.631507e-100
         4.5000   8.568717e-03   9.822141e-01   9.217159e-03   1.050188e-08   1.264230e-19   1.886996e-36   5.775666e-57   2.453708e-74   1.042422e-91
         4.5500   6.224796e-03   9.619153e-01   3.185958e-02   3.083691e-07   8.919057e-17   1.173647e-31   1.017092e-49   4.320968e-67   1.835700e-84
         4.6000   4.505621e-03   9.075893e-01   8.789963e-02   5.451809e-06   2.659195e-14   1.888933e-27   2.546166e-43   1.081701e-60   4.595451e-78
         4.6500   3.107506e-03   8.009410e-01   1.958902e-01   6.130205e-05   3.665603e-12   9.143984e-24   1.124114e-37   4.775635e-55   2.028859e-72
         4.7000   1.969441e-03   6.428477e-01   3.547232e-01   4.596765e-04   2.534248e-10   1.522041e-20   1.060439e-32   4.505118e-50   1.913934e-67
         4.7500   1.132848e-03   4.655930e-01   5.308529e-01   2.421273e-03   9.570457e-09   9.926982e-18   2.565186e-28   1.089782e-45   4.629780e-63
         4.8000   6.005233e-04   3.097608e-01   6.800998e-01   9.538603e-03   2.170567e-07   2.900455e-15   1.905027e-24   8.093228e-42   3.438290e-59
         4.8500   3.008001e-04   1.943828e-01   7.754744e-01   2.983883e-02   3.233429e-06   4.295297e-13   5.120415e-21   2.175334e-38   9.241588e-56
         4.9000   1.443447e-04   1.167493e-01   8.059273e-01   7.714531e-02   3.380813e-05   3.548510e-11   5.687074e-18   2.416070e-35   1.026432e-52
         4.9500   6.603250e-05   6.681824e-02   7.654426e-01   1.674153e-01   2.577694e-04   1.743531e-09   2.874983e-15   1.221395e-32   5.188917e-50
         5.0000   2.833338e-05   3.586417e-02   6.576118e-01   3.050343e-01   1.461315e-03   5.314185e-08   7.103492e-13   3.017815e-30   1.282075e-47
         5.0500   1.127839e-05   1.785868e-02   5.079412e-01   4.679108e-01   6.277051e-03   1.044530e-06   9.151891e-11   9.853973e-44   4.186317e-61
         5.1000   4.186624e-06   8.293817e-03   3.560191e-01   6.146066e-01   2.106243e-02   1.389163e-05   6.601692e-09   3.388132e-38   1.439399e-55
