# CIE ionization fractions for S (Z=16)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_S0           x_S1           x_S2           x_S3           x_S4           x_S5           x_S6           x_S7           x_S8           x_S9           x_S10          x_S11          x_S12          x_S13          x_S14          x_S15          x_S16        
         4.0000   8.521189e-01   1.478810e-01   1.555758e-09   2.398504e-24   1.716878e-46   7.293906e-64   3.098710e-81   1.316442e-98  5.592710e-116  2.375981e-133  1.009401e-150  4.288293e-168  1.821819e-185  7.739732e-203  3.288113e-220  1.396907e-237  5.934554e-255
         4.0500   5.770883e-01   4.229116e-01   9.392249e-08   1.207877e-20   3.624660e-40   6.637040e-71   2.819650e-88  1.197887e-105  5.089049e-123  2.162008e-140  9.184976e-158  3.902103e-175  1.657752e-192  7.042717e-210  2.991995e-227  1.271106e-244  5.400107e-262
         4.1000   2.715274e-01   7.284701e-01   2.468148e-06   1.641447e-17   1.087525e-34   7.263389e-62   3.085745e-79   1.310934e-96  5.569311e-114  2.366041e-131  1.005178e-148  4.270352e-166  1.814197e-183  7.707350e-201  3.274355e-218  1.391062e-235  5.909725e-253
         4.1500   1.039947e-01   8.959706e-01   3.463736e-05   7.790450e-15   6.439930e-30   6.400076e-54   1.242856e-83  5.280091e-101  2.243170e-118  9.529779e-136  4.048588e-153  1.719983e-170  7.307099e-188  3.104315e-205  1.318823e-222  5.602826e-240  2.380279e-257
         4.2000   3.937264e-02   9.603008e-01   3.265563e-04   1.700455e-12   1.053818e-25   6.954785e-47   3.933456e-73   1.671071e-90  7.099303e-108  3.016036e-125  1.281319e-142  5.443496e-160  2.312590e-177  9.824701e-195  4.173881e-212  1.773213e-229  7.533235e-247
         4.2500   1.619654e-02   9.814828e-01   2.320659e-03   1.989651e-10   5.852852e-22   1.235887e-40   8.655493e-64   3.677160e-81   1.562188e-98  6.636727e-116  2.819517e-133  1.197831e-150  5.088809e-168  2.161906e-185  9.184544e-203  3.901920e-220  1.657674e-237
         4.3000   7.511069e-03   9.795380e-01   1.295091e-02   1.340571e-08   1.237869e-18   4.310026e-35   1.744263e-55   7.410246e-73   3.148135e-90  1.337439e-107  5.681915e-125  2.413879e-142  1.025501e-159  4.356693e-177  1.850877e-194  7.863183e-212  3.340559e-229
         4.3500   3.914497e-03   9.398232e-01   5.626182e-02   5.280112e-07   1.048627e-15   3.306197e-30   3.920210e-48   1.665444e-65   7.075396e-83  3.005879e-100  1.277004e-117  5.425165e-135  2.304802e-152  9.791616e-170  4.159826e-187  1.767241e-204  7.507867e-222
         4.4000   2.156466e-03   8.186169e-01   1.792150e-01   1.167121e-05   3.518385e-13   5.883082e-26   1.115780e-41   4.740229e-59   2.013817e-76   8.555409e-94  3.634641e-111  1.544124e-128  6.559987e-146  2.786915e-163  1.183980e-180  5.029967e-198  2.136908e-215
         4.4500   1.146391e-03   6.070173e-01   3.916984e-01   1.379349e-04   4.579357e-11   2.539090e-22   4.491719e-36   1.908241e-53   8.106886e-71   3.444092e-88  1.463172e-105  6.216075e-123  2.640809e-140  1.121909e-157  4.766267e-175  2.024879e-192  8.602404e-210
