# CIE ionization fractions for Si (Z=14)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_Si0          x_Si1          x_Si2          x_Si3          x_Si4          x_Si5          x_Si6          x_Si7          x_Si8          x_Si9          x_Si10         x_Si11         x_Si12         x_Si13         x_Si14       
         4.0000   4.852806e-01   5.147098e-01   9.607841e-06   3.585822e-20   9.762882e-41  1.858775e-123  7.724284e-226   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.0500   2.315824e-01   7.682958e-01   1.217935e-04   3.276348e-17   3.055287e-35  9.315890e-109  7.857119e-200  1.888627e-310   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.1000   9.918873e-02   8.998695e-01   9.418040e-04   1.104632e-14   1.898797e-30   9.405667e-96  9.633657e-177  2.881815e-275   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.1500   4.387705e-02   9.509348e-01   5.188196e-03   1.658824e-12   3.025684e-26   3.167664e-84  3.203375e-156  5.858262e-244   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.2000   2.126056e-02   9.570093e-01   2.173014e-02   1.232555e-10   1.458179e-22   5.239450e-74  5.588437e-138  4.263501e-216  3.430746e-313   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.2500   1.131965e-02   9.184594e-01   7.022094e-02   4.846784e-09   2.398153e-19   5.851471e-65  8.965887e-122  2.608883e-191  7.950044e-278   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.3000   6.388881e-03   8.191772e-01   1.744338e-01   1.066169e-07   1.492092e-16   5.832991e-57  2.170669e-107  2.856986e-169  2.380633e-246   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.3500   3.636260e-03   6.615636e-01   3.347987e-01   1.393538e-06   3.892246e-14   6.728066e-50   1.245934e-94  1.108646e-149  2.427692e-218  7.011463e-298   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.4000   2.026291e-03   4.841910e-01   5.137710e-01   1.171848e-05   4.786964e-12   1.161141e-43   2.601305e-83  2.872925e-132  2.050149e-193  2.632474e-264   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.4500   1.107290e-03   3.307035e-01   6.681196e-01   6.960349e-05   3.151843e-10   3.855659e-38   2.958438e-73  8.940438e-117  3.235941e-171  2.151536e-234  5.460649e-307   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.5000   6.027894e-04   2.185437e-01   7.805355e-01   3.180728e-04   1.247065e-08   3.089300e-33   2.633165e-64  5.650514e-103  1.976875e-151  1.003047e-207  1.841277e-272   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.5500   3.311509e-04   1.434441e-01   8.550321e-01   1.192347e-03   3.247175e-07   7.220593e-29   2.504054e-56   1.145359e-90  8.841307e-134  6.221603e-184  1.174568e-241  1.137863e-309   0.000000e+00   0.000000e+00   0.000000e+00
         4.6000   1.846836e-04   9.483054e-02   9.011515e-01   3.827353e-03   5.948620e-06   5.747996e-25   3.312285e-49   1.104067e-79  5.040536e-118  1.077349e-162  3.677643e-214  8.717597e-275   0.000000e+00   0.000000e+00   0.000000e+00
         4.6500   1.045380e-04   6.343504e-02   9.255714e-01   1.080856e-02   8.046535e-05   1.769140e-21   7.626495e-43   7.114035e-70  5.940368e-104  9.969025e-144  1.306576e-189  1.193859e-243  4.871835e-303   0.000000e+00   0.000000e+00
         4.7000   5.968750e-05   4.278704e-02   9.290658e-01   2.725618e-02   8.313211e-04   2.334599e-18   3.697098e-37   4.110077e-61   2.204032e-91  8.698111e-127  1.099264e-167  7.444249e-216  9.194597e-269   0.000000e+00   0.000000e+00
         4.7500   3.386738e-05   2.870968e-02   9.031274e-01   6.144938e-02   6.679718e-03   1.429807e-15   4.410380e-32   2.726955e-53   3.690080e-80  1.168667e-111  4.152742e-148  4.793061e-191  3.589397e-238   0.000000e+00   0.000000e+00
