# CIE ionization fractions for Ar (Z=18)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_Ar0          x_Ar1          x_Ar2          x_Ar3          x_Ar4          x_Ar5          x_Ar6          x_Ar7          x_Ar8          x_Ar9          x_Ar10         x_Ar11         x_Ar12         x_Ar13         x_Ar14         x_Ar15         x_Ar16         x_Ar17         x_Ar18       
         4.0000   9.997662e-01   2.337991e-04   4.830174e-15   3.480531e-38   1.289432e-71  3.275673e-113  5.839326e-163  4.685061e-230  2.722165e-307   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.0500   9.979132e-01   2.086849e-03   4.397172e-12   3.604698e-32   1.578253e-61   3.545333e-98  4.204188e-142  1.495306e-201  4.309335e-270   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.1000   9.852573e-01   1.474270e-02   1.113556e-09   4.954504e-27   9.324574e-53   5.507471e-85  1.036113e-123  2.464388e-176  4.087282e-237   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.1500   9.194370e-01   8.056287e-02   1.225681e-07   1.529292e-22   5.026226e-45   2.645068e-73  2.191752e-107  6.452915e-154  9.025626e-208   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.2000   7.000440e-01   2.999496e-01   6.433733e-06   1.247060e-18   3.204109e-38   5.703140e-63   6.567083e-93  5.309591e-134  1.129587e-181  3.895495e-318   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.2500   3.594322e-01   6.404216e-01   1.462078e-04   2.589601e-15   2.534746e-32   6.368513e-54   3.546793e-80  2.047957e-116  1.438144e-158  7.272900e-280   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.3000   1.348270e-01   8.635280e-01   1.644995e-03   1.640563e-12   3.198516e-27   5.070915e-46   5.055583e-69  6.188724e-101  3.658197e-138  6.145564e-246   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.3500   4.661742e-02   9.413558e-01   1.202682e-02   4.304673e-10   9.263836e-23   4.328731e-39   2.992866e-59   2.558261e-87  3.736031e-120  7.024737e-216   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.4000   1.626312e-02   9.195142e-01   6.422266e-02   5.366631e-08   7.396842e-19   4.920921e-33   9.868849e-51   2.087062e-75  2.488870e-104  2.488903e-189  6.246271e-286   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.4500   5.349193e-03   7.589672e-01   2.356806e-01   3.034670e-06   1.616622e-15   7.829093e-28   2.158840e-43   4.238957e-65   1.507407e-90  5.148833e-166  6.611263e-252   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.5000   1.484974e-03   4.758894e-01   5.225551e-01   7.045354e-05   9.358917e-13   1.842544e-23   3.776906e-37   2.789310e-56   1.180743e-78  1.168501e-145  4.714960e-222  2.120530e-308   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.5500   3.833880e-04   2.492427e-01   7.496343e-01   7.396148e-04   1.625213e-10   7.971213e-20   7.278299e-32   9.155935e-49   2.010393e-68  6.400692e-128  6.947489e-196  8.897302e-273   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.6000   1.139096e-04   1.339525e-01   8.614464e-01   4.487138e-03   1.094057e-08   8.822419e-17   2.313988e-27   2.546109e-42   1.384481e-59  2.038028e-112  6.895570e-173  2.252368e-241  4.093334e-320   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.6500   4.215911e-05   7.950958e-02   9.017607e-01   1.868721e-02   3.566438e-07   3.299013e-14   1.693378e-23   9.371235e-37   6.617988e-52   8.194801e-99  1.301132e-152  1.297749e-213  9.070521e-284   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.7000   1.872882e-05   5.048201e-02   8.918146e-01   5.767826e-02   6.381209e-06   4.972377e-12   3.558308e-20   6.236700e-32   3.271755e-45   7.611493e-87  1.066098e-134  4.974861e-189  1.563868e-251  2.193651e-321   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.7500   9.273302e-06   3.246175e-02   8.302930e-01   1.371678e-01   6.821862e-05   3.436283e-10   2.539911e-17   9.533349e-28   2.291232e-39   2.667055e-76  7.492477e-119  3.098518e-167  6.508415e-223  3.320327e-285   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.8000   4.779243e-06   2.029559e-02   7.197556e-01   2.594758e-01   4.681966e-04   1.216066e-08   7.129213e-15   4.098526e-24   2.964961e-34   5.349869e-67  8.081187e-105  6.745763e-148  1.735685e-197  4.925660e-253  1.432731e-314   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
