# CIE ionization fractions for C (Z=6)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_C0           x_C1           x_C2           x_C3           x_C4           x_C5           x_C6         
         4.0000   2.869106e-01   7.130894e-01   5.341918e-12   4.463511e-39   3.638120e-75   1.545602e-92  6.566265e-110
         4.0500   6.573960e-01   3.426040e-01   3.796151e-10   8.768803e-34   1.628614e-65   6.918931e-83  2.939407e-100
         4.1000   6.610108e-01   3.389892e-01   2.676519e-08   7.357800e-29   1.065448e-56   4.526399e-74   1.922975e-91
         4.1500   4.088521e-01   5.911465e-01   1.319228e-06   2.033978e-24   8.818303e-49   3.746327e-66   1.591573e-83
         4.2000   2.024280e-01   7.975492e-01   2.280584e-05   1.005783e-20   5.553540e-42   2.359341e-59   1.002331e-76
         4.2500   9.993010e-02   8.998656e-01   2.042582e-04   1.403945e-17   4.598638e-36   1.953664e-53   8.299858e-71
         4.3000   5.425093e-02   9.445192e-01   1.229866e-03   7.496570e-15   7.327227e-31   3.112865e-48   1.322456e-65
         4.3500   3.257630e-02   9.619309e-01   5.492757e-03   1.708180e-12   2.674417e-26   1.136187e-43   4.826926e-61
         4.4000   2.098956e-02   9.599175e-01   1.909291e-02   1.711715e-10   2.427568e-22   1.031317e-39   4.381400e-57
         4.4500   1.396775e-02   9.325193e-01   5.351296e-02   7.896934e-09   5.986862e-19   2.543431e-36   1.080540e-53
         4.5000   9.239681e-03   8.668423e-01   1.239178e-01   1.882370e-07   4.694946e-16   1.994579e-33   8.473680e-51
         4.5500   5.865921e-03   7.540956e-01   2.400358e-01   2.655024e-06   1.406469e-13   5.975177e-31   2.538467e-48
         4.6000   3.488713e-03   6.039262e-01   3.925605e-01   2.457146e-05   1.883982e-11   8.003821e-29   3.400307e-46
         4.6500   1.935911e-03   4.455631e-01   5.523399e-01   1.611365e-04   1.289571e-09   5.478552e-27   2.327483e-44
         4.7000   1.017755e-03   3.084281e-01   6.897536e-01   8.004254e-04   5.072272e-08   2.154881e-25   9.154697e-43
         4.7500   5.185669e-04   2.053322e-01   7.909563e-01   3.191593e-03   1.267518e-06   5.384867e-24   2.287682e-41
         4.8000   2.606957e-04   1.340288e-01   8.550130e-01   1.067577e-02   2.176469e-05   7.697778e-36   3.270289e-53
         4.8500   1.301158e-04   8.640340e-02   8.824192e-01   3.077611e-02   2.711376e-04   2.935119e-31   1.246943e-48
         4.9000   6.387230e-05   5.454059e-02   8.658140e-01   7.705604e-02   2.525500e-03   3.518086e-27   1.206675e-57
         4.9500   2.985218e-05   3.265326e-02   7.851442e-01   1.645741e-01   1.759858e-02   1.462436e-23   1.381971e-50
         5.0000   1.233565e-05   1.722655e-02   6.132124e-01   2.819172e-01   8.763158e-02   2.194250e-20   2.440412e-44
         5.0500   3.974491e-06   7.064825e-03   3.648318e-01   3.453022e-01   2.827972e-01   1.162435e-17   7.137637e-39
         5.1000   9.293478e-07   2.096974e-03   1.542803e-01   2.841145e-01   5.595073e-01   2.199312e-15   3.800070e-34
         5.1500   1.758582e-07   5.024138e-04   5.181781e-02   1.765566e-01   7.711230e-01   1.791842e-13   4.780508e-30
         5.2000   3.168348e-08   1.143282e-04   1.629147e-02   9.819566e-02   8.853985e-01   7.925307e-12   1.912941e-26
         5.2500   5.951690e-09   2.706095e-05   5.258338e-03   5.386443e-02   9.408502e-01   2.215431e-10   3.005036e-23
         5.3000   1.204223e-09   6.882636e-06   1.802209e-03   3.027088e-02   9.679200e-01   4.268786e-09   2.128965e-20
         5.3500   2.643361e-10   1.894516e-06   6.613092e-04   1.763893e-02   9.816978e-01   5.991692e-08   7.529289e-18
         5.4000   6.282989e-11   5.632803e-07   2.595367e-04   1.068174e-02   9.890575e-01   6.379991e-07   1.442572e-15
         5.4500   1.609834e-11   1.800708e-07   1.085279e-04   6.716840e-03   9.931691e-01   5.324950e-06   1.604969e-13
         5.5000   4.427282e-12   6.162393e-08   4.817516e-05   4.380803e-03   9.955352e-01   3.580990e-05   1.101332e-11
         5.5500   1.303781e-12   2.252005e-08   2.265801e-05   2.964617e-03   9.968141e-01   1.986441e-04   4.912941e-10
         5.6000   4.113978e-13   8.793017e-09   1.130282e-05   2.087907e-03   9.969739e-01   9.268621e-04   1.491081e-08
         5.6500   1.396005e-13   3.681212e-09   6.003971e-06   1.538965e-03   9.947631e-01   3.691622e-03   3.197700e-07
         5.7000   5.112271e-14   1.658156e-09   3.409044e-06   1.193399e-03   9.861465e-01   1.265175e-02   4.986237e-06
         5.7500   2.012936e-14   8.005658e-10   2.061876e-06   9.713383e-04   9.617243e-01   3.724481e-02   5.748198e-05
         5.8000   8.359434e-15   4.063718e-10   1.303373e-06   8.149235e-04   9.057510e-01   9.294131e-02   4.914329e-04
         5.8500   3.535308e-15   2.093928e-10   8.316044e-07   6.810803e-04   8.035384e-01   1.926812e-01   3.098540e-03
         5.9000   1.466292e-15   1.054738e-10   5.158697e-07   5.465035e-04   6.576253e-01   3.274264e-01   1.440126e-02
         5.9500   5.805463e-16   5.055389e-11   3.029106e-07   4.100977e-04   4.920368e-01   4.574852e-01   5.006758e-02
         6.0000   2.151268e-16   2.260593e-11   1.651049e-07   2.823612e-04   3.349655e-01   5.316738e-01   1.330782e-01
         6.0500   7.317578e-17   9.250031e-12   8.195204e-08   1.750857e-04   2.056982e-01   5.186926e-01   2.754341e-01
         6.1000   2.266811e-17   3.436422e-12   3.676145e-08   9.708685e-05   1.138360e-01   4.314811e-01   4.545858e-01
         6.1500   6.510903e-18   1.180194e-12   1.517719e-08   4.906431e-05   5.804903e-02   3.172454e-01   6.246565e-01
         6.2000   1.797110e-18   3.883803e-13   5.978973e-09   2.344642e-05   2.833925e-02   2.164564e-01   7.551809e-01
         6.2500   4.930392e-19   1.266879e-13   2.325500e-09   1.097186e-05   1.371981e-02   1.430529e-01   8.432164e-01
         6.3000   1.374370e-19   4.187783e-14   9.131951e-10   5.145967e-06   6.738708e-03   9.419894e-02   8.990572e-01
         6.3500   3.936080e-20   1.418684e-14   3.662352e-10   2.449148e-06   3.397118e-03   6.276701e-02   9.338334e-01
         6.4000   1.163029e-20   4.946860e-15   1.506982e-10   1.189328e-06   1.765685e-03   4.262883e-02   9.556043e-01
         6.4500   3.547452e-21   1.776691e-15   6.368199e-11   5.903191e-07   9.469086e-04   2.958923e-02   9.694633e-01
         6.5000   1.115611e-21   6.565493e-16   2.761421e-11   2.994589e-07   5.233987e-04   2.099769e-02   9.784786e-01
         6.5500   3.610188e-22   2.491776e-16   1.226815e-11   1.551176e-07   2.976382e-04   1.522183e-02   9.844804e-01
         6.6000   1.199547e-22   9.692806e-17   5.574083e-12   8.194556e-08   1.737676e-04   1.125759e-02   9.885686e-01
         6.6500   4.083461e-23   3.856583e-17   2.585414e-12   4.409200e-08   1.039350e-04   8.481058e-03   9.914150e-01
         6.7000   1.421238e-23   1.566500e-17   1.222096e-12   2.413255e-08   6.356274e-05   6.498473e-03   9.934379e-01
         6.7500   5.047799e-24   6.484233e-18   5.877770e-13   1.341911e-08   3.967244e-05   5.056902e-03   9.949034e-01
         6.8000   1.826307e-24   2.730739e-18   2.872271e-13   7.572240e-09   2.522815e-05   3.990835e-03   9.959839e-01
         6.8500   6.720264e-25   1.168289e-18   1.424205e-13   4.331533e-09   1.631999e-05   3.189983e-03   9.967937e-01
         6.9000   2.511330e-25   5.070838e-19   7.157029e-14   2.509250e-09   1.072453e-05   2.579544e-03   9.974097e-01
         6.9500   9.517935e-26   2.230127e-19   3.641054e-14   1.470709e-09   7.149853e-06   2.107926e-03   9.978849e-01
         7.0000   3.653969e-26   9.926653e-20   1.873325e-14   8.713827e-10   4.830118e-06   1.738977e-03   9.982562e-01
         7.0500   1.419286e-26   4.467218e-20   9.738170e-15   5.214691e-10   3.302771e-06   1.446976e-03   9.985497e-01
         7.1000   5.571777e-27   2.030503e-20   5.110156e-15   3.149503e-10   2.283558e-06   1.213371e-03   9.987843e-01
         7.1500   2.208522e-27   9.313211e-21   2.704703e-15   1.918317e-10   1.594922e-06   1.024604e-03   9.989738e-01
         7.2000   8.830502e-28   4.306715e-21   1.442743e-15   1.177466e-10   1.124262e-06   8.706396e-04   9.991282e-01
         7.2500   3.558456e-28   2.006260e-21   7.750255e-16   7.278192e-11   7.991468e-07   7.439691e-04   9.992552e-01
         7.3000   1.444008e-28   9.407762e-22   4.189776e-16   4.527475e-11   5.723579e-07   6.389111e-04   9.993605e-01
         7.3500   5.896151e-29   4.437366e-22   2.277814e-16   2.832486e-11   4.127258e-07   5.511233e-04   9.994485e-01
         7.4000   2.420694e-29   2.103803e-22   1.244571e-16   1.781122e-11   2.994325e-07   4.772571e-04   9.995224e-01
         7.4500   9.985822e-30   1.001946e-22   6.830166e-17   1.125073e-11   2.184177e-07   4.147058e-04   9.995851e-01
         7.5000   4.136378e-30   4.790478e-23   3.762741e-17   7.134943e-12   1.600868e-07   3.614238e-04   9.996384e-01
         7.5500   1.719442e-30   2.298064e-23   2.079722e-17   4.540425e-12   1.178271e-07   3.157925e-04   9.996841e-01
         7.6000   7.168748e-31   1.105514e-23   1.152699e-17   2.897922e-12   8.704010e-08   2.765218e-04   9.997234e-01
         7.6500   2.996146e-31   5.330561e-24   6.403732e-18   1.854227e-12   6.449944e-08   2.425756e-04   9.997574e-01
         7.7000   1.254701e-31   2.575086e-24   3.564259e-18   1.188889e-12   4.792371e-08   2.131157e-04   9.997868e-01
         7.7500   5.262420e-32   1.245777e-24   1.986785e-18   7.635747e-13   3.568733e-08   1.874594e-04   9.998125e-01
         7.8000   2.209666e-32   6.033295e-25   1.108715e-18   4.910630e-13   2.662407e-08   1.650468e-04   9.998349e-01
         7.8500   9.285552e-33   2.924057e-25   6.192020e-19   3.161228e-13   1.989179e-08   1.454158e-04   9.998546e-01
         7.9000   3.903802e-33   1.417750e-25   3.459853e-19   2.036467e-13   1.487886e-08   1.281818e-04   9.998718e-01
         7.9500   1.641501e-33   6.875039e-26   1.933653e-19   1.312458e-13   1.113866e-08   1.130235e-04   9.998870e-01
         8.0000   6.901698e-34   3.333542e-26   1.080664e-19   8.460084e-14   8.343494e-09   9.966998e-05   9.999003e-01
         8.0500   2.900894e-34   1.615829e-26   6.038096e-20   5.453195e-14   6.251879e-09   8.789151e-05   9.999121e-01
         8.1000   1.218663e-34   7.828201e-27   3.372300e-20   3.514249e-14   4.685220e-09   7.749253e-05   9.999225e-01
         8.1500   5.116046e-35   3.789933e-27   1.882331e-20   2.263840e-14   3.510947e-09   6.830497e-05   9.999317e-01
         8.2000   2.145946e-35   1.833334e-27   1.049900e-20   1.457562e-14   2.630405e-09   6.018403e-05   9.999398e-01
         8.2500   8.992559e-36   8.860144e-28   5.851004e-21   9.378269e-15   1.969990e-09   5.300421e-05   9.999470e-01
         8.3000   3.764268e-36   4.277435e-28   3.257603e-21   6.029563e-15   1.474670e-09   4.665608e-05   9.999533e-01
         8.3500   1.573878e-36   2.062678e-28   1.811812e-21   3.873259e-15   1.103239e-09   4.104388e-05   9.999590e-01
         8.4000   6.572403e-37   9.934723e-29   1.006573e-21   2.485778e-15   8.248021e-10   3.608361e-05   9.999639e-01
         8.4500   2.741035e-37   4.778940e-29   5.585596e-22   1.593736e-15   6.161737e-10   3.170118e-05   9.999683e-01
         8.5000   1.141627e-37   2.295841e-29   3.095765e-22   1.020746e-15   4.599429e-10   2.783119e-05   9.999722e-01
         8.5500   4.748311e-38   1.101471e-29   1.713667e-22   6.530548e-16   3.430290e-10   2.441567e-05   9.999756e-01
         8.6000   1.972196e-38   5.277352e-30   9.474032e-23   4.173500e-16   2.556038e-10   2.140323e-05   9.999786e-01
         8.6500   8.179986e-39   2.525033e-30   5.231043e-23   2.664171e-16   1.902835e-10   1.874818e-05   9.999813e-01
         8.7000   3.388020e-39   1.206495e-30   2.884596e-23   1.698753e-16   1.415220e-10   1.640991e-05   9.999836e-01
         8.7500   1.401302e-39   5.756950e-31   1.588639e-23   1.081939e-16   1.051551e-10   1.435226e-05   9.999856e-01
         8.8000   5.787828e-40   2.743303e-31   8.738032e-24   6.883065e-17   7.805806e-11   1.254305e-05   9.999875e-01
         8.8500   2.387290e-40   1.305500e-31   4.800166e-24   4.373919e-17   5.788771e-11   1.095363e-05   9.999890e-01
         8.9000   9.833522e-41   6.204552e-32   2.633666e-24   2.776353e-17   4.288824e-11   9.558500e-06   9.999904e-01
         8.9500   4.045186e-41   2.944997e-32   1.443232e-24   1.760357e-17   3.174513e-11   8.334953e-06   9.999917e-01
         9.0000   1.661899e-41   1.396084e-32   7.899379e-25   1.114955e-17   2.347514e-11   7.262808e-06   9.999927e-01
