# CIE ionization fractions for Ca (Z=20)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_Ca0          x_Ca1          x_Ca2          x_Ca3          x_Ca4          x_Ca5          x_Ca6          x_Ca7          x_Ca8          x_Ca9          x_Ca10         x_Ca11         x_Ca12         x_Ca13         x_Ca14         x_Ca15         x_Ca16         x_Ca17         x_Ca18         x_Ca19         x_Ca20       
         4.0000   4.222130e-18   9.938272e-01   6.172790e-03   5.502893e-30   2.086272e-66   8.863223e-84  3.765411e-101  1.599680e-118  6.796007e-136  2.887185e-153  1.226578e-170  5.210939e-188  2.213792e-205  9.404971e-223  3.995565e-240  1.697457e-257  7.211401e-275  3.063658e-292  1.301551e-309   0.000000e+00   0.000000e+00
         4.0500   4.114367e-18   9.684614e-01   3.153856e-02   9.501014e-26   1.085329e-57   4.610861e-75   1.958857e-92  8.321919e-110  3.535446e-127  1.501983e-144  6.380954e-162  2.710855e-179  1.151667e-196  4.892691e-214  2.078589e-231  8.830581e-249  3.751543e-266  1.593789e-283  6.770978e-301  2.876554e-318   0.000000e+00
         4.1000   3.710256e-18   8.733396e-01   1.266604e-01   5.358039e-22   6.095610e-50   1.592539e-85  6.765671e-103  2.874297e-120  1.221103e-137  5.187678e-155  2.203909e-172  9.362988e-190  3.977729e-207  1.689880e-224  7.179210e-242  3.049983e-259  1.295741e-276  5.504765e-294  2.338619e-311   0.000000e+00   0.000000e+00
         4.1500   2.726047e-18   6.416712e-01   3.583288e-01   9.737079e-19   4.109976e-43   2.426937e-74   1.031049e-91  4.380260e-109  1.860890e-126  7.905718e-144  3.358629e-161  1.426865e-178  6.061827e-196  2.575279e-213  1.094070e-230  4.647995e-248  1.974633e-265  8.388941e-283  3.563919e-300  1.514079e-317   0.000000e+00
         4.2000   1.470728e-18   3.461878e-01   6.538122e-01   5.688437e-16   3.692760e-37   1.681204e-64  4.525486e-100  1.922587e-117  8.167829e-135  3.469983e-152  1.474172e-169  6.262804e-187  2.660661e-204  1.130343e-221  4.802098e-239  2.040101e-256  8.667073e-274  3.682079e-291  1.564278e-308   0.000000e+00   0.000000e+00
         4.2500   6.351582e-19   1.495069e-01   8.504931e-01   1.276247e-13   5.815719e-32   7.729519e-56   4.006442e-87  1.702079e-104  7.231033e-122  3.071999e-139  1.305094e-156  5.544501e-174  2.355501e-191  1.000700e-208  4.251328e-226  1.806115e-243  7.673016e-261  3.259769e-278  1.384865e-295  5.883399e-313   0.000000e+00
         4.3000   2.583521e-19   6.081227e-02   9.391877e-01   1.401779e-11   2.227565e-27   3.531277e-48   1.115444e-75  4.194488e-108  1.781967e-125  7.570427e-143  3.216186e-160  1.366350e-177  5.804737e-195  2.466058e-212  1.047669e-229  4.450868e-247  1.890886e-264  8.033156e-282  3.412769e-299  1.449865e-316   0.000000e+00
         4.3500   1.085029e-19   2.553998e-02   9.744600e-01   8.874841e-10   2.637819e-23   2.141452e-41   1.407772e-65   3.637063e-94  1.080752e-127  4.591415e-145  1.950596e-162  8.286822e-180  3.520536e-197  1.495648e-214  6.354044e-232  2.699423e-249  1.146810e-266  4.872057e-284  2.069822e-301  8.793331e-319   0.000000e+00
         4.4000   4.866346e-20   1.145466e-02   9.885453e-01   3.559594e-08   1.135841e-19   2.114728e-35   1.099219e-56   6.367682e-82  1.199346e-111  5.095248e-129  2.164642e-146  9.196166e-164  3.906857e-181  1.659771e-198  7.051297e-216  2.995641e-233  1.272654e-250  5.406686e-268  2.296952e-285  9.758265e-303  4.145705e-320
         4.4500   2.362133e-20   5.560113e-03   9.944389e-01   9.624740e-07   2.009158e-16   4.131500e-30   7.424014e-49   3.633835e-71   1.479647e-97  5.760709e-131  2.447353e-148  1.039722e-165  4.417109e-183  1.876544e-200  7.972225e-218  3.386884e-235  1.438868e-252  6.112822e-270  2.596943e-287  1.103273e-304  4.644217e-322
