# CIE ionization fractions for Fe (Z=26)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_Fe0          x_Fe1          x_Fe2          x_Fe3          x_Fe4          x_Fe5          x_Fe6          x_Fe7          x_Fe8          x_Fe9          x_Fe10         x_Fe11         x_Fe12         x_Fe13         x_Fe14         x_Fe15         x_Fe16         x_Fe17         x_Fe18         x_Fe19         x_Fe20         x_Fe21         x_Fe22         x_Fe23         x_Fe24         x_Fe25         x_Fe26       
         4.0000   3.924343e-18   9.237324e-01   7.626759e-02   3.003594e-20   6.441884e-51   2.736741e-68   1.162664e-85  4.939410e-103  2.098436e-120  8.914901e-138  3.787366e-155  1.609007e-172  6.835632e-190  2.904019e-207  1.233730e-224  5.241322e-242  2.226699e-259  9.459808e-277  4.018862e-294  1.707355e-311   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.0500   3.811972e-18   8.972820e-01   1.027180e-01   1.282846e-17   1.770255e-44   1.134100e-80   4.818060e-98  2.046883e-115  8.695882e-133  3.694319e-150  1.569477e-167  6.667696e-185  2.832674e-202  1.203420e-219  5.112555e-237  2.171994e-254  9.227402e-272  3.920127e-289  1.665409e-306  9.881313e-324   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.1000   3.684027e-18   8.671658e-01   1.328342e-01   2.873299e-15   1.000037e-38   1.650176e-70   7.010531e-88  2.978322e-105  1.265297e-122  5.375428e-140  2.283672e-157  9.701849e-175  4.121689e-192  1.751040e-209  7.439037e-227  3.160366e-244  1.342636e-261  5.703991e-279  2.423258e-296  1.029486e-313   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.1500   3.544458e-18   8.343131e-01   1.656869e-01   3.618441e-13   1.378482e-33   1.984941e-61   8.432733e-79   3.582524e-96  1.521983e-113  6.465923e-131  2.746953e-148  1.167003e-165  4.957842e-183  2.106267e-200  8.948168e-218  3.801499e-235  1.615011e-252  6.861141e-270  2.914856e-287  1.238334e-304  5.286502e-322   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.2000   3.397557e-18   7.997349e-01   2.002651e-01   2.728343e-11   5.406738e-29   2.588207e-53   3.038770e-85  1.290977e-102  5.484528e-120  2.330022e-137  9.898758e-155  4.205343e-172  1.786579e-189  7.590019e-207  3.224509e-224  1.369886e-241  5.819760e-259  2.472440e-276  1.050380e-293  4.462387e-311   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.2500   3.244612e-18   7.637338e-01   2.362662e-01   1.308147e-09   6.956740e-25   4.687613e-46   5.208325e-74   2.212681e-91  9.400252e-109  3.993560e-126  1.696606e-143  7.207782e-161  3.062121e-178  1.300898e-195  5.526674e-213  2.347927e-230  9.974825e-248  4.237659e-265  1.800308e-282  7.648345e-300  3.249288e-317   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.3000   3.063185e-18   7.210286e-01   2.789713e-01   4.282534e-08   3.388663e-21   1.493602e-39   5.928329e-64   3.883738e-95  1.649949e-112  7.009570e-130  2.977913e-147  1.265123e-164  5.374691e-182  2.283359e-199  9.700519e-217  4.121124e-234  1.750800e-251  7.438017e-269  3.159933e-286  1.342451e-303  5.701518e-321   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.3500   2.707159e-18   6.372254e-01   3.627735e-01   1.098724e-06   7.656652e-18   1.115726e-33   6.643518e-55   3.379042e-82  5.138571e-116  2.183047e-133  9.274357e-151  3.940075e-168  1.673884e-185  7.111250e-203  3.021111e-220  1.283475e-237  5.452657e-255  2.316482e-272  9.841235e-290  4.180905e-307  4.940656e-324   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.4000   1.807228e-18   4.253949e-01   5.745798e-01   2.535266e-05   9.757223e-15   2.559125e-28   1.055106e-46   1.608111e-70  1.779030e-100  7.557951e-118  3.210885e-135  1.364098e-152  5.795171e-170  2.461994e-187  1.045942e-204  4.443533e-222  1.887770e-239  8.019917e-257  3.407145e-274  1.447476e-291  6.149390e-309   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.4500   7.030353e-19   1.654841e-01   8.341069e-01   4.089571e-04   5.735297e-12   1.573970e-23   2.254638e-39   4.405586e-60   1.234824e-86  5.245969e-104  2.228674e-121  9.468195e-139  4.022425e-156  1.708869e-173  7.259879e-191  3.084254e-208  1.310300e-225  5.566620e-243  2.364897e-260  1.004692e-277  4.268288e-295  1.813320e-312   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
