# CIE ionization fractions for Mg (Z=12)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_Mg0          x_Mg1          x_Mg2          x_Mg3          x_Mg4          x_Mg5          x_Mg6          x_Mg7          x_Mg8          x_Mg9          x_Mg10         x_Mg11         x_Mg12       
         4.0000   5.412392e-02   9.456171e-01   2.589288e-04   2.475219e-48  5.156774e-107  8.324029e-183  2.098619e-281   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.0500   5.760593e-02   9.404312e-01   1.962910e-03   2.980164e-42   3.907167e-94  2.412645e-161  7.147360e-249   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.1000   5.646877e-02   9.321124e-01   1.141881e-02   7.617045e-37   1.161118e-82  3.284290e-142  7.323386e-220  3.636891e-313   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.1500   4.955751e-02   8.987356e-01   5.170692e-02   4.819684e-32   1.897021e-72  3.704591e-125  5.363267e-194  8.003917e-277   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.2000   3.611453e-02   7.781296e-01   1.857559e-01   8.712282e-28   2.315396e-63  5.770051e-110  6.089986e-171  2.017854e-244   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.2500   1.896376e-02   5.177969e-01   4.632393e-01   4.401218e-24   2.389139e-55   1.681449e-96  1.832760e-150  1.311479e-215  1.513570e-292   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.3000   6.856087e-03   2.484318e-01   7.447121e-01   6.364149e-21   2.423545e-48   1.242653e-84  2.417044e-132  4.588595e-190  2.620112e-258   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
         4.3500   2.018525e-03   9.985566e-02   8.981258e-01   3.346745e-18   3.433285e-42   3.756652e-74  2.663309e-116  2.002225e-167  6.251135e-228  9.658466e-303   0.000000e+00   0.000000e+00   0.000000e+00
         4.4000   5.751081e-04   3.940025e-02   9.600246e-01   8.167541e-16   9.539258e-37   7.214298e-65  4.376916e-102  2.296048e-147  5.264701e-201  1.948119e-267   0.000000e+00   0.000000e+00   0.000000e+00
         4.4500   1.714665e-04   1.634220e-02   9.834863e-01   1.069584e-13   6.526321e-32   1.205036e-56   1.668340e-89  1.267116e-129  3.408962e-177  3.316328e-236  1.345050e-302  5.714363e-320   0.000000e+00
         4.5000   5.481866e-05   7.256860e-03   9.926883e-01   8.421925e-12   1.357246e-27   2.380457e-49   2.296881e-78  6.273905e-114  3.810151e-156  1.345258e-208  1.391148e-267   0.000000e+00   0.000000e+00
         4.5500   1.887506e-05   3.452763e-03   9.965284e-01   4.248785e-10   9.737357e-24   7.082161e-43   1.682535e-68  4.929967e-100  1.594393e-137  3.577142e-184  1.370781e-236   0.000000e+00   0.000000e+00
         4.6000   6.982154e-06   1.752682e-03   9.982403e-01   1.391649e-08   2.522460e-20   3.737592e-37   8.882983e-60   9.800559e-88  4.841035e-121  1.510466e-162  3.893573e-209   0.000000e+00   0.000000e+00
         4.6500   2.762423e-06   9.442730e-04   9.990527e-01   3.078664e-07   2.616568e-17   4.299949e-32   4.690093e-52   7.825317e-77  2.000524e-106  2.303707e-143  8.918061e-185   0.000000e+00   0.000000e+00
         4.7000   1.164087e-06   5.376839e-04   9.994564e-01   4.752364e-06   1.190282e-14   1.279736e-27   3.245730e-45   3.668291e-67   1.884610e-93  2.498461e-126  3.890947e-163   0.000000e+00   0.000000e+00
         4.7500   5.214821e-07   3.231028e-04   9.996238e-01   5.257176e-05   2.561933e-12   1.130961e-23   3.664109e-39   1.374878e-58   6.168783e-82  3.368691e-111  6.615263e-144  9.531839e-303   0.000000e+00
         4.8000   2.489309e-07   2.055429e-04   9.993689e-01   4.253293e-04   2.773817e-10   3.316513e-20   8.060678e-34   5.312675e-51   9.950934e-72   9.017962e-98  8.011870e-127  2.007648e-268   0.000000e+00
         4.8500   1.276261e-07   1.396772e-04   9.973068e-01   2.553399e-03   1.591082e-08   3.549298e-17   4.020764e-29   2.633163e-44   1.068546e-62   7.183266e-86  1.164191e-111  6.823249e-238   0.000000e+00
