# CIE ionization fractions for N (Z=7)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_N0           x_N1           x_N2           x_N3           x_N4           x_N5           x_N6           x_N7         
         4.0000   3.970520e-01   6.029480e-01   4.920240e-18   9.291728e-45   3.947455e-62   1.677019e-79   7.124570e-97  3.026770e-114
         4.0500   3.708040e-01   6.291960e-01   1.480902e-15   6.759654e-39   2.871740e-56   1.220017e-73   5.183065e-91  2.201949e-108
         4.1000   3.541736e-01   6.458264e-01   2.434369e-13   1.164845e-33   2.241318e-66   9.521913e-84  4.045246e-101  1.718564e-118
         4.1500   3.600232e-01   6.399768e-01   2.284041e-11   5.438815e-29   1.079171e-57   4.584702e-75   1.947744e-92  8.274705e-110
         4.2000   3.960131e-01   6.039869e-01   1.274374e-09   7.763625e-25   5.872566e-50   2.329475e-82  9.896435e-100  4.204356e-117
         4.2500   3.465182e-01   6.534817e-01   5.330604e-08   4.581486e-21   5.405134e-43   1.837587e-71   7.806721e-89  3.316572e-106
         4.3000   1.824714e-01   8.175268e-01   1.738687e-06   1.231468e-17   1.002500e-36   1.108382e-61   4.708801e-79   2.000465e-96
         4.3500   8.494040e-02   9.150252e-01   3.439766e-05   1.228095e-14   3.212306e-31   4.846960e-53   2.059160e-70   8.748042e-88
         4.4000   4.346846e-02   9.561164e-01   4.150965e-04   4.716445e-12   1.894099e-26   1.782350e-45   7.572055e-63   3.216877e-80
         4.4500   2.479582e-02   9.721823e-01   3.021873e-03   7.025280e-10   2.139013e-22   6.156813e-39   2.615632e-56   1.111213e-73
         4.5000   1.530966e-02   9.709185e-01   1.377182e-02   4.271453e-08   5.279845e-19   2.423224e-33   1.029472e-50   4.373560e-68
         4.5500   9.875580e-03   9.460092e-01   4.411399e-02   1.221230e-06   3.684786e-16   1.487184e-28   6.318085e-46   2.684146e-63
         4.6000   6.412804e-03   8.835758e-01   1.099923e-01   1.909966e-05   9.407364e-14   1.949817e-24   8.283511e-42   3.519129e-59
         4.6500   4.036417e-03   7.718585e-01   2.239219e-01   1.832018e-04   1.065303e-11   7.049317e-21   2.994800e-38   1.272297e-55
         4.7000   2.390077e-03   6.176747e-01   3.787658e-01   1.169403e-03   6.131407e-10   8.571233e-18   3.641364e-35   1.546980e-52
         4.7500   1.318090e-03   4.512519e-01   5.421065e-01   5.323402e-03   1.999895e-08   4.140745e-15   1.759135e-32   7.473430e-50
         4.8000   6.835796e-04   3.053727e-01   6.754924e-01   1.845099e-02   4.069373e-07   9.199499e-13   3.908273e-30   1.660373e-47
         4.8500   3.380661e-04   1.948302e-01   7.534405e-01   5.138573e-02   5.588309e-06   1.059960e-10   4.503084e-28   1.913070e-45
         4.9000   1.599781e-04   1.179235e-01   7.630123e-01   1.188495e-01   5.465618e-05   6.918403e-09   2.939183e-26   1.248669e-43
         4.9500   7.175533e-05   6.721821e-02   7.009869e-01   2.313301e-01   3.927152e-04   2.715533e-07   4.646592e-38   1.974037e-55
         5.0000   3.013122e-05   3.569938e-02   5.811177e-01   3.810292e-01   2.116887e-03   6.706250e-06   3.386165e-33   1.779619e-66
         5.0500   1.181157e-05   1.763661e-02   4.359691e-01   5.374926e-01   8.780761e-03   1.091205e-04   6.926944e-29   1.870897e-58
         5.1000   4.357216e-06   8.177614e-03   2.997470e-01   6.619332e-01   2.890935e-02   1.228501e-03   4.586466e-25   2.545827e-51
         5.1500   1.514298e-06   3.565108e-03   1.898023e-01   7.195251e-01   7.717603e-02   9.929955e-03   1.108306e-21   5.588199e-45
         5.2000   4.776964e-07   1.408616e-03   1.069721e-01   6.705823e-01   1.637655e-01   5.727091e-02   1.045894e-18   2.314548e-39
         5.2500   1.225293e-07   4.519928e-04   4.818982e-02   4.832918e-01   2.511600e-01   2.169062e-01   3.788368e-16   1.924633e-34
         5.3000   2.276051e-08   1.049258e-04   1.548596e-02   2.412799e-01   2.511815e-01   4.919477e-01   5.092540e-14   3.334101e-30
         5.3500   3.273980e-09   1.884467e-05   3.802092e-03   8.965865e-02   1.771369e-01   7.293835e-01   2.921831e-12   1.473704e-26
         5.4000   4.370258e-10   3.137990e-06   8.557764e-04   2.983948e-02   1.065983e-01   8.627033e-01   9.146566e-11   2.247175e-23
         5.4500   6.072738e-11   5.434668e-07   1.982955e-04   1.001242e-02   6.193425e-02   9.278545e-01   1.855878e-09   1.476252e-20
         5.5000   9.162959e-12   1.021068e-07   4.938164e-05   3.543601e-03   3.651067e-02   9.598962e-01   2.678813e-08   4.794317e-18
         5.5500   1.516134e-12   2.101520e-08   1.335599e-05   1.339280e-03   2.219867e-02   9.764484e-01   2.905592e-07   8.459759e-16
         5.6000   2.747357e-13   4.731340e-09   3.920007e-06   5.409602e-04   1.398154e-02   9.854711e-01   2.460284e-06   8.729057e-14
         5.6500   5.430061e-14   1.160337e-09   1.243942e-06   2.329916e-04   9.130571e-03   9.906184e-01   1.675332e-05   5.599347e-12
         5.7000   1.166781e-14   3.089232e-10   4.255218e-07   1.068160e-04   6.188915e-03   9.936098e-01   9.401204e-05   2.353203e-10
         5.7500   2.724009e-15   8.921824e-11   1.568492e-07   5.216085e-05   4.367809e-03   9.951363e-01   4.435671e-04   6.778301e-09
         5.8000   6.926744e-16   2.801475e-11   6.246148e-08   2.722665e-05   3.227713e-03   9.949573e-01   1.787538e-03   1.390033e-07
         5.8500   1.925084e-16   9.595640e-12   2.696843e-08   1.525699e-05   2.512876e-03   9.912519e-01   6.217895e-03   2.092024e-06
         5.9000   5.842282e-17   3.581389e-12   1.261409e-08   9.176980e-06   2.063787e-03   9.791595e-01   1.874387e-02   2.361353e-05
         5.9500   1.912773e-17   1.438734e-12   6.314971e-09   5.857194e-06   1.769680e-03   9.492293e-01   4.879281e-02   2.023499e-04
         6.0000   6.580087e-18   6.057976e-13   3.295792e-09   3.865474e-06   1.545365e-03   8.885294e-01   1.085995e-01   1.321849e-03
         6.0500   2.295321e-18   2.579754e-13   1.730593e-09   2.546781e-06   1.328022e-03   7.876623e-01   2.044145e-01   6.592633e-03
         6.1000   7.844948e-19   1.073392e-13   8.834628e-10   1.619303e-06   1.086206e-03   6.500005e-01   3.236622e-01   2.524946e-02
         6.1500   2.553281e-19   4.240671e-14   4.261792e-10   9.660830e-07   8.226445e-04   4.925320e-01   4.315624e-01   7.508204e-02
         6.2000   7.724863e-20   1.552655e-14   1.896537e-10   5.281441e-07   5.637463e-04   3.382048e-01   4.858820e-01   1.753489e-01
         6.2500   2.138058e-20   5.184249e-15   7.662845e-11   2.604869e-07   3.444165e-04   2.086549e-01   4.648067e-01   3.261937e-01
         6.3000   5.434917e-21   1.584669e-15   2.822529e-11   1.164210e-07   1.885798e-04   1.166780e-01   3.859355e-01   4.971979e-01
         6.3500   1.302523e-21   4.551754e-16   9.730676e-12   4.842698e-08   9.513216e-05   6.089511e-02   2.892414e-01   6.497683e-01
         6.4000   3.045566e-22   1.271335e-16   3.249743e-12   1.941190e-08   4.582935e-05   3.075870e-02   2.044067e-01   7.647887e-01
         6.4500   7.143738e-23   3.550249e-17   1.081249e-12   7.714630e-09   2.171466e-05   1.548241e-02   1.410219e-01   8.434740e-01
         6.5000   1.709873e-23   1.008287e-17   3.646488e-13   3.093879e-09   1.031090e-05   7.907555e-03   9.709849e-02   8.949836e-01
         6.5500   4.211507e-24   2.936992e-18   1.257347e-13   1.263466e-09   4.956257e-06   4.135898e-03   6.753439e-02   9.283248e-01
         6.6000   1.070754e-24   8.801999e-19   4.447588e-14   5.273759e-10   2.423061e-06   2.223466e-03   4.772602e-02   9.500481e-01
         6.6500   2.810722e-25   2.714874e-19   1.614737e-14   2.251915e-10   1.206932e-06   1.229521e-03   3.434763e-02   9.644216e-01
         6.7000   7.608778e-26   8.608764e-20   6.011834e-15   9.831727e-11   6.126473e-07   6.987980e-04   2.518393e-02   9.741167e-01
         6.7500   2.120383e-26   2.801795e-20   2.291953e-15   4.383894e-11   3.167659e-07   4.076143e-04   1.880145e-02   9.807906e-01
         6.8000   6.071112e-27   9.342073e-21   8.932754e-16   1.993702e-11   1.666961e-07   2.436079e-04   1.427769e-02   9.854785e-01
         6.8500   1.782526e-27   3.185517e-21   3.553380e-16   9.235189e-12   8.920492e-08   1.489094e-04   1.101535e-02   9.888357e-01
         6.9000   5.357029e-28   1.108962e-21   1.440515e-16   4.351793e-12   4.850057e-08   9.294205e-05   8.623161e-03   9.912838e-01
         6.9500   1.645133e-28   3.935393e-22   5.943158e-17   2.083674e-12   2.676937e-08   5.913943e-05   6.841139e-03   9.930997e-01
         7.0000   5.154668e-29   1.421662e-22   2.492338e-17   1.012711e-12   1.498746e-08   3.830729e-05   5.493836e-03   9.944678e-01
         7.0500   1.645566e-29   5.221582e-23   1.061226e-17   4.991564e-13   8.505664e-09   2.522540e-05   4.460998e-03   9.955138e-01
         7.1000   5.345594e-30   1.947712e-23   4.583485e-18   2.493041e-13   4.889862e-09   1.686572e-05   3.658947e-03   9.963242e-01
         7.1500   1.764987e-30   7.371064e-24   2.006267e-18   1.260797e-13   2.845980e-09   1.143615e-05   3.028582e-03   9.969600e-01
