# CIE ionization fractions for Ne (Z=10)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_Ne0          x_Ne1          x_Ne2          x_Ne3          x_Ne4          x_Ne5          x_Ne6          x_Ne7          x_Ne8          x_Ne9          x_Ne10       
         4.0000   9.999991e-01   8.751576e-07   2.175226e-25   3.168683e-60   1.346169e-77   5.719002e-95  2.429635e-112  1.032195e-129  4.385129e-147  1.862958e-164  7.914507e-182
         4.0500   9.999849e-01   1.505701e-05   2.098582e-21   5.688844e-52   2.416822e-69   1.026752e-86  4.362005e-104  1.853134e-121  7.872771e-139  3.344632e-156  1.420918e-173
         4.1000   9.998074e-01   1.926287e-04   4.392262e-18   7.698898e-45   3.270764e-62   1.389537e-79   5.903244e-97  2.507907e-114  1.065448e-131  4.526400e-149  1.922975e-166
         4.1500   9.981100e-01   1.889971e-03   3.360329e-15   1.483908e-38   7.631101e-74   3.241962e-91  1.377300e-108  5.851260e-126  2.485822e-143  1.056065e-160  4.486540e-178
         4.2000   9.855023e-01   1.449774e-02   1.216744e-12   5.839387e-33   6.440000e-64   2.735940e-81   1.162324e-98  4.937966e-116  2.097823e-133  8.912294e-151  3.786258e-168
         4.2500   9.151788e-01   8.482122e-02   2.230441e-10   5.496615e-28   4.422076e-55   1.878655e-72   7.981190e-90  3.390692e-107  1.440486e-124  6.119696e-142  2.599864e-159
         4.3000   6.737107e-01   3.262893e-01   1.880724e-08   1.216354e-23   2.716756e-47   4.102209e-79   1.742764e-96  7.403877e-114  3.145429e-131  1.336290e-148  5.677033e-166
         4.3500   3.184860e-01   6.815134e-01   6.267977e-07   5.823352e-20   1.514236e-40   1.762148e-68   7.486230e-86  3.180416e-103  1.351153e-120  5.740178e-138  2.438631e-155
         4.4000   1.097621e-01   8.902281e-01   9.815772e-06   7.594180e-17   1.045524e-34   3.331022e-59   4.292976e-91  1.823808e-108  7.748184e-126  3.291703e-143  1.398432e-160
         4.4500   3.632076e-02   9.635813e-01   9.791167e-05   3.833193e-14   1.360891e-29   4.565330e-51   2.838917e-79   1.206072e-96  5.123823e-114  2.176781e-131  9.247739e-149
         4.5000   1.327782e-02   9.860041e-01   7.180783e-04   8.994184e-12   4.357534e-25   6.504405e-44   7.011397e-69  1.577996e-101  6.703888e-119  2.848049e-136  1.209952e-153
         4.5500   5.710424e-03   9.902671e-01   4.022516e-03   1.053028e-09   3.886568e-21   1.218204e-37   9.475366e-60   1.089147e-88  2.116973e-122  8.993652e-140  3.820822e-157
         4.6000   2.976855e-03   9.797801e-01   1.724298e-02   6.324750e-08   1.026767e-17   3.553259e-32   9.408101e-52   2.010580e-77  2.852617e-107  1.211893e-124  5.148549e-142
         4.6500   1.842222e-03   9.417152e-01   5.644061e-02   1.994873e-06   8.756258e-15   1.926811e-27   9.046871e-45   1.505667e-67   5.671959e-94  2.409649e-111  1.023704e-128
         4.7000   1.255299e-03   8.564991e-01   1.422112e-01   3.438885e-05   2.655930e-12   2.297403e-23   1.077966e-38   6.577547e-59   2.719756e-82   1.155449e-99  4.908755e-117
         4.7500   8.628305e-04   7.174917e-01   2.812974e-01   3.480168e-04   3.241191e-10   7.206975e-20   2.032660e-33   2.359435e-51   4.945741e-72   2.101126e-89  8.926328e-107
         4.8000   5.646937e-04   5.468036e-01   4.504080e-01   2.223732e-03   1.798548e-08   7.050265e-17   7.608348e-29   9.462651e-45   5.103278e-63   2.168053e-80   9.210659e-98
         4.8500   3.454860e-04   3.821923e-01   6.075884e-01   9.873249e-03   5.240696e-07   2.593722e-14   7.172778e-25   5.774214e-39   4.405632e-55   1.871669e-72   7.951512e-90
         4.9000   1.982540e-04   2.492003e-01   7.175202e-01   3.307216e-02   9.107552e-06   4.245893e-12   2.110800e-21   7.057019e-34   4.488092e-48   1.906700e-65   8.100338e-83
         4.9500   1.069073e-04   1.528730e-01   7.586938e-01   8.822268e-02   1.036211e-04   3.527307e-10   2.306629e-18   2.165043e-29   7.179826e-42   3.050245e-59   1.295852e-76
         5.0000   5.359825e-05   8.756166e-02   7.195984e-01   1.919700e-01   8.163484e-04   1.628267e-08   1.064448e-15   1.984156e-25   2.262124e-36   9.610306e-54   4.082798e-71
         5.0500   2.455121e-05   4.607448e-02   6.064083e-01   3.428954e-01   4.596834e-03   4.443406e-07   2.282432e-13   6.218011e-22   1.682832e-31   7.149265e-49   3.037261e-66
         5.1000   1.017945e-05   2.207363e-02   4.522255e-01   5.066624e-01   1.902074e-02   7.561445e-06   2.470663e-11   7.494777e-19   3.463327e-27   1.471344e-44   6.250791e-62
         5.1500   3.835313e-06   9.665216e-03   3.007494e-01   6.297491e-01   5.974766e-02   8.469985e-05   1.462313e-09   3.879450e-16   2.282828e-23   9.698261e-41   4.120165e-58
         5.2000   1.320712e-06   3.889096e-03   1.799094e-01   6.689346e-01   1.466113e-01   6.542979e-04   5.070038e-08   9.489036e-14   5.476098e-20   2.326440e-37   9.883543e-55
         5.2500   4.153844e-07   1.436538e-03   9.695380e-02   6.118318e-01   2.861733e-01   3.603052e-03   1.085255e-06   1.183401e-11   5.307662e-17   8.286014e-51   3.520192e-68
         5.3000   1.194616e-07   4.874506e-04   4.720665e-02   4.857453e-01   4.519745e-01   1.457088e-02   1.502534e-05   8.048563e-10   2.280418e-14   1.951197e-44   3.970075e-79
         5.3500   3.180326e-08   1.537554e-04   2.105310e-02   3.408960e-01   5.928537e-01   4.490179e-02   1.416700e-04   3.201163e-08   4.763630e-12   8.878942e-39   1.118381e-69
         5.4000   7.967192e-09   4.580978e-05   8.752492e-03   2.161013e-01   6.646097e-01   1.095328e-01   9.571005e-04   7.961225e-07   5.278149e-10   9.418082e-34   2.881671e-61
         5.4500   1.893440e-09   1.299159e-05   3.422806e-03   1.253250e-01   6.490201e-01   2.173909e-01   4.815048e-03   1.305223e-05   3.329359e-08   2.733384e-29   8.826305e-54
         5.5000   4.262451e-10   3.500472e-06   1.258196e-03   6.666381e-02   5.567608e-01   3.566590e-01   1.850679e-02   1.465761e-04   1.262201e-06   2.481875e-25   4.023533e-47
         5.5500   9.047380e-11   8.916398e-07   4.330012e-04   3.249263e-02   4.213714e-01   4.890882e-01   5.542084e-02   1.162934e-03   3.008660e-05   7.918954e-22   3.324452e-41
         5.6000   1.799475e-11   2.133085e-07   1.387133e-04   1.446832e-02   2.818541e-01   5.650546e-01   1.313277e-01   6.687869e-03   4.684893e-04   9.828673e-19   5.923123e-36
         5.6500   3.302578e-12   4.718122e-08   4.074937e-05   5.812085e-03   1.652560e-01   5.485217e-01   2.472411e-01   2.824559e-02   4.882749e-03   5.144519e-16   2.630749e-31
         5.7000   5.370393e-13   9.261933e-09   1.054335e-05   2.027418e-03   8.206199e-02   4.344701e-01   3.612560e-01   8.628873e-02   3.388524e-02   1.188018e-13   3.226823e-27
         5.7500   7.088630e-14   1.477875e-09   2.201579e-06   5.637872e-04   3.179110e-02   2.598186e-01   3.810872e-01   1.786918e-01   1.480454e-01   1.196938e-11   1.137464e-23
         5.8000   6.923347e-15   1.746833e-10   3.382496e-07   1.141326e-04   8.800098e-03   1.078699e-01   2.681491e-01   2.333183e-01   3.817482e-01   5.133502e-10   1.176628e-20
         5.8500   5.258388e-16   1.606983e-11   4.018876e-08   1.770341e-05   1.836642e-03   3.292413e-02   1.338330e-01   2.055047e-01   6.258838e-01   1.046302e-08   4.152277e-18
         5.9000   3.669543e-17   1.359080e-12   4.363028e-09   2.489037e-06   3.426449e-04   8.785665e-03   5.655507e-02   1.465535e-01   7.877605e-01   1.263050e-07   6.459252e-16
         5.9500   2.662232e-18   1.195351e-13   4.897057e-10   3.592724e-07   6.484161e-05   2.332093e-03   2.309964e-02   9.707729e-02   8.774247e-01   1.070695e-06   5.423332e-14
         6.0000   2.116946e-19   1.152419e-14   5.990815e-11   5.617531e-08   1.315410e-05   6.522794e-04   9.688144e-03   6.373320e-02   9.259062e-01   6.995599e-06   2.776037e-12
         6.0500   1.876927e-20   1.238595e-15   8.125676e-12   9.685565e-09   2.915999e-06   1.963431e-04   4.272375e-03   4.262818e-02   9.528631e-01   3.706067e-05   9.349193e-11
         6.1000   1.863907e-21   1.490441e-16   1.227416e-12   1.850774e-09   7.107654e-07   6.410878e-05   2.001187e-03   2.943945e-02   9.683303e-01   1.642418e-04   2.186531e-09
         6.1500   2.075750e-22   2.010021e-17   2.067212e-13   3.925912e-10   1.909910e-07   2.279806e-05   1.001593e-03   2.117569e-02   9.771777e-01   6.220080e-04   3.702036e-08
         6.2000   2.592943e-23   3.037946e-18   3.882386e-14   9.249407e-11   5.665429e-08   8.852640e-06   5.379125e-04   1.596567e-02   9.814432e-01   2.043868e-03   4.691182e-07
         6.2500   3.625384e-24   5.133722e-19   8.112939e-15   2.415739e-11   1.852950e-08   3.752929e-06   3.103719e-04   1.265391e-02   9.811376e-01   5.889804e-03   4.570029e-06
         6.3000   5.633122e-25   9.628380e-20   1.872777e-15   6.945676e-12   6.639308e-09   1.727389e-06   1.915652e-04   1.050970e-02   9.742703e-01   1.499171e-02   3.496962e-05
         6.3500   9.593336e-26   1.976248e-20   4.709675e-16   2.168462e-12   2.571955e-09   8.525332e-07   1.250347e-04   9.051105e-03   9.567500e-01   3.385920e-02   2.138535e-04
         6.4000   1.755703e-26   4.351546e-21   1.265060e-16   7.208339e-13   1.056649e-09   4.428500e-07   8.478702e-05   7.947161e-03   9.228531e-01   6.805427e-02   1.060260e-03
         6.4500   3.374622e-27   1.004398e-21   3.547062e-17   2.493578e-13   4.501145e-10   2.368442e-07   5.847843e-05   6.970614e-03   8.666630e-01   1.219932e-01   4.314420e-03
         6.5000   6.652510e-28   2.372691e-22   1.013808e-17   8.766538e-14   1.942071e-10   1.274561e-07   4.012244e-05   5.979735e-03   7.841046e-01   1.953150e-01   1.456051e-02
         6.5500   1.313468e-28   5.600955e-23   2.884465e-18   3.058815e-14   8.289860e-11   6.744059e-08   2.677903e-05   4.912366e-03   6.748647e-01   2.791363e-01   4.105980e-02
         6.6000   2.536124e-29   1.289861e-23   7.977312e-19   1.034323e-14   3.418957e-11   3.427905e-08   1.699901e-05   3.784147e-03   5.443293e-01   3.547893e-01   9.708022e-02
