# CIE ionization fractions for O (Z=8)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_O0           x_O1           x_O2           x_O3           x_O4           x_O5           x_O6           x_O7           x_O8         
         4.0000   2.241421e-01   7.758579e-01   1.456687e-20   5.135109e-51   2.181576e-68   9.268109e-86  3.937421e-103  1.672756e-120  7.106460e-138
         4.0500   2.242282e-01   7.757718e-01   7.955836e-18   1.867771e-44   7.934951e-62   3.371048e-79   1.432141e-96  6.084241e-114  2.584801e-131
         4.1000   2.243152e-01   7.756848e-01   2.228685e-15   1.360871e-38   1.241656e-70   5.274996e-88  2.241005e-105  9.520584e-123  4.044681e-140
         4.1500   2.244044e-01   7.755956e-01   3.442358e-13   2.362882e-33   2.262485e-61   9.611839e-79   4.083450e-96  1.734794e-113  7.370020e-131
         4.2000   2.244957e-01   7.755043e-01   3.125116e-11   1.140252e-28   4.001277e-53   1.699884e-70   7.221711e-88  3.068039e-105  1.303411e-122
         4.2500   2.245475e-01   7.754525e-01   1.765056e-09   1.753296e-24   8.210885e-46   9.257565e-79   3.932942e-96  1.670853e-113  7.098375e-131
         4.3000   2.241611e-01   7.758388e-01   6.503476e-08   9.634150e-21   2.279046e-39   2.603285e-68   1.105968e-85  4.698543e-103  1.996107e-120
         4.3500   2.208478e-01   7.791506e-01   1.628753e-06   2.084160e-17   1.048694e-33   4.400913e-59   2.450442e-90  1.041035e-107  4.422684e-125
         4.4000   2.038304e-01   7.961408e-01   2.876656e-05   1.918292e-14   1.012130e-28   6.062796e-51   2.057022e-78   8.738957e-96  3.712618e-113
         4.4500   1.513628e-01   8.482693e-01   3.679789e-04   7.900191e-12   2.472893e-24   8.558840e-44   6.733505e-68   2.860632e-85  1.215298e-102
         4.5000   7.767902e-02   9.190608e-01   3.260161e-03   1.405987e-09   1.626386e-20   1.384478e-37   1.047624e-58   4.450676e-76   1.890805e-93
         4.5500   3.161331e-02   9.499188e-01   1.846781e-02   1.008943e-07   2.859794e-17   2.817302e-32   9.228036e-51   3.920397e-68   1.665523e-85
         4.6000   1.300410e-02   9.189444e-01   6.804837e-02   3.084730e-06   1.488710e-14   9.121761e-28   6.324485e-44   2.686865e-61   1.141476e-78
         4.6500   5.907331e-03   8.184963e-01   1.755499e-01   4.655078e-05   2.767547e-12   6.389663e-24   5.000844e-38   2.124536e-55   9.025781e-73
         4.7000   2.875865e-03   6.570851e-01   3.396358e-01   4.032281e-04   2.215914e-10   1.275713e-20   6.527165e-33   2.772971e-50   1.178056e-67
         4.7500   1.418398e-03   4.739706e-01   5.223363e-01   2.274713e-03   8.974615e-09   9.085011e-18   1.894447e-28   8.048281e-46   3.419195e-63
         4.8000   6.888553e-04   3.138142e-01   6.762507e-01   9.245969e-03   2.101690e-07   2.767296e-15   1.561191e-24   6.632491e-42   2.817717e-59
         4.8500   3.282168e-04   1.961691e-01   7.741473e-01   2.935221e-02   3.178587e-06   4.182962e-13   4.465613e-21   1.897151e-38   8.059769e-56
