# CIE ionization fractions for S (Z=16)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_S0           x_S1           x_S2           x_S3           x_S4           x_S5           x_S6           x_S7           x_S8           x_S9           x_S10          x_S11          x_S12          x_S13          x_S14          x_S15          x_S16        
         4.0000   9.939890e-01   6.011038e-03   2.553702e-20   1.084903e-37   4.609052e-55   1.958089e-72   8.318655e-90  3.534059e-107  1.501394e-124  6.378452e-142  2.709792e-159  1.151216e-176  4.890772e-194  2.077773e-211  8.827117e-229  3.750072e-246  1.593163e-263
         4.0500   9.625740e-01   3.742604e-02   1.589991e-19   6.754844e-37   2.869697e-54   1.219149e-71   5.179377e-89  2.200383e-106  9.348006e-124  3.971364e-141  1.687176e-158  7.167722e-176  3.045102e-193  1.293667e-210  5.495957e-228  2.334877e-245  9.919385e-263
         4.1000   8.280943e-01   1.719057e-01   7.303163e-19   3.102643e-36   1.318112e-53   5.599809e-71   2.378997e-88  1.010682e-105  4.293736e-123  1.824131e-140  7.749556e-158  3.292286e-175  1.398680e-192  5.942087e-210  2.524409e-227  1.072458e-244  4.556183e-262
         4.1500   5.156565e-01   4.843435e-01   2.057663e-18   8.741681e-36   3.713776e-53   1.577743e-70   6.702813e-88  2.847592e-105  1.209758e-122  5.139481e-140  2.183434e-157  9.276000e-175  3.940773e-192  1.674180e-209  7.112510e-227  3.021646e-244  1.283702e-261
         4.2000   2.142599e-01   7.857401e-01   3.338102e-18   1.418144e-35   6.024779e-53   2.559539e-70   1.087383e-87  4.619588e-105  1.962565e-122  8.337670e-140  3.542138e-157  1.504826e-174  6.393032e-192  2.715987e-209  1.153847e-226  4.901952e-244  2.082523e-261
         4.2500   7.377016e-02   9.262298e-01   3.934952e-18   1.671707e-35   7.102004e-53   3.017183e-70   1.281806e-87  5.445567e-105  2.313470e-122  9.828439e-140  4.175469e-157  1.773887e-174  7.536101e-192  3.201603e-209  1.360154e-226  5.778417e-244  2.454876e-261
         4.3000   2.548410e-02   9.745159e-01   4.140089e-18   1.758856e-35   7.472245e-53   3.174474e-70   1.348629e-87  5.729454e-105  2.434075e-122  1.034081e-139  4.393144e-157  1.866363e-174  7.928972e-192  3.368508e-209  1.431062e-226  6.079657e-244  2.582854e-261
         4.3500   9.439605e-03   9.905604e-01   4.208251e-18   1.787814e-35   7.595269e-53   3.226739e-70   1.370833e-87  5.823785e-105  2.474150e-122  1.051107e-139  4.465473e-157  1.897091e-174  8.059515e-192  3.423968e-209  1.454623e-226  6.179753e-244  2.625378e-261
         4.4000   3.796237e-03   9.962038e-01   4.232226e-18   1.798000e-35   7.638540e-53   3.245122e-70   1.378643e-87  5.856964e-105  2.488246e-122  1.057095e-139  4.490914e-157  1.907899e-174  8.105432e-192  3.443474e-209  1.462910e-226  6.214960e-244  2.640335e-261
         4.4500   1.652599e-03   9.983474e-01   4.241333e-18   1.801869e-35   7.654977e-53   3.252105e-70   1.381610e-87  5.869567e-105  2.493600e-122  1.059370e-139  4.500577e-157  1.912005e-174  8.122873e-192  3.450884e-209  1.466058e-226  6.228333e-244  2.646017e-261
         4.5000   7.735225e-04   9.992265e-01   4.245068e-18   1.803455e-35   7.661717e-53   3.254969e-70   1.382826e-87  5.874735e-105  2.495796e-122  1.060302e-139  4.504540e-157  1.913688e-174  8.130025e-192  3.453923e-209  1.467349e-226  6.233817e-244  2.648346e-261
         4.5500   3.864852e-04   9.996135e-01   4.246712e-18   1.804154e-35   7.664685e-53   3.256230e-70   1.383362e-87  5.877010e-105  2.496762e-122  1.060713e-139  4.506285e-157  1.914429e-174  8.133174e-192  3.455261e-209  1.467917e-226  6.236232e-244  2.649372e-261
         4.6000   2.047311e-04   9.997953e-01   4.247484e-18   1.804482e-35   7.666078e-53   3.256822e-70   1.383613e-87  5.878079e-105  2.497216e-122  1.060906e-139  4.507104e-157  1.914778e-174  8.134653e-192  3.455889e-209  1.468184e-226  6.237366e-244  2.649854e-261
         4.6500   1.142694e-04   9.998857e-01   4.247869e-18   1.804645e-35   7.666772e-53   3.257116e-70   1.383738e-87  5.878611e-105  2.497442e-122  1.061002e-139  4.507512e-157  1.914951e-174  8.135389e-192  3.456202e-209  1.468317e-226  6.237930e-244  2.650094e-261
         4.7000   6.682714e-05   9.999332e-01   4.248070e-18   1.804731e-35   7.667136e-53   3.257271e-70   1.383804e-87  5.878890e-105  2.497561e-122  1.061052e-139  4.507726e-157  1.915042e-174  8.135775e-192  3.456366e-209  1.468387e-226  6.238226e-244  2.650219e-261
         4.7500   4.074690e-05   9.999593e-01   4.248181e-18   1.804778e-35   7.667336e-53   3.257356e-70   1.383840e-87  5.879043e-105  2.497626e-122  1.061080e-139  4.507843e-157  1.915092e-174  8.135987e-192  3.456456e-209  1.468425e-226  6.238389e-244  2.650289e-261
         4.8000   2.578896e-05   9.999742e-01   4.248245e-18   1.804805e-35   7.667450e-53   3.257405e-70   1.383861e-87  5.879131e-105  2.497663e-122  1.061096e-139  4.507911e-157  1.915120e-174  8.136109e-192  3.456507e-209  1.468447e-226  6.238482e-244  2.650328e-261
         4.8500   1.687572e-05   9.999831e-01   4.248283e-18   1.804821e-35   7.667519e-53   3.257434e-70   1.383873e-87  5.879183e-105  2.497685e-122  1.061105e-139  4.507951e-157  1.915137e-174  8.136182e-192  3.456538e-209  1.468460e-226  6.238538e-244  2.650352e-261
         4.9000   1.137786e-05   9.999886e-01   4.248306e-18   1.804831e-35   7.667561e-53   3.257451e-70   1.383881e-87  5.879216e-105  2.497699e-122  1.061111e-139  4.507976e-157  1.915148e-174  8.136226e-192  3.456557e-209  1.468468e-226  6.238572e-244  2.650366e-261
         4.9500   7.879125e-06   9.999921e-01   4.248321e-18   1.804837e-35   7.667588e-53   3.257463e-70   1.383886e-87  5.879236e-105  2.497708e-122  1.061115e-139  4.507992e-157  1.915155e-174  8.136255e-192  3.456569e-209  1.468473e-226  6.238594e-244  2.650376e-261
         5.0000   5.588733e-06   9.999944e-01   4.248331e-18   1.804841e-35   7.667605e-53   3.257470e-70   1.383889e-87  5.879250e-105  2.497714e-122  1.061117e-139  4.508002e-157  1.915159e-174  8.136273e-192  3.456577e-209  1.468476e-226  6.238608e-244  2.650382e-261
         5.0500   4.050402e-06   9.999959e-01   4.248337e-18   1.804844e-35   7.667617e-53   3.257475e-70   1.383891e-87  5.879259e-105  2.497717e-122  1.061119e-139  4.508009e-157  1.915162e-174  8.136286e-192  3.456583e-209  1.468479e-226  6.238618e-244  2.650386e-261
         5.1000   2.992816e-06   9.999970e-01   4.248342e-18   1.804846e-35   7.667625e-53   3.257479e-70   1.383892e-87  5.879265e-105  2.497720e-122  1.061120e-139  4.508014e-157  1.915164e-174  8.136295e-192  3.456586e-209  1.468480e-226  6.238624e-244  2.650389e-261
         5.1500   2.250151e-06   9.999977e-01   4.248345e-18   1.804847e-35   7.667631e-53   3.257481e-70   1.383893e-87  5.879269e-105  2.497722e-122  1.061121e-139  4.508017e-157  1.915165e-174  8.136301e-192  3.456589e-209  1.468481e-226  6.238629e-244  2.650391e-261
         5.2000   1.718449e-06   9.999983e-01   4.248347e-18   1.804848e-35   7.667635e-53   3.257483e-70   1.383894e-87  5.879273e-105  2.497723e-122  1.061121e-139  4.508019e-157  1.915166e-174  8.136305e-192  3.456591e-209  1.468482e-226  6.238632e-244  2.650392e-261
         5.2500   1.331008e-06   9.999987e-01   4.248349e-18   1.804849e-35   7.667638e-53   3.257484e-70   1.383895e-87  5.879275e-105  2.497724e-122  1.061122e-139  4.508021e-157  1.915167e-174  8.136308e-192  3.456592e-209  1.468483e-226  6.238635e-244  2.650393e-261
         5.3000   1.044102e-06   9.999990e-01   4.248350e-18   1.804850e-35   7.667640e-53   3.257485e-70   1.383895e-87  5.879277e-105  2.497725e-122  1.061122e-139  4.508022e-157  1.915168e-174  8.136310e-192  3.456593e-209  1.468483e-226  6.238636e-244  2.650394e-261
         5.3500   8.284836e-07   9.999992e-01   4.248351e-18   1.804850e-35   7.667642e-53   3.257486e-70   1.383895e-87  5.879278e-105  2.497725e-122  1.061122e-139  4.508023e-157  1.915168e-174  8.136312e-192  3.456594e-209  1.468483e-226  6.238638e-244  2.650394e-261
