# CIE ionization fractions for Si (Z=14)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_Si0          x_Si1          x_Si2          x_Si3          x_Si4          x_Si5          x_Si6          x_Si7          x_Si8          x_Si9          x_Si10         x_Si11         x_Si12         x_Si13         x_Si14       
         4.0000   4.248229e-18   9.999705e-01   2.947491e-05   1.252199e-22   5.319784e-40   2.260033e-57   9.601419e-75   4.079023e-92  1.732913e-109  7.362030e-127  3.127651e-144  1.328737e-161  5.644946e-179  2.398173e-196  1.018829e-213
         4.0500   4.247235e-18   9.997366e-01   2.634355e-04   1.119167e-21   4.754619e-39   2.019930e-56   8.581380e-74   3.645674e-91  1.548812e-108  6.579900e-126  2.795375e-143  1.187574e-160  5.045236e-178  2.143395e-195  9.105901e-213
         4.1000   4.240351e-18   9.981162e-01   1.883755e-03   8.002858e-21   3.399898e-38   1.444397e-55   6.136310e-73   2.606922e-90  1.107513e-107  4.705106e-125  1.998896e-142  8.492018e-160  3.607710e-177  1.532683e-194  6.511380e-212
         4.1500   4.201735e-18   9.890266e-01   1.097344e-02   4.661908e-20   1.980544e-37   8.414051e-55   3.574587e-72   1.518611e-89  6.451598e-107  2.740867e-124  1.164418e-141  4.946858e-159  2.101601e-176  8.928344e-194  3.793077e-211
         4.2000   4.028004e-18   9.481328e-01   5.186719e-02   2.203502e-19   9.361257e-37   3.976994e-54   1.689568e-71   7.177882e-89  3.049419e-106  1.295501e-123  5.503748e-141  2.338187e-158  9.933446e-176  4.220080e-193  1.792839e-210
         4.2500   3.452282e-18   8.126164e-01   1.873836e-01   7.960719e-19   3.381995e-36   1.436791e-53   6.103999e-71   2.593195e-88  1.101681e-105  4.680332e-123  1.988371e-140  8.447303e-158  3.588713e-175  1.524613e-192  6.477095e-210
         4.3000   2.302216e-18   5.419078e-01   4.580922e-01   1.946138e-18   8.267884e-36   3.512490e-53   1.492230e-70   6.339523e-88  2.693254e-105  1.144190e-122  4.860923e-140  2.065092e-157  8.773243e-175  3.727185e-192  1.583440e-209
         4.3500   1.137016e-18   2.676368e-01   7.323632e-01   3.111338e-18   1.321807e-35   5.615503e-53   2.385665e-70   1.013515e-87  4.305770e-105  1.829244e-122  7.771276e-140  3.301513e-157  1.402600e-174  5.958741e-192  2.531484e-209
         4.4000   4.758187e-19   1.120007e-01   8.879993e-01   3.772536e-18   1.602707e-35   6.808866e-53   2.892647e-70   1.228899e-87  5.220799e-105  2.217980e-122  9.422766e-140  4.003125e-157  1.700669e-174  7.225045e-192  3.069455e-209
         4.4500   1.947770e-19   4.584764e-02   9.541524e-01   4.053577e-18   1.722103e-35   7.316105e-53   3.108140e-70   1.320448e-87  5.609731e-105  2.383213e-122  1.012473e-139  4.301345e-157  1.827364e-174  7.763288e-192  3.298120e-209
         4.5000   8.326353e-20   1.959901e-02   9.804010e-01   4.165091e-18   1.769478e-35   7.517370e-53   3.193645e-70   1.356774e-87  5.764055e-105  2.448775e-122  1.040326e-139  4.419674e-157  1.877634e-174  7.976855e-192  3.388851e-209
         4.5500   3.787781e-20   8.915879e-03   9.910841e-01   4.210476e-18   1.788760e-35   7.599284e-53   3.228445e-70   1.371558e-87  5.826864e-105  2.475458e-122  1.051662e-139  4.467834e-157  1.898094e-174  8.063776e-192  3.425778e-209
         4.6000   1.836619e-20   4.323131e-03   9.956769e-01   4.229988e-18   1.797049e-35   7.634500e-53   3.243406e-70   1.377914e-87  5.853866e-105  2.486930e-122  1.056536e-139  4.488538e-157  1.906890e-174  8.101145e-192  3.441653e-209
         4.6500   9.455442e-21   2.225672e-03   9.977743e-01   4.238899e-18   1.800834e-35   7.650582e-53   3.250238e-70   1.380816e-87  5.866197e-105  2.492168e-122  1.058761e-139  4.497994e-157  1.910907e-174  8.118210e-192  3.448903e-209
         4.7000   5.141364e-21   1.210201e-03   9.987898e-01   4.243213e-18   1.802667e-35   7.658369e-53   3.253546e-70   1.382222e-87  5.872168e-105  2.494705e-122  1.059839e-139  4.502571e-157  1.912852e-174  8.126472e-192  3.452413e-209
         4.7500   2.936783e-21   6.912755e-04   9.993087e-01   4.245417e-18   1.803604e-35   7.662348e-53   3.255237e-70   1.382940e-87  5.875218e-105  2.496001e-122  1.060390e-139  4.504911e-157  1.913846e-174  8.130694e-192  3.454207e-209
         4.8000   1.753353e-21   4.127134e-04   9.995873e-01   4.246601e-18   1.804107e-35   7.664484e-53   3.256144e-70   1.383325e-87  5.876856e-105  2.496697e-122  1.060685e-139  4.506167e-157  1.914379e-174  8.132961e-192  3.455170e-209
         4.8500   1.089115e-21   2.563617e-04   9.997436e-01   4.247265e-18   1.804389e-35   7.665682e-53   3.256653e-70   1.383542e-87  5.877775e-105  2.497087e-122  1.060851e-139  4.506871e-157  1.914679e-174  8.134233e-192  3.455710e-209
         4.9000   7.009526e-22   1.649939e-04   9.998350e-01   4.247653e-18   1.804554e-35   7.666383e-53   3.256951e-70   1.383668e-87  5.878313e-105  2.497315e-122  1.060948e-139  4.507283e-157  1.914854e-174  8.134976e-192  3.456026e-209
         4.9500   4.657008e-22   1.096191e-04   9.998904e-01   4.247889e-18   1.804654e-35   7.666808e-53   3.257131e-70   1.383745e-87  5.878638e-105  2.497454e-122  1.061007e-139  4.507533e-157  1.914960e-174  8.135427e-192  3.456218e-209
         5.0000   3.183425e-22   7.493313e-05   9.999251e-01   4.248036e-18   1.804716e-35   7.667074e-53   3.257244e-70   1.383793e-87  5.878842e-105  2.497540e-122  1.061044e-139  4.507689e-157  1.915026e-174  8.135709e-192  3.456337e-209
         5.0500   2.232407e-22   5.254757e-05   9.999475e-01   4.248131e-18   1.804757e-35   7.667245e-53   3.257317e-70   1.383824e-87  5.878974e-105  2.497596e-122  1.061067e-139  4.507790e-157  1.915069e-174  8.135891e-192  3.456415e-209
         5.1000   1.601780e-22   3.770354e-05   9.999623e-01   4.248194e-18   1.804783e-35   7.667359e-53   3.257366e-70   1.383844e-87  5.879061e-105  2.497633e-122  1.061083e-139  4.507857e-157  1.915097e-174  8.136012e-192  3.456466e-209
         5.1500   1.173188e-22   2.761511e-05   9.999724e-01   4.248237e-18   1.804802e-35   7.667436e-53   3.257399e-70   1.383858e-87  5.879120e-105  2.497659e-122  1.061094e-139  4.507903e-157  1.915117e-174  8.136094e-192  3.456501e-209
         5.2000   8.753083e-23   2.060347e-05   9.999794e-01   4.248267e-18   1.804814e-35   7.667490e-53   3.257421e-70   1.383868e-87  5.879162e-105  2.497676e-122  1.061101e-139  4.507934e-157  1.915130e-174  8.136151e-192  3.456525e-209
         5.2500   6.640105e-23   1.562983e-05   9.999844e-01   4.248288e-18   1.804823e-35   7.667528e-53   3.257438e-70   1.383875e-87  5.879191e-105  2.497689e-122  1.061107e-139  4.507957e-157  1.915140e-174  8.136192e-192  3.456542e-209
         5.3000   5.113149e-23   1.203560e-05   9.999880e-01   4.248303e-18   1.804830e-35   7.667556e-53   3.257449e-70   1.383880e-87  5.879212e-105  2.497698e-122  1.061110e-139  4.507973e-157  1.915147e-174  8.136221e-192  3.456555e-209
         5.3500   3.990763e-23   9.393669e-06   9.999906e-01   4.248314e-18   1.804834e-35   7.667576e-53   3.257458e-70   1.383884e-87  5.879227e-105  2.497704e-122  1.061113e-139  4.507985e-157  1.915152e-174  8.136242e-192  3.456564e-209
         5.4000   3.152854e-23   7.421354e-06   9.999926e-01   4.248323e-18   1.804838e-35   7.667591e-53   3.257464e-70   1.383886e-87  5.879239e-105  2.497709e-122  1.061115e-139  4.507994e-157  1.915155e-174  8.136259e-192  3.456571e-209
         5.4500   2.518388e-23   5.927914e-06   9.999941e-01   4.248329e-18   1.804841e-35   7.667603e-53   3.257469e-70   1.383888e-87  5.879248e-105  2.497713e-122  1.061117e-139  4.508000e-157  1.915158e-174  8.136271e-192  3.456576e-209
         5.5000   2.031656e-23   4.782218e-06   9.999952e-01   4.248334e-18   1.804843e-35   7.667611e-53   3.257473e-70   1.383890e-87  5.879255e-105  2.497716e-122  1.061118e-139  4.508006e-157  1.915160e-174  8.136280e-192  3.456580e-209
         5.5500   1.653773e-23   3.892738e-06   9.999961e-01   4.248338e-18   1.804844e-35   7.667618e-53   3.257476e-70   1.383891e-87  5.879260e-105  2.497718e-122  1.061119e-139  4.508010e-157  1.915162e-174  8.136287e-192  3.456583e-209
         5.6000   1.357205e-23   3.194661e-06   9.999968e-01   4.248341e-18   1.804846e-35   7.667624e-53   3.257478e-70   1.383892e-87  5.879264e-105  2.497720e-122  1.061120e-139  4.508013e-157  1.915163e-174  8.136293e-192  3.456585e-209
         5.6500   1.122112e-23   2.641287e-06   9.999974e-01   4.248343e-18   1.804847e-35   7.667628e-53   3.257480e-70   1.383893e-87  5.879267e-105  2.497721e-122  1.061120e-139  4.508015e-157  1.915165e-174  8.136297e-192  3.456587e-209
         5.7000   9.340054e-24   2.198511e-06   9.999978e-01   4.248345e-18   1.804847e-35   7.667631e-53   3.257481e-70   1.383893e-87  5.879270e-105  2.497722e-122  1.061121e-139  4.508017e-157  1.915165e-174  8.136301e-192  3.456589e-209
         5.7500   7.821973e-24   1.841177e-06   9.999982e-01   4.248346e-18   1.804848e-35   7.667634e-53   3.257483e-70   1.383894e-87  5.879272e-105  2.497723e-122  1.061121e-139  4.508019e-157  1.915166e-174  8.136304e-192  3.456590e-209
         5.8000   6.587508e-24   1.550602e-06   9.999984e-01   4.248348e-18   1.804849e-35   7.667636e-53   3.257483e-70   1.383894e-87  5.879274e-105  2.497724e-122  1.061122e-139  4.508020e-157  1.915167e-174  8.136306e-192  3.456591e-209
         5.8500   5.576564e-24   1.312641e-06   9.999987e-01   4.248349e-18   1.804849e-35   7.667638e-53   3.257484e-70   1.383895e-87  5.879275e-105  2.497724e-122  1.061122e-139  4.508021e-157  1.915167e-174  8.136308e-192  3.456592e-209
         5.9000   4.743106e-24   1.116457e-06   9.999989e-01   4.248350e-18   1.804849e-35   7.667640e-53   3.257485e-70   1.383895e-87  5.879276e-105  2.497725e-122  1.061122e-139  4.508022e-157  1.915167e-174  8.136310e-192  3.456593e-209
         5.9500   4.051602e-24   9.536874e-07   9.999990e-01   4.248350e-18   1.804850e-35   7.667641e-53   3.257485e-70   1.383895e-87  5.879277e-105  2.497725e-122  1.061122e-139  4.508023e-157  1.915168e-174  8.136311e-192  3.456593e-209
         6.0000   3.474452e-24   8.178348e-07   9.999992e-01   4.248351e-18   1.804850e-35   7.667642e-53   3.257486e-70   1.383895e-87  5.879278e-105  2.497726e-122  1.061122e-139  4.508023e-157  1.915168e-174  8.136312e-192  3.456594e-209
         6.0500   2.990240e-24   7.038585e-07   9.999993e-01   4.248351e-18   1.804850e-35   7.667643e-53   3.257486e-70   1.383896e-87  5.879279e-105  2.497726e-122  1.061122e-139  4.508024e-157  1.915168e-174  8.136313e-192  3.456594e-209
         6.1000   2.582129e-24   6.077952e-07   9.999994e-01   4.248352e-18   1.804850e-35   7.667643e-53   3.257487e-70   1.383896e-87  5.879279e-105  2.497726e-122  1.061123e-139  4.508024e-157  1.915168e-174  8.136314e-192  3.456594e-209
         6.1500   2.236629e-24   5.264695e-07   9.999995e-01   4.248352e-18   1.804850e-35   7.667644e-53   3.257487e-70   1.383896e-87  5.879280e-105  2.497726e-122  1.061123e-139  4.508025e-157  1.915169e-174  8.136315e-192  3.456595e-209
