logT1,mu,Lambda,Gamma
0,0.369711,1.2951,0,2e-26
0.1,0.408391,1.2951,0,2e-26
0.2,0.451118,1.2951,0,2e-26
0.3,0.498315,1.2951,0,2e-26
0.4,0.55045,1.2951,0,2e-26
0.5,0.608039,1.2951,0,2e-26
0.6,0.671653,1.2951,0,2e-26
0.7,0.741923,1.2951,0,2e-26
0.8,0.819544,1.2951,0,2e-26
0.9,0.905287,1.2951,0,2e-26
1,1,1.2951,2.22507e-305,2e-26
1.1,1.1,1.2951,4.017e-30,2e-26
1.2,1.2,1.2951,1.4369e-29,2e-26
1.3,1.3,1.2951,4.0502e-29,2e-26
1.4,1.4,1.2951,9.4473e-29,2e-26
1.5,1.5,1.2951,1.8959e-28,2e-26
1.6,1.6,1.2951,3.376e-28,2e-26
1.7,1.7,1.2951,5.467e-28,2e-26
1.8,1.8,1.2951,8.2098e-28,2e-26
1.9,1.9,1.2951,1.1612e-27,2e-26
2,2,1.2951,1.5659e-27,2e-26
2.1,2.1,1.2951,2.0334e-27,2e-26
2.2,2.2,1.2951,2.5622e-27,2e-26
2.3,2.3,1.2951,3.1525e-27,2e-26
2.4,2.4,1.2951,3.8059e-27,2e-26
2.5,2.5,1.2951,4.5261e-27,2e-26
2.6,2.6,1.2951,5.3185e-27,2e-26
2.7,2.7,1.2951,6.1906e-27,2e-26
2.8,2.8,1.2951,7.1514e-27,2e-26
2.9,2.9,1.2951,8.212e-27,2e-26
3,3,1.2951,9.3851e-27,2e-26
3.1,3.1,1.2951,1.0685e-26,2e-26
3.2,3.2,1.2951,1.2129e-26,2e-26
3.3,3.3,1.2951,1.3735e-26,2e-26
3.4,3.4,1.2951,1.5524e-26,2e-26
3.5,3.5,1.2951,1.7537e-26,2e-26
3.6,3.6,1.295,2.0658e-26,2e-26
3.7,3.7,1.295,5.0043e-26,2e-26
3.8,3.8,1.295,5.2571e-25,2e-26
3.9,3.9,1.2919,5.5013e-24,1.9918e-26
4,4,1.2315,2.7592e-23,1.8311e-26
4.1,4.1,1.0927,6.559e-23,1.4619e-26
4.2,4.2,0.94797,1.2372e-22,1.0771e-26
4.3,4.3,0.82222,1.718e-22,7.4267e-27
4.4,4.4,0.73214,1.5327e-22,5.0306e-27
4.5,4.5,0.69037,1.3627e-22,3.9192e-27
4.6,4.6,0.67292,1.5819e-22,3.455e-27
4.7,4.7,0.6568,2.3711e-22,3.026e-27
4.8,4.8,0.65035,3.7936e-22,2.8545e-27
4.9,4.9,0.64902,6.0899e-22,2.8191e-27
5,5,0.64482,9.2288e-22,2.7075e-27
5.1,5.1,0.63305,1.2317e-21,2.3946e-27
5.2,5.2,0.624,1.3471e-21,2.1488e-27
5.3,5.3,0.62139,1.2352e-21,1.6401e-27
5.4,5.4,0.62071,1.3661e-21,1.1815e-27
5.5,5.5,0.62062,1.4403e-21,7.8845e-28
5.6,5.6,0.62011,1.3599e-21,4.7234e-28
5.7,5.7,0.62002,6.3785e-22,2.4915e-28
5.8,5.8,0.61952,3.0084e-22,1.1114e-28
5.9,5.9,0.61917,2.5804e-22,4.0481e-29
6,6,0.61823,2.3373e-22,1.1456e-29
6.1,6.1,0.61823,1.595e-22,2.3167e-30
6.2,6.2,0.61823,1.4515e-22,2.22507e-305
6.3,6.3,0.61823,1.4731e-22,2.22507e-305
6.4,6.4,0.61823,1.5131e-22,2.22507e-305
6.5,6.5,0.61823,1.1691e-22,2.22507e-305
6.6,6.6,0.61823,6.7597e-23,2.22507e-305
6.7,6.7,0.61823,4.8869e-23,2.22507e-305
6.8,6.8,0.61823,4.2204e-23,2.22507e-305
6.9,6.9,0.61823,3.6762e-23,2.22507e-305
7,7,0.61823,3.3393e-23,2.22507e-305
7.1,7.1,0.61823,3.4388e-23,2.22507e-305
7.2,7.2,0.61823,3.5478e-23,2.22507e-305
7.3,7.3,0.61823,3.2757e-23,2.22507e-305
7.4,7.4,0.61823,2.7887e-23,2.22507e-305
7.5,7.5,0.61823,2.5329e-23,2.22507e-305
7.6,7.6,0.61823,2.4547e-23,2.22507e-305
7.7,7.7,0.61823,2.5014e-23,2.22507e-305
7.8,7.8,0.61823,2.5602e-23,2.22507e-305
7.9,7.9,0.61823,2.7433e-23,2.22507e-305
8,8,0.61823,2.9395e-23,2.22507e-305
8.1,8.1,0.61823,3.2092e-23,2.22507e-305
8.2,8.2,0.61823,3.4391e-23,2.22507e-305
8.3,8.3,0.61823,3.7709e-23,2.22507e-305
8.4,8.4,0.61823,4.1348e-23,2.22507e-305
8.5,8.5,0.61823,4.5337e-23,2.22507e-305
8.6,8.6,0.61823,4.9711e-23,2.22507e-305
8.7,8.7,0.61823,5.4507e-23,2.22507e-305
8.8,8.8,0.61823,6.0266e-23,2.22507e-305
8.9,8.9,0.61823,6.753e-23,2.22507e-305
9,9,0.61823,7.6675e-23,2.22507e-305
9.1,9.10061,0.61813,8.75701e-23,2.22507e-305
9.2,9.20235,0.61803,1.00013e-22,2.22507e-305
9.3,9.30523,0.61793,1.14225e-22,2.22507e-305
9.4,9.40925,0.61783,1.30456e-22,2.22507e-305
9.5,9.51444,0.61773,1.48993e-22,2.22507e-305
9.6,9.62081,0.61763,1.70164e-22,2.22507e-305
9.7,9.72836,0.61753,1.94343e-22,2.22507e-305
9.8,9.83712,0.617431,2.21959e-22,2.22507e-305
9.9,9.94709,0.617331,2.53498e-22,2.22507e-305
10,10.0583,0.617231,2.89519e-22,2.22507e-305
