age,snrate,Xi_LyC,Psi_LW,Psi_PE
0,0,4.18737e+46,126.301,276.727
0.1,0,4.17032e+46,128.019,280.017
0.2,0,4.15328e+46,129.738,283.308
0.3,0,4.1591e+46,131.327,286.442
0.4,0,4.16493e+46,132.915,289.577
0.5,0,4.16656e+46,134.71,293.187
0.6,0,4.16818e+46,136.504,296.798
0.7,0,4.16525e+46,138.658,300.761
0.8,0,4.16233e+46,140.811,304.724
0.9,0,4.14173e+46,143.547,309.718
1,0,4.12114e+46,146.283,314.713
1.1,0,4.0972e+46,150.001,320.184
1.2,0,4.07325e+46,153.719,325.655
1.3,0,4.10735e+46,155.926,328.967
1.4,0,4.14146e+46,158.132,332.28
1.5,0,4.06268e+46,160.763,341.449
1.6,0,3.9839e+46,163.395,350.617
1.7,0,4.00236e+46,166.485,354.736
1.8,0,4.02082e+46,169.575,358.855
1.9,0,3.96216e+46,174.191,366.237
2,0,3.90349e+46,178.808,373.619
2.1,0,3.74012e+46,186.586,383.859
2.2,0,3.57674e+46,194.365,394.098
2.3,0,3.39129e+46,198.905,406.058
2.4,0,3.20585e+46,203.446,418.018
2.5,0,2.93952e+46,204.447,433.007
2.6,0,2.6732e+46,205.448,447.996
2.7,0,2.38885e+46,206.386,463.194
2.8,0,2.1045e+46,207.324,478.392
2.9,0,2.19485e+46,204.234,473.239
3,2.61717e-19,2.2852e+46,201.145,468.085
3.1,1.84167e-05,2.42849e+46,193.715,448.102
3.2,3.68335e-05,2.57178e+46,186.286,428.118
3.3,0.000259895,2.40362e+46,176.276,404.014
3.4,0.000482957,2.23546e+46,166.265,379.911
3.5,0.000493815,2.08583e+46,159.166,360.551
3.6,0.000504673,1.9362e+46,152.067,341.192
3.7,0.000517237,1.76926e+46,147.533,327.134
3.8,0.000529801,1.60232e+46,142.999,313.076
3.9,0.000535714,1.40612e+46,137.767,303.8
4,0.000541628,1.20992e+46,132.535,294.525
4.1,0.00054219,1.11511e+46,127.696,282.961
4.2,0.000542752,1.0203e+46,122.858,271.396
4.3,0.000547162,9.43364e+45,118.547,261.124
4.4,0.000551571,8.66424e+45,114.236,250.852
4.5,0.000556052,8.02205e+45,110.371,242.49
4.6,0.000560534,7.37986e+45,106.506,234.129
4.7,0.000565897,6.53983e+45,102.784,227.459
4.8,0.00057126,5.6998e+45,99.0632,220.789
4.9,0.000567841,5.24912e+45,94.8655,213.147
5,0.000564422,4.79844e+45,90.6679,205.505
5.1,0.000554525,4.21487e+45,87.3389,199.125
5.2,0.000544628,3.6313e+45,84.0098,192.746
5.3,0.000544788,3.27247e+45,80.9568,187.064
5.4,0.000544949,2.91364e+45,77.9038,181.382
5.5,0.000542851,2.64005e+45,74.8827,175.752
5.6,0.000540754,2.36647e+45,71.8617,170.122
5.7,0.000539574,2.14655e+45,68.4258,164.914
5.8,0.000538394,1.92663e+45,64.9898,159.706
5.9,0.000539574,1.74735e+45,61.5117,154.066
6,0.000540754,1.56807e+45,58.0336,148.427
6.1,0.000540132,1.42943e+45,55.2542,142.597
6.2,0.000539511,1.29079e+45,52.4748,136.767
6.3,0.000538952,1.17669e+45,50.2562,131.469
6.4,0.000538394,1.06259e+45,48.0376,126.171
6.5,0.000538332,9.66901e+44,46.4994,121.653
6.6,0.00053827,8.71216e+44,44.9613,117.135
6.7,0.000537651,8.03184e+44,43.6233,113.316
6.8,0.000537032,7.35153e+44,42.2853,109.498
6.9,0.000536414,6.79436e+44,41.0256,106.512
7,0.000535797,6.23719e+44,39.7659,103.527
7.1,0.000530728,5.75866e+44,38.6084,101.082
7.2,0.00052566,5.28012e+44,37.4508,98.6376
7.3,0.000523488,4.84589e+44,36.3911,96.4224
7.4,0.000521315,4.41167e+44,35.3314,94.2071
7.5,0.000519521,4.10658e+44,34.3444,92.0862
7.6,0.000517726,3.80149e+44,33.3573,89.9654
7.7,0.000516537,3.53733e+44,32.4473,88.0327
7.8,0.000515347,3.27316e+44,31.5374,86.1001
7.9,0.000513574,3.05595e+44,30.7295,84.2625
8,0.0005118,2.83875e+44,29.9216,82.425
8.1,0.000510097,2.66174e+44,29.201,80.7013
8.2,0.000508394,2.48472e+44,28.4804,78.9776
8.3,0.000507168,2.3244e+44,27.8183,77.3703
8.4,0.000505941,2.16408e+44,27.1563,75.763
8.5,0.0005042,2.03699e+44,26.5326,74.2631
8.6,0.000502458,1.90991e+44,25.9088,72.7633
8.7,0.000487741,1.80907e+44,25.3522,71.4046
8.8,0.000473023,1.70824e+44,24.7956,70.0459
8.9,0.00046317,1.61264e+44,24.2722,68.7724
9,0.000453317,1.51705e+44,23.7487,67.4988
9.1,0.00044918,1.43826e+44,23.2623,66.3184
9.2,0.000445043,1.35947e+44,22.7758,65.138
9.3,0.000440981,1.29215e+44,22.306,64.0136
9.4,0.00043692,1.22483e+44,21.8363,62.8892
9.5,0.000433427,1.16364e+44,21.4085,61.8521
9.6,0.000429934,1.10246e+44,20.9808,60.815
9.7,0.000426448,1.04671e+44,20.5975,59.8702
